// <0000> あの日から、数日を経た。
<0000> あの日から、数日を経た。
<0900> ルチアが潔癖症を騙っていたのは、自身の特別な体質のせいだ。

// <0901> 触れれば相手に毒を与えてしまうかもしれないからこそ、彼女は人との接触を避けていたはず。
<0901> 触れれば相手に毒を与えてしまうかもしれないからこそ、彼女は人との接触を避けていたはず。

// <0902> 瑚太朗
<0902> 瑚太朗

// <0903> 「でも、……お前はルチアの家に上がれるんだろ？」
<0903> 「でも、……お前はルチアの家に上がれるんだろ？」

// <0904> 静流
<0904> 静流

// <0905> 「うん」
<0905> 「うん」

// <0906> 瑚太朗
<0906> 瑚太朗

// <0907> 「一緒に料理もしているし、弁当を突付き合ってたこともあったよな？」
<0907> 「一緒に料理もしているし、弁当を突付き合ってたこともあったよな？」

// <0908> 静流
<0908> 静流

// <0909> 「それくらいフツーだ」
<0909> 「それくらいフツーだ」

// <0910> 瑚太朗
<0910> 瑚太朗

// <0911> 「フツーの連中ならな。だが、ルチアはそうじゃないだろ。……お前だって、知ってるんだろ…？」
<0911> 「フツーの連中ならな。だが、ルチアはそうじゃないだろ。……お前だって、知ってるんだろ…？」

// <0912> 静流
<0912> 静流

// <0913> 「……私は特別だ」
<0913> 「……私は特別だ」

// <0914> 瑚太朗
<0914> 瑚太朗

// <0915> 「いや、特別な友人だからこそ、ルチアならむしろ気を遣うはず…」
<0915> 「いや、特別な友人だからこそ、ルチアならむしろ気を遣うはず…」

// <0916> 静流
<0916> 静流

// <0917> 「そうじゃない。私も体が、特別なんだ」
<0917> 「そうじゃない。私も体が、特別なんだ」

// <0918> 静流はさらりと、何かとんでもないことを言った気がした。
<0918> 静流はさらりと、何かとんでもないことを言った気がした。

// <0919> 瑚太朗
<0919> 瑚太朗

// <0920> 「特別……？」
<0920> 「特別……？」

// <0921> 静流
<0921> 静流

// <0922> 「ルチアが特別な体なように。私も特別だ。私に、毒は効かない」
<0922> 「ルチアが特別な体なように。私も特別だ。私に、毒は効かない」

// <0923> 瑚太朗
<0923> 瑚太朗

// <0924> 「ほ、本当かよ」
<0924> 「ほ、本当かよ」

// <0925> 静流
<0925> 静流

// <0926> 「コタローと同じだ。私も、ルチアの毒が大丈夫」
<0926> 「コタローと同じだ。私も、ルチアの毒が大丈夫」

// <0927> 瑚太朗
<0927> 瑚太朗

// <0928> 「そうだったのか…。なるほどな……」
<0928> 「そうだったのか…。なるほどな……」

// <0929> 静流
<0929> 静流

// <0930> 「だから。……ルチアとは私しか友達になれなかった」
<0930> 「だから。……ルチアとは私しか友達になれなかった」

// <0931> 瑚太朗
<0931> 瑚太朗

// <0932> 「…………」
<0932> 「…………」

// <0933> 触れる者に毒を与えてしまうルチアと友人になれる資格は、……その毒に抵抗力のある、静流にしかなかったのだ。
<0933> 触れる者に毒を与えてしまうルチアと友人になれる資格は、……その毒に抵抗力のある、静流にしかなかったのだ。

// <0934> だからルチアは、クラスの誰にも心を開かず距離を置きながらも静流とだけは、友情を育むことが出来たのだ…。
<0934> だからルチアは、クラスの誰にも心を開かず距離を置きながらも静流とだけは、友情を育むことが出来たのだ…。

// <0935> 静流
<0935> 静流

// <0936> 「ルチアと友人になりたいと思う人間も時にはいた。……しかし、ルチアが拒んできた」
<0936> 「ルチアと友人になりたいと思う人間も時にはいた。……しかし、ルチアが拒んできた」

// <0937> 瑚太朗
<0937> 瑚太朗

// <0938> 「だろうな。……もうルチアは二度と、友人を毒や病で失いたくはないだろうから」
<0938> 「だろうな。……もうルチアは二度と、友人を毒や病で失いたくはないだろうから」

// <0939> 今はちょっと仲違いしてるちはやだって、ルチアの友人になろうと努力してたんだ。
<0939> 今はちょっと仲違いしてるちはやだって、ルチアの友人になろうと努力してたんだ。

// <0940> 毒の体質さえなければ、二人はきっと今頃、ぎこちないながらも、良い友人になれていたはず…。
<0940> 毒の体質さえなければ、二人はきっと今頃、ぎこちないながらも、良い友人になれていたはず…。

// <0941> それは、ちはやもルチアも、どちらも悪くない。
<0941> それは、ちはやもルチアも、どちらも悪くない。

// <0942> ただちはやに、……ルチアの友人になるための、物理的な資格がなかっただけなのだ。
<0942> ただちはやに、……ルチアの友人になるための、物理的な資格がなかっただけなのだ。

// <0943> しかし、その資格を持つ人間など、存在するわけもない…。
<0943> しかし、その資格を持つ人間など、存在するわけもない…。

// <0944> 静流
<0944> 静流

// <0945> 「だからルチアは、自分の毒に耐えることの出来る、奇跡の資格を持つ人間が、いつか現れて欲しいと、祈ってた」
<0945> 「だからルチアは、自分の毒に耐えることの出来る、奇跡の資格を持つ人間が、いつか現れて欲しいと、祈ってた」

// <0946> 瑚太朗
<0946> 瑚太朗

// <0947> 「…………」
<0947> 「…………」

// <0948> 静流
<0948> 静流

// <0949> 「コタローは、その資格を得て降臨した、……ルチアの奇跡なんだ」
<0949> 「コタローは、その資格を得て降臨した、……ルチアの奇跡なんだ」

// <0950> 瑚太朗
<0950> 瑚太朗

// <0951> 「俺は天使でも神様でもねぇぜ」
<0951> 「俺は天使でも神様でもねぇぜ」

// <0952> 瑚太朗
<0952> 瑚太朗

// <0953> 「たまたま、ルチアの毒に平気な体質を持った、珍しい体質の男なだけさ」
<0953> 「たまたま、ルチアの毒に平気な体質を持った、珍しい体質の男なだけさ」

// <0954> 静流
<0954> 静流

// <0955> 「ルチアの毒は、とても、強い」
<0955> 「ルチアの毒は、とても、強い」

// <0956> 瑚太朗
<0956> 瑚太朗

// <0957> 「らしいな」
<0957> 「らしいな」

// <0958> 静流
<0958> 静流

// <0959> 「それに平気だなんて、コタローは本当に、すごい」
<0959> 「それに平気だなんて、コタローは本当に、すごい」

// <0960> 瑚太朗
<0960> 瑚太朗

// <0961> 「なら、同じく平気な静流も、めちゃくちゃスゲーことになるぜ」
<0961> 「なら、同じく平気な静流も、めちゃくちゃスゲーことになるぜ」

// <0962> 静流
<0962> 静流

// <0963> 「私もめちゃくちゃスゴイ」
<0963> 「私もめちゃくちゃスゴイ」

// <0964> 瑚太朗
<0964> 瑚太朗

// <0965> 「自分で言うな」
<0965> 「自分で言うな」

// <0966> 静流
<0966> 静流

// <0967> 「ガッ」
<0967> 「ガッ」

// <0968> 瑚太朗
<0968> 瑚太朗

// <0969> 「安心しろ」
<0969> 「安心しろ」

// <0970> 静流
<0970> 静流

// <0971> 「ガ？」
<0971> 「ガ？」

// <0972> 瑚太朗
<0972> 瑚太朗

// <0973> 「俺は誓ったぜ。いつまでも一緒にいる。ひとりぼっちにはさせねぇってな」
<0973> 「俺は誓ったぜ。いつまでも一緒にいる。ひとりぼっちにはさせねぇってな」

// <0974> 静流
<0974> 静流

// <0975> 「……コタロー、すごいこと言う。ちょっと妬ける。恥ずかしい」
<0975> 「……コタロー、すごいこと言う。ちょっと妬ける。恥ずかしい」

// <0976> 瑚太朗
<0976> 瑚太朗

// <0977> 「だ、……だな。すげぇ恥ずかしいこと言っちまった」
<0977> 「だ、……だな。すげぇ恥ずかしいこと言っちまった」

// <0978> 静流
<0978> 静流

// <0979> 「コスプレで二人きりのお食事会より恥ずかしい」
<0979> 「コスプレで二人きりのお食事会より恥ずかしい」

// <0980> 瑚太朗
<0980> 瑚太朗

// <0981> 「その言い方の方が恥ずかしいっ」
<0981> 「その言い方の方が恥ずかしいっ」

// <0982> 静流
<0982> 静流

// <0983> 「でも、それがルチアの憧れだった」
<0983> 「でも、それがルチアの憧れだった」

// <0984> 瑚太朗
<0984> 瑚太朗

// <0985> 「コスプレがか」
<0985> 「コスプレがか」

// <0986> 静流
<0986> 静流

// <0987> 「ガッ、ガッ、ガッ」
<0987> 「ガッ、ガッ、ガッ」

// <0988> 瑚太朗
<0988> 瑚太朗

// <0989> 「痛い、痛いっ、すんません、茶化しませんっ」
<0989> 「痛い、痛いっ、すんません、茶化しませんっ」

// <0990> 静流
<0990> 静流

// <0991> 「ルチアだって女の子だから。いつかは男子と交際したいと、夢を描いていた」
<0991> 「ルチアだって女の子だから。いつかは男子と交際したいと、夢を描いていた」

// <0992> 年頃の男女なら、誰だって持つ、淡い、夢。
<0992> 年頃の男女なら、誰だって持つ、淡い、夢。

// <0993> それは、堅物委員長のルチアだって、変わらない。
<0993> それは、堅物委員長のルチアだって、変わらない。

// <0994> いや、自身の特別な体質のせいで、誰よりもその夢は儚く、残酷だっただろう…。
<0994> いや、自身の特別な体質のせいで、誰よりもその夢は儚く、残酷だっただろう…。

// <0995> 瑚太朗
<0995> 瑚太朗

// <0996> 「…………」
<0996> 「…………」

// <0997> 静流
<0997> 静流

// <0998> 「コタローにとっては悪ふざけに過ぎなかっただろうが」
<0998> 「コタローにとっては悪ふざけに過ぎなかっただろうが」

// <0999> 静流
<0999> 静流

// <1000> 「……今夜。少なくとも、ルチアが思い描いてきた夢の、一つが叶った。それだけは間違いない」
<1000> 「……今夜。少なくとも、ルチアが思い描いてきた夢の、一つが叶った。それだけは間違いない」

// <1001> 男の子を家に招いて。……手料理を、振舞う。
<1001> 男の子を家に招いて。……手料理を、振舞う。

// <1002> そんな、女の子らしい、夢。
<1002> そんな、女の子らしい、夢。

// <1003> 静流
<1003> 静流

// <1004> 「本当なら。……食事が終わった後、ルチアの部屋に招いて。きっと紅茶を淹れてくれたはずだ」
<1004> 「本当なら。……食事が終わった後、ルチアの部屋に招いて。きっと紅茶を淹れてくれたはずだ」

// <1005> それが、かつてルチアが静流に語っていた、ささやかな、夢。
<1005> それが、かつてルチアが静流に語っていた、ささやかな、夢。

// <1006> 男の子を自宅に招くことが出来たなら。
<1006> 男の子を自宅に招くことが出来たなら。

// <1007> 手料理を振舞って。
<1007> 手料理を振舞って。

// <1008> 自室に招いて、紅茶を淹れる。
<1008> 自室に招いて、紅茶を淹れる。

// <1009> そして、ゆっくりと色々な話に花を咲かせられたら……。
<1009> そして、ゆっくりと色々な話に花を咲かせられたら……。

// <1010> だからきっと。台所には二人分の紅茶の用意が、もう出来ていただろう。
<1010> だからきっと。台所には二人分の紅茶の用意が、もう出来ていただろう。

// <1011> 瑚太朗
<1011> 瑚太朗

// <1012> 「お前のせいで、全部台無しじゃねーか」
<1012> 「お前のせいで、全部台無しじゃねーか」

// <1013> 静流
<1013> 静流

// <1014> 「バレないと思った。コタローの勘が良過ぎだ」
<1014> 「バレないと思った。コタローの勘が良過ぎだ」

// <1015> 確かに、俺が違和感を覚えなければ、静流は最後まで隠れ果せただろう。
<1015> 確かに、俺が違和感を覚えなければ、静流は最後まで隠れ果せただろう。

// <1016> 静流の気配は、確かに完全に消えていた。
<1016> 静流の気配は、確かに完全に消えていた。

// <1017> なるほど、ガーディアンのエージェントとしては、充分なスキルかもしれない…。
<1017> なるほど、ガーディアンのエージェントとしては、充分なスキルかもしれない…。

// <1018> 瑚太朗
<1018> 瑚太朗

// <1019> 「いやいやっ。どう転んでも悪いのは静流だ」
<1019> 「いやいやっ。どう転んでも悪いのは静流だ」

// <1020> 静流
<1020> 静流

// <1021> 「んー」
<1021> 「んー」

// <1022> 瑚太朗
<1022> 瑚太朗

// <1023> 「悩むなっ」
<1023> 「悩むなっ」

// <1024> 静流
<1024> 静流

// <1025> 「コタローは、」
<1025> 「コタローは、」

// <1026> 瑚太朗
<1026> 瑚太朗

// <1027> 「ん？」
<1027> 「ん？」

// <1028> 静流
<1028> 静流

// <1029> 「ルチアをひとりぼっちにしない、と言った。それは、永遠に、という意味なのか」
<1029> 「ルチアをひとりぼっちにしない、と言った。それは、永遠に、という意味なのか」

// <1030> 瑚太朗
<1030> 瑚太朗

// <1031> 「……まぁ、少なくとも、期限を切った覚えはねぇな」
<1031> 「……まぁ、少なくとも、期限を切った覚えはねぇな」

// <1032> 静流
<1032> 静流

// <1033> 「礼拝堂で、永遠にひとりぼっちにしないと、誓った」
<1033> 「礼拝堂で、永遠にひとりぼっちにしないと、誓った」

// <1034> 瑚太朗
<1034> 瑚太朗

// <1035> 「ぅおおおお…。誤解されかねんことを言っちまったな、俺……」
<1035> 「ぅおおおお…。誤解されかねんことを言っちまったな、俺……」

// <1036> 静流
<1036> 静流

// <1037> 「誤解なのか」
<1037> 「誤解なのか」

// <1038> 瑚太朗
<1038> 瑚太朗

// <1039> 「ん……、」
<1039> 「ん……、」

// <1040> 静流の表情は、普段通りの淡白なものだ。
<1040> 静流の表情は、普段通りの淡白なものだ。

// <1041> しかし、その瞳が強い意思をもって、じっと俺を凝視する。
<1041> しかし、その瞳が強い意思をもって、じっと俺を凝視する。

// <1042> ……静流は、ルチアの親友として。……俺のある一つの気持ちを確かめようとしていた。
<1042> ……静流は、ルチアの親友として。……俺のある一つの気持ちを確かめようとしていた。

// <1043> それは、惚けることも茶化すことも容易い。
<1043> それは、惚けることも茶化すことも容易い。

// <1044> そして、……俺は……。
<1044> そして、……俺は……。

// <1045> 瑚太朗
<1045> 瑚太朗

// <1046> 「いや、……誤解させたつもりもねぇ」
<1046> 「いや、……誤解させたつもりもねぇ」

// <1047> 瑚太朗
<1047> 瑚太朗

// <1048> 「俺はあの時、率直な気持ちで言ったんだ。……二度とひとりぼっちにさせねぇってな」
<1048> 「俺はあの時、率直な気持ちで言ったんだ。……二度とひとりぼっちにさせねぇってな」

// <1049> 静流
<1049> 静流

// <1050> 「その言葉を、ルチアがどう受け取ったかは、深く考えなかったか」
<1050> 「その言葉を、ルチアがどう受け取ったかは、深く考えなかったか」

// <1051> 瑚太朗
<1051> 瑚太朗

// <1052> 「……男女とか、そういう気持ちまでは考えなかった」
<1052> 「……男女とか、そういう気持ちまでは考えなかった」

// <1053> 瑚太朗
<1053> 瑚太朗

// <1054> 「俺はもしルチアが女じゃなくても。きっとあの時、あの場で、ああ言ったと思う」
<1054> 「俺はもしルチアが女じゃなくても。きっとあの時、あの場で、ああ言ったと思う」

// <1055> 静流
<1055> 静流

// <1056> 「ルチアはきっと、……コタローが口にした以上のものを、受け取ったと思う」
<1056> 「ルチアはきっと、……コタローが口にした以上のものを、受け取ったと思う」

// <1057> 瑚太朗
<1057> 瑚太朗

// <1058> 「…………」
<1058> 「…………」

// <1059> 静流
<1059> 静流

// <1060> 「今なら。まだルチアも誤解に気付ける。そしてコタローも、誰も傷つけずに済む」
<1060> 「今なら。まだルチアも誤解に気付ける。そしてコタローも、誰も傷つけずに済む」

// <1061> 瑚太朗
<1061> 瑚太朗

// <1062> 「…………」
<1062> 「…………」

// <1063> 静流
<1063> 静流

// <1064> 「お前はルチアの。運命の人になる覚悟は、本当にあるのか」
<1064> 「お前はルチアの。運命の人になる覚悟は、本当にあるのか」

// <1065> 俺は足を止め、夜の闇を照らす街路灯を見上げる。
<1065> 俺は足を止め、夜の闇を照らす街路灯を見上げる。

// <1066> 今日までの、ルチアを巡る色々なことを思い返す。
<1066> 今日までの、ルチアを巡る色々なことを思い返す。

// <1067> 俺にとって彼女って、何だったんだろう…。
<1067> 俺にとって彼女って、何だったんだろう…。

// <1068> 凄まじいまでの激辛耐性に興味を持って、からかった？
<1068> 凄まじいまでの激辛耐性に興味を持って、からかった？

// <1069> 潔癖症が彼女を孤立させてることに気付いて、気の毒になった？
<1069> 潔癖症が彼女を孤立させてることに気付いて、気の毒になった？

// <1070> アサヒハルカの怪談が彼女に結びつき、無視できなくなった？
<1070> アサヒハルカの怪談が彼女に結びつき、無視できなくなった？

// <1071> …………。
<1071> …………。

// <1072> 俺は未だ、此花ルチアという人間を、……どう捉えてるのか、決めかねている。
<1072> 俺は未だ、此花ルチアという人間を、……どう捉えてるのか、決めかねている。

// <1073> クラスメートとか、友人とか、……そういうシンプルな言葉で、捉えかねている。
<1073> クラスメートとか、友人とか、……そういうシンプルな言葉で、捉えかねている。

// <1074> これほどまでに、縁があったのに。
<1074> これほどまでに、縁があったのに。

// <1075> しかし、ルチアから見れば。
<1075> しかし、ルチアから見れば。

// <1076> 自惚れでも何でもなく。……俺はきっと、運命の人ってヤツなんだ。
<1076> 自惚れでも何でもなく。……俺はきっと、運命の人ってヤツなんだ。

// <1077> 俺も、そうと取られてもおかしくないことを言っちまってる。
<1077> 俺も、そうと取られてもおかしくないことを言っちまってる。

// <1078> でも、そう受け取られようと、受け取られなかろうと、……俺はあいつをもう、ひとりぼっちにしたくない。
<1078> でも、そう受け取られようと、受け取られなかろうと、……俺はあいつをもう、ひとりぼっちにしたくない。

// <1079> その気持ちを、ひょっとすると俺だけが、正確に理解できていないのかもしれない。
<1079> その気持ちを、ひょっとすると俺だけが、正確に理解できていないのかもしれない。

// <1080> 俺はあの礼拝堂で、彼女を孤独にする元凶である、毒に、激しい怒りを持った。
<1080> 俺はあの礼拝堂で、彼女を孤独にする元凶である、毒に、激しい怒りを持った。

// <1081> だから、普段はあれほど心の中で禁じている、アクセルの力を、思い切り踏み込んで、……毒に打ち克つ、新しい体を得た。
<1081> だから、普段はあれほど心の中で禁じている、アクセルの力を、思い切り踏み込んで、……毒に打ち克つ、新しい体を得た。

// <1082> 筋力などのように、顕著に体に出るものではないから、あまり自覚はしなかったが。
<1082> 筋力などのように、顕著に体に出るものではないから、あまり自覚はしなかったが。

// <1083> それは多分、全身の細胞を作り変えるほどの、大きな肉体変化を伴ったはずだ。
<1083> それは多分、全身の細胞を作り変えるほどの、大きな肉体変化を伴ったはずだ。

// <1084> 小さい頃から怯えてきた、禁断の力。
<1084> 小さい頃から怯えてきた、禁断の力。

// <1085> 何だって俺はあの時。こんなにも思い切り、何も恐れずに、……全力で使っちまったんだ……？
<1085> 何だって俺はあの時。こんなにも思い切り、何も恐れずに、……全力で使っちまったんだ……？

// <1086> 瑚太朗
<1086> 瑚太朗

// <1087> 「多分。……俺の体はもう、頭の天辺から爪先まで」
<1087> 「多分。……俺の体はもう、頭の天辺から爪先まで」

// <1088> 瑚太朗
<1088> 瑚太朗

// <1089> 「見た目には変わらなくても、常人とはまったく異なってるだろう」
<1089> 「見た目には変わらなくても、常人とはまったく異なってるだろう」

// <1090> 静流
<1090> 静流

// <1091> 「…………」
<1091> 「…………」

// <1092> 例の病院の検査では、俺にはルチアの毒に耐性があると教えられた。
<1092> 例の病院の検査では、俺にはルチアの毒に耐性があると教えられた。

// <1093> しかし、医者たちの話し声が聞こえてきたので、俺は何となく知ってしまっている。
<1093> しかし、医者たちの話し声が聞こえてきたので、俺は何となく知ってしまっている。

// <1094> 瑚太朗
<1094> 瑚太朗

// <1095> 「俺はもう、人間の外見はしていても。……普通の人間とはまったく異なる、別の存在になってるんだ」
<1095> 「俺はもう、人間の外見はしていても。……普通の人間とはまったく異なる、別の存在になってるんだ」

// <1096> 静流
<1096> 静流

// <1097> 「……らしいな」
<1097> 「……らしいな」

// <1098> 瑚太朗
<1098> 瑚太朗

// <1099> 「そしてそれは、ルチアと同じだ。それを、俺が望んでなった」
<1099> 「そしてそれは、ルチアと同じだ。それを、俺が望んでなった」

// <1100> 静流
<1100> 静流

// <1101> 「？」
<1101> 「？」

// <1102> 瑚太朗
<1102> 瑚太朗

// <1103> 「こっちの話だ」
<1103> 「こっちの話だ」

// <1104> 瑚太朗
<1104> 瑚太朗

// <1105> 「……とにかく俺は、ルチアをひとりぼっちにしたくなくて、自ら望んで、この体になろうと願ったんだ」
<1105> 「……とにかく俺は、ルチアをひとりぼっちにしたくなくて、自ら望んで、この体になろうと願ったんだ」

// <1106> 瑚太朗
<1106> 瑚太朗

// <1107> 「そしてそれは、もう嫌だから元の体に戻してくれと言っても、なるもんじゃない」
<1107> 「そしてそれは、もう嫌だから元の体に戻してくれと言っても、なるもんじゃない」

// <1108> アクセルの力が引き起こす変化は、常に不可逆的だ。
<1108> アクセルの力が引き起こす変化は、常に不可逆的だ。

// <1109> だからこそ、俺は安易に使いたくなかった。
<1109> だからこそ、俺は安易に使いたくなかった。

// <1110> しかし、……ルチアの涙を見た時。その恐れは微塵もなかったんだ。
<1110> しかし、……ルチアの涙を見た時。その恐れは微塵もなかったんだ。

// <1111> 瑚太朗
<1111> 瑚太朗

// <1112> 「それはつまり、俺が自覚してないだけで」
<1112> 「それはつまり、俺が自覚してないだけで」

// <1113> 俺には、此花ルチアを、生涯ひとりぼっちにしないという、覚悟が確かにあったことを、示すんだと思う。
<1113> 俺には、此花ルチアを、生涯ひとりぼっちにしないという、覚悟が確かにあったことを、示すんだと思う。

// <1114> それを、俺はもう自覚しなければ、……むしろ逆に、ルチアを傷つけるのだ。
<1114> それを、俺はもう自覚しなければ、……むしろ逆に、ルチアを傷つけるのだ。

// <1115> 彼女を傷つけないために、とことん踏んだアクセルだ。
<1115> 彼女を傷つけないために、とことん踏んだアクセルだ。

// <1116> ならば、これ以上、何も恐れるものなど、あるものか…。
<1116> ならば、これ以上、何も恐れるものなど、あるものか…。

// <1117> 瑚太朗
<1117> 瑚太朗

// <1118> 「俺は此花ルチアを、永遠にひとりぼっちにしない」
<1118> 「俺は此花ルチアを、永遠にひとりぼっちにしない」

// <1119> 瑚太朗
<1119> 瑚太朗

// <1120> 「……確かにそう誓ったぜ。そこからルチアが何を受け取ろうと感じようと、そこに一切の誤解はない」
<1120> 「……確かにそう誓ったぜ。そこからルチアが何を受け取ろうと感じようと、そこに一切の誤解はない」

// <1121> 静流
<1121> 静流

// <1122> 「コタロー…」
<1122> 「コタロー…」

// <1123> 瑚太朗
<1123> 瑚太朗

// <1124> 「あいつの夢が、食後に部屋で紅茶を飲みながら語り合うことだって言うなら。その夢も俺がすぐに叶えるぜ」
<1124> 「あいつの夢が、食後に部屋で紅茶を飲みながら語り合うことだって言うなら。その夢も俺がすぐに叶えるぜ」

// <1125> 瑚太朗
<1125> 瑚太朗

// <1126> 「あいつが思い描いてきた全てを、俺がきっと叶える。……それでいいか、静流。俺の覚悟は」
<1126> 「あいつが思い描いてきた全てを、俺がきっと叶える。……それでいいか、静流。俺の覚悟は」

// <1127> 静流
<1127> 静流

// <1128> 「…………」
<1128> 「…………」

// <1129> 静流は、短からぬ沈黙を守ってから、大きく静かな溜息を漏らした。
<1129> 静流は、短からぬ沈黙を守ってから、大きく静かな溜息を漏らした。

// <1130> その間。俺は一度たりとも、彼女の凝視する瞳から逃げなかった。
<1130> その間。俺は一度たりとも、彼女の凝視する瞳から逃げなかった。

// <1131> 静流
<1131> 静流

// <1132> 「らぶらぶだ。妬ける」
<1132> 「らぶらぶだ。妬ける」

// <1133> 静流
<1133> 静流

// <1134> 「しかし、すっきりした。ルチアの親友として、私は心から嬉しい」
<1134> 「しかし、すっきりした。ルチアの親友として、私は心から嬉しい」

// <1135> 瑚太朗
<1135> 瑚太朗

// <1136> 「いい話にして誤魔化したつもりだろうが、今夜の騒ぎの元凶がお前であることは、徹頭徹尾、間違いないんだからなっ。そこを誤魔化すなよっ」
<1136> 「いい話にして誤魔化したつもりだろうが、今夜の騒ぎの元凶がお前であることは、徹頭徹尾、間違いないんだからなっ。そこを誤魔化すなよっ」

// <1137> 静流
<1137> 静流

// <1138> 「んー、誤魔化し切れなかったか」
<1138> 「んー、誤魔化し切れなかったか」

// <1139> 瑚太朗
<1139> 瑚太朗

// <1140> 「誤魔化せてない。断じてまるまる、はっきり全然、誤魔化せてないっ」
<1140> 「誤魔化せてない。断じてまるまる、はっきり全然、誤魔化せてないっ」

// <1141> 静流は頭をぽりぽりと掻くような仕草をする。
<1141> 静流は頭をぽりぽりと掻くような仕草をする。

// <1142> しかしもう、表情はいつもと同じ、彼女らしい惚けたものに戻っていた。
<1142> しかしもう、表情はいつもと同じ、彼女らしい惚けたものに戻っていた。

// <1143> 静流は親友として、ルチアには絶対に聞けないことを、彼女に代わって聞いてくれたのだ。
<1143> 静流は親友として、ルチアには絶対に聞けないことを、彼女に代わって聞いてくれたのだ。

// <1144> きっとそれをルチアに伝えるだろう。
<1144> きっとそれをルチアに伝えるだろう。

// <1145> 時に、両者の気持ちというのは、第三者を経なければ伝わらないこともあるものだ…。
<1145> 時に、両者の気持ちというのは、第三者を経なければ伝わらないこともあるものだ…。

// <1146> 静流
<1146> 静流

// <1147> 「コタローは、そっち。私はこっちだ」
<1147> 「コタローは、そっち。私はこっちだ」

// <1148> 瑚太朗
<1148> 瑚太朗

// <1149> 「もう遅いから家まで送るぜ」
<1149> 「もう遅いから家まで送るぜ」

// <1150> 静流
<1150> 静流

// <1151> 「ガッのエージェントだから、全然平気だ」
<1151> 「ガッのエージェントだから、全然平気だ」

// <1152> 瑚太朗
<1152> 瑚太朗

// <1153> 「だから秘密の組織なのに気安く口にするなっ」
<1153> 「だから秘密の組織なのに気安く口にするなっ」

// <1154> 静流
<1154> 静流

// <1155> 「ガッ、ガッ」
<1155> 「ガッ、ガッ」

// <1156> 瑚太朗
<1156> 瑚太朗

// <1157> 「じゃあな、また明日な」
<1157> 「じゃあな、また明日な」

// <1158> 静流
<1158> 静流

// <1159> 「コタロー。もう二度と邪魔はしない。そのお詫びに、いいことを教える」
<1159> 「コタロー。もう二度と邪魔はしない。そのお詫びに、いいことを教える」

// <1160> 瑚太朗
<1160> 瑚太朗

// <1161> 「何だよ」
<1161> 「何だよ」

// <1162> 静流
<1162> 静流

// <1163> 「ルチアが私に語ってくれた夢を、教える」
<1163> 「ルチアが私に語ってくれた夢を、教える」

// <1164> 瑚太朗
<1164> 瑚太朗

// <1165> 「夢？」
<1165> 「夢？」

// <1166> 静流
<1166> 静流

// <1167> 「彼氏が出来たら、こんなデートがしたいという、ルチアの夢だ。……本年元旦バージョン、最新版」
<1167> 「彼氏が出来たら、こんなデートがしたいという、ルチアの夢だ。……本年元旦バージョン、最新版」

// <1168> 瑚太朗
<1168> 瑚太朗

// <1169> 「バージョンアップする前に聞かせてくれ」
<1169> 「バージョンアップする前に聞かせてくれ」

// <1170> 静流に、ルチアが思い描いていたという、初デートの夢を教えてもらう。
<1170> 静流に、ルチアが思い描いていたという、初デートの夢を教えてもらう。

// <1171> ……それは、普通の女の子として当たり前な、本当に慎ましやかなもの。
<1171> ……それは、普通の女の子として当たり前な、本当に慎ましやかなもの。

// <1172> 彼女が、秘密結社ガーディアンに所属するエージェントだなんて、どうでもよくなるくらい、ささやかなものだった。
<1172> 彼女が、秘密結社ガーディアンに所属するエージェントだなんて、どうでもよくなるくらい、ささやかなものだった。

// <1173> ガーディアンか。……普段はどういうことをやってる連中なんだろうな。
<1173> ガーディアンか。……普段はどういうことをやってる連中なんだろうな。

// <1174> 俺には関係ないことだ。ルチアという一人の少女を語る時には、本当にどうでもいいことだ……。
<1174> 俺には関係ないことだ。ルチアという一人の少女を語る時には、本当にどうでもいいことだ……。

// <1175> 
<1175> 

// <1176> テレビ＿Ａ
<1176> テレビ＿Ａ

// <1177> 『こんばんは。ＣＣＮニュースのウォレン・ベイカーです。衝撃的なニュースが全米を駆け巡っています』
<1177> 『こんばんは。ＣＣＮニュースのウォレン・ベイカーです。衝撃的なニュースが全米を駆け巡っています』

// <1178> テレビ＿Ａ
<1178> テレビ＿Ａ

// <1179> 『我が国に拠点を持つ国際的人権団体ＧＡインターナショナルエージェンシーが本日、合衆国連邦捜査局による強制捜査を受けたのです』
<1179> 『我が国に拠点を持つ国際的人権団体ＧＡインターナショナルエージェンシーが本日、合衆国連邦捜査局による強制捜査を受けたのです』

// <1180> テレビ＿Ａ
<1180> テレビ＿Ａ

// <1181> 『当局は同団体が国際テロ組織への資金供与に深く関わっていたと主張しています』
<1181> 『当局は同団体が国際テロ組織への資金供与に深く関わっていたと主張しています』

