// <0000> 決まりだ。後はみんなが集まるのを待とう。
<0000> 決まりだ。後はみんなが集まるのを待とう。
<0349> 「そうなんですかー…」

// <0350> 騙されるな。ネットで何でも調べがつくもんじゃないぞ。
<0350> 騙されるな。ネットで何でも調べがつくもんじゃないぞ。

// <0351> さて、どのあたりだろう。
<0351> さて、どのあたりだろう。

// <0352> 五人での捜索だ（一人はすでに頭数には入っていない）。
<0352> 五人での捜索だ（一人はすでに頭数には入っていない）。

// <0353> 言いだしっぺの俺がリーダーシップを発揮しなければならない。
<0353> 言いだしっぺの俺がリーダーシップを発揮しなければならない。

// <0354> さて…。
<0354> さて…。

// <0355> 聞き込み
<0355> 聞き込み

// <0356> 自力で探す
<0356> 自力で探す

// <0357> まずは聞き込みだ。
<0357> まずは聞き込みだ。

// <0358> この時間なら公園を探せば、知ってそうな小学生とかがいるかも。
<0358> この時間なら公園を探せば、知ってそうな小学生とかがいるかも。

// <0359> ちょっと歩くと小さな公園を見つけた。
<0359> ちょっと歩くと小さな公園を見つけた。

// <0360> 元気な男子小学生がなにやらドッジボール的なものに興じている。
<0360> 元気な男子小学生がなにやらドッジボール的なものに興じている。

// <0361> 瑚太朗
<0361> 瑚太朗

// <0362> 「ちょいと、そこな小学生男子」
<0362> 「ちょいと、そこな小学生男子」

// <0363> 小学生たち
<0363> 小学生たち

// <0364> 「え、俺ら？」
<0364> 「え、俺ら？」

// <0365> 小学生たち
<0365> 小学生たち

// <0366> 「なんだ！？」
<0366> 「なんだ！？」

// <0367> 小学生たち
<0367> 小学生たち

// <0368> 「ひとさらいだ！　ゆうかいはんだ！！」
<0368> 「ひとさらいだ！　ゆうかいはんだ！！」

// <0369> 瑚太朗
<0369> 瑚太朗

// <0370> 「あら…防犯意識旺盛な子供たちだこと…」
<0370> 「あら…防犯意識旺盛な子供たちだこと…」

// <0371> 学校教育の賜物だろうか…。
<0371> 学校教育の賜物だろうか…。

// <0372> まあ、こんなことでは腹を立ててはいけない。今の社会が悪いのだ。
<0372> まあ、こんなことでは腹を立ててはいけない。今の社会が悪いのだ。

// <0373> 瑚太朗
<0373> 瑚太朗

// <0374> 「怪しいもんじゃねえよ。ほら、風祭の制服着てるだろ。学生だよ」
<0374> 「怪しいもんじゃねえよ。ほら、風祭の制服着てるだろ。学生だよ」

// <0375> 小学生たち
<0375> 小学生たち

// <0376> 「イェーイ！」
<0376> 「イェーイ！」

// <0377> べしっ。
<0377> べしっ。

// <0378> 瑚太朗
<0378> 瑚太朗

// <0379> 「ぐっ…」
<0379> 「ぐっ…」

// <0380> 後頭部にボールをぶつけられた。
<0380> 後頭部にボールをぶつけられた。

// <0381> ば、馬鹿にされとる…。
<0381> ば、馬鹿にされとる…。

// <0382> だが、こんなもんで怒りをぶつけていてはいかん。所詮ガキのやることだ…。
<0382> だが、こんなもんで怒りをぶつけていてはいかん。所詮ガキのやることだ…。

// <0383> 瑚太朗
<0383> 瑚太朗

// <0384> 「き、聞きたい事があんだけど…」
<0384> 「き、聞きたい事があんだけど…」

// <0385> 小学生たち
<0385> 小学生たち

// <0386> 「おじさんなんか用？」
<0386> 「おじさんなんか用？」

// <0387> 瑚太朗
<0387> 瑚太朗

// <0388> 「誰がおじさんだこのクソガキ！　俺ぁまだティーンエイジャーだよッ！！」
<0388> 「誰がおじさんだこのクソガキ！　俺ぁまだティーンエイジャーだよッ！！」

// <0389> 小学生たち
<0389> 小学生たち

// <0390> 「うわっ、怒ったぞ！　逃げろ！！」
<0390> 「うわっ、怒ったぞ！　逃げろ！！」

// <0391> 瑚太朗
<0391> 瑚太朗

// <0392> 「待ちやがれ！」
<0392> 「待ちやがれ！」

// <0393> …無駄にガキどもとの追いかけっこで時間を費やした。
<0393> …無駄にガキどもとの追いかけっこで時間を費やした。

// <0394> 瑚太朗
<0394> 瑚太朗

// <0395> 「おのれガキども…微妙な年頃のグラスハートを踏みにじりおって…」
<0395> 「おのれガキども…微妙な年頃のグラスハートを踏みにじりおって…」

// <0396> 将来俺の子供には『学生をおじさんと呼ぶような、人の気持ちのわからない子供になるな』と教え込もうと思う。
<0396> 将来俺の子供には『学生をおじさんと呼ぶような、人の気持ちのわからない子供になるな』と教え込もうと思う。

// <0397> ともあれ、捕まえたガキから場所を聞き出すことが出来た。
<0397> ともあれ、捕まえたガキから場所を聞き出すことが出来た。

// <0398> よし、歩き回ってみよう。
<0398> よし、歩き回ってみよう。

// <0399> ……。
<0399> ……。

// <0400> …あ、この赤白のマンフクの看板、なんかどこ行っても見かけるよな…。
<0400> …あ、この赤白のマンフクの看板、なんかどこ行っても見かけるよな…。

// <0401> 修学旅行先とかでも発見して、少し話題になったことがあった。
<0401> 修学旅行先とかでも発見して、少し話題になったことがあった。

// <0402> おそらく全国各地、どこにでも存在しているのだろう。
<0402> おそらく全国各地、どこにでも存在しているのだろう。

// <0403> 瑚太朗
<0403> 瑚太朗

// <0404> 「あれ、こっちにもある…多過ぎじゃね？」
<0404> 「あれ、こっちにもある…多過ぎじゃね？」

// <0405> 瑚太朗
<0405> 瑚太朗

// <0406> 「うおっ、駐車場の片隅に朽ちた看板が…！」
<0406> 「うおっ、駐車場の片隅に朽ちた看板が…！」

// <0407> 瑚太朗
<0407> 瑚太朗

// <0408> 「ふう」
<0408> 「ふう」

// <0409> なんとこの町内だけで九個もの看板を発見した。
<0409> なんとこの町内だけで九個もの看板を発見した。

// <0410> 瑚太朗
<0410> 瑚太朗

// <0411> 「すげえすげえ。大収穫」
<0411> 「すげえすげえ。大収穫」

// <0412> 写メを眺める。
<0412> 写メを眺める。

// <0413> 時代によって微妙にバージョン違いがあるようだ。
<0413> 時代によって微妙にバージョン違いがあるようだ。

// <0414> 昭和的な年代感を覚えるものもある。
<0414> 昭和的な年代感を覚えるものもある。

// <0415> これはひょっとしてネタになるんじゃないだろうか。
<0415> これはひょっとしてネタになるんじゃないだろうか。

// <0416> むしろ残したい原風景として保護していくべきものじゃないだろうか。
<0416> むしろ残したい原風景として保護していくべきものじゃないだろうか。

// <0417> 全国どこへ行ってもこの看板があるのだ。日本の日常風景の象徴といってもいい。
<0417> 全国どこへ行ってもこの看板があるのだ。日本の日常風景の象徴といってもいい。

// <0418> そうだ、これはもう保存会でも結成して保護すべきじゃないか？
<0418> そうだ、これはもう保存会でも結成して保護すべきじゃないか？

// <0419> よし！　俺、帰ったら早速サイト立ち上げる！！
<0419> よし！　俺、帰ったら早速サイト立ち上げる！！

// <0420> 瑚太朗
<0420> 瑚太朗

// <0421> 「俺、やるぞ…！」
<0421> 「俺、やるぞ…！」

// <0422> やる気になった。
<0422> やる気になった。

// <0423> と、メールが届く。
<0423> と、メールが届く。

// <0424> ルチアからだ。
<0424> ルチアからだ。

// <0425> 『見つけたぞ』。
<0425> 『見つけたぞ』。

// <0426> 瑚太朗
<0426> 瑚太朗

// <0427> 「しまったぁあ！！」
<0427> 「しまったぁあ！！」

// <0428> マンフクの看板探しに夢中になりすぎた！
<0428> マンフクの看板探しに夢中になりすぎた！

// <0429> 瑚太朗
<0429> 瑚太朗

// <0430> 「ここだな」
<0430> 「ここだな」

// <0431> こげ茶色の外壁に、半分下りたシャッター。
<0431> こげ茶色の外壁に、半分下りたシャッター。

// <0432> 見た目は昭和の民家といった感じだ。
<0432> 見た目は昭和の民家といった感じだ。

// <0433> おそらくこのあたりの緑化都市としての整備以前から建っているものだろう。塀の貼り紙なんかにも歴史を感じる。
<0433> おそらくこのあたりの緑化都市としての整備以前から建っているものだろう。塀の貼り紙なんかにも歴史を感じる。

// <0434> 瑚太朗
<0434> 瑚太朗

// <0435> 「なんだったんだろ、ここ。小鳥知らない？」
<0435> 「なんだったんだろ、ここ。小鳥知らない？」

// <0436> 小鳥
<0436> 小鳥

// <0437> 「このあたりにゃほとんど来た事ないからねえ」
<0437> 「このあたりにゃほとんど来た事ないからねえ」

// <0438> 瑚太朗
<0438> 瑚太朗

// <0439> 「ふーむ」
<0439> 「ふーむ」

// <0440> ルチア
<0440> ルチア

// <0441> 「いや、どうも普通の民家のようだぞ。裏を見てみたら、新しい洗濯物が干してあった」
<0441> 「いや、どうも普通の民家のようだぞ。裏を見てみたら、新しい洗濯物が干してあった」

// <0442> 瑚太朗
<0442> 瑚太朗

// <0443> 「じゃあなんでここが幽霊屋敷なんて…」
<0443> 「じゃあなんでここが幽霊屋敷なんて…」

// <0444> …いや、なんとなくわかる気がする。
<0444> …いや、なんとなくわかる気がする。

// <0445> 子供の目には、この古びた建物は異質すぎる。そんな想像力が働いてもおかしくはない。
<0445> 子供の目には、この古びた建物は異質すぎる。そんな想像力が働いてもおかしくはない。

// <0446> 瑚太朗
<0446> 瑚太朗

// <0447> 「こんだけ探し回ってただの民家でした、か…」
<0447> 「こんだけ探し回ってただの民家でした、か…」

// <0448> 静流
<0448> 静流

// <0449> 「むう」
<0449> 「むう」

// <0450> ちはや
<0450> ちはや

// <0451> 「せっかくだから家の人に話でも聞いてみます？」
<0451> 「せっかくだから家の人に話でも聞いてみます？」

// <0452> 瑚太朗
<0452> 瑚太朗

// <0453> 「ただのお宅訪問になっちまうぞ…」
<0453> 「ただのお宅訪問になっちまうぞ…」

// <0454> とか言ってると。
<0454> とか言ってると。

// <0455> がらら。
<0455> がらら。

// <0456> 瑚太朗
<0456> 瑚太朗

// <0457> 「あ」
<0457> 「あ」

// <0458> 玄関が開いた。
<0458> 玄関が開いた。

// <0459> 中から割烹着姿のおばあちゃんが出てくる。
<0459> 中から割烹着姿のおばあちゃんが出てくる。

// <0460> ばあちゃん
<0460> ばあちゃん

// <0461> 「はいはい、なんでしょ」
<0461> 「はいはい、なんでしょ」

// <0462> 瑚太朗
<0462> 瑚太朗

// <0463> 「あ、いえ…」
<0463> 「あ、いえ…」

// <0464> 本当にただの家じゃん！
<0464> 本当にただの家じゃん！

// <0465> ばあちゃん
<0465> ばあちゃん

// <0466> 「すみませんねえ、店のほうは今開けてないんですよ」
<0466> 「すみませんねえ、店のほうは今開けてないんですよ」

// <0467> 瑚太朗
<0467> 瑚太朗

// <0468> 「店？」
<0468> 「店？」

// <0469> ばあちゃん
<0469> ばあちゃん

// <0470> 「ええ…もしかして、子供のころに遊びに来てくれた子かい？　じゃあ開けてあげないとねえ…」
<0470> 「ええ…もしかして、子供のころに遊びに来てくれた子かい？　じゃあ開けてあげないとねえ…」

// <0471> そういうと、よろよろとしながら軒先のシャッターに手をかける。
<0471> そういうと、よろよろとしながら軒先のシャッターに手をかける。

// <0472> ばあちゃん
<0472> ばあちゃん

// <0473> 「よい、しょっと…」
<0473> 「よい、しょっと…」

// <0474> ルチア
<0474> ルチア

// <0475> 「手伝いましょう」
<0475> 「手伝いましょう」

// <0476> ばあちゃん
<0476> ばあちゃん

// <0477> 「あら、悪いわねえ」
<0477> 「あら、悪いわねえ」

// <0478> がらららら、と音を立ててシャッターが開いていく。
<0478> がらららら、と音を立ててシャッターが開いていく。

// <0479> 引き戸のガラス窓の向こうには、見覚えのあるお菓子たちが並んでいた。
<0479> 引き戸のガラス窓の向こうには、見覚えのあるお菓子たちが並んでいた。

// <0480> 瑚太朗
<0480> 瑚太朗

// <0481> 「あー」
<0481> 「あー」

// <0482> ここ、駄菓子屋か。
<0482> ここ、駄菓子屋か。

// <0483> ばあちゃん
<0483> ばあちゃん

// <0484> 「ふう…さ、どうぞ」
<0484> 「ふう…さ、どうぞ」

// <0485> 瑚太朗
<0485> 瑚太朗

// <0486> 「あ、はい…」
<0486> 「あ、はい…」

// <0487> 大儀そうに歩くばあちゃんに言われるまま、中へ。
<0487> 大儀そうに歩くばあちゃんに言われるまま、中へ。

// <0488> …といっても、ほとんど軒先だけで、奥行きは玄関先程度しかない。
<0488> …といっても、ほとんど軒先だけで、奥行きは玄関先程度しかない。

// <0489> 瑚太朗
<0489> 瑚太朗

// <0490> 「うわー」
<0490> 「うわー」

// <0491> こういうところ独特の匂いがする。
<0491> こういうところ独特の匂いがする。

// <0492> 小鳥
<0492> 小鳥

// <0493> 「あ、これ懐かしいね」
<0493> 「あ、これ懐かしいね」

// <0494> ちはや
<0494> ちはや

// <0495> 「なんですこれ？」
<0495> 「なんですこれ？」

// <0496> 小鳥
<0496> 小鳥

// <0497> 「練り飴。水飴かな？　割り箸に練って巻きつけて食べるの」
<0497> 「練り飴。水飴かな？　割り箸に練って巻きつけて食べるの」

// <0498> ちはや
<0498> ちはや

// <0499> 「へー」
<0499> 「へー」

// <0500> ルチア
<0500> ルチア

// <0501> 「見たことのないものだな…美味しいのか？」
<0501> 「見たことのないものだな…美味しいのか？」

// <0502> ばあちゃん
<0502> ばあちゃん

// <0503> 「あら、知らないのかい。これはこうやって…」
<0503> 「あら、知らないのかい。これはこうやって…」

// <0504> 袋を開け、中の水飴を割り箸二本でからめとる。
<0504> 袋を開け、中の水飴を割り箸二本でからめとる。

// <0505> ルチア
<0505> ルチア

// <0506> 「………」
<0506> 「………」

// <0507> ばあちゃん
<0507> ばあちゃん

// <0508> 「はいよ」
<0508> 「はいよ」

// <0509> その割り箸をルチアに手渡す。
<0509> その割り箸をルチアに手渡す。

// <0510> ルチア
<0510> ルチア

// <0511> 「いや、私は…」
<0511> 「いや、私は…」

// <0512> 小鳥
<0512> 小鳥

// <0513> 「いいんちょ、ねりねりするの。こうやって」
<0513> 「いいんちょ、ねりねりするの。こうやって」

// <0514> ルチア
<0514> ルチア

// <0515> 「………」
<0515> 「………」

// <0516> ねりねり。
<0516> ねりねり。

// <0517> ルチア
<0517> ルチア

// <0518> 「な、なるほど…」
<0518> 「な、なるほど…」

// <0519> 静流
<0519> 静流

// <0520> 「これは…ヒトデカッターか」
<0520> 「これは…ヒトデカッターか」

// <0521> 静流の手にあるのはプラスチック製のとげとげが付いたわっかだ。
<0521> 静流の手にあるのはプラスチック製のとげとげが付いたわっかだ。

// <0522> 瑚太朗
<0522> 瑚太朗

// <0523> 「手裏剣だからな、静流」
<0523> 「手裏剣だからな、静流」

// <0524> 静流
<0524> 静流

// <0525> 「むう」
<0525> 「むう」

// <0526> 瑚太朗
<0526> 瑚太朗

// <0527> 「これ、当たると結構痛いんだよな」
<0527> 「これ、当たると結構痛いんだよな」

// <0528> 懐かしい。
<0528> 懐かしい。

// <0529> 瑚太朗
<0529> 瑚太朗

// <0530> 「お、こっちは…」
<0530> 「お、こっちは…」

// <0531> 静流
<0531> 静流

// <0532> 「刀か」
<0532> 「刀か」

// <0533> 瑚太朗
<0533> 瑚太朗

// <0534> 「聖剣エクスカリバーだ」
<0534> 「聖剣エクスカリバーだ」

// <0535> 静流
<0535> 静流

// <0536> 「聖剣エクスカリバーとはプラスチック製だったのか…！」
<0536> 「聖剣エクスカリバーとはプラスチック製だったのか…！」

// <0537> 小鳥
<0537> 小鳥

// <0538> 「おもちゃの刀だよ」
<0538> 「おもちゃの刀だよ」

// <0539> とりあえず、刀を手にとって見る。
<0539> とりあえず、刀を手にとって見る。

// <0540> 瑚太朗
<0540> 瑚太朗

// <0541> 「ん」
<0541> 「ん」

// <0542> 瑚太朗
<0542> 瑚太朗

// <0543> 「んんっ…」
<0543> 「んんっ…」

// <0544> 瑚太朗
<0544> 瑚太朗

// <0545> 「抜けねえ！」
<0545> 「抜けねえ！」

// <0546> 静流
<0546> 静流

// <0547> 「聖剣エクスカリバーは選ばれし者にしか引き抜くことは出来ない」
<0547> 「聖剣エクスカリバーは選ばれし者にしか引き抜くことは出来ない」

// <0548> 小鳥
<0548> 小鳥

// <0549> 「おもちゃの刀だってば」
<0549> 「おもちゃの刀だってば」

// <0550> ばあちゃん
<0550> ばあちゃん

// <0551> 「ああ、それね…地震かなんかのとき、挟まっちゃって取れないんだよ」
<0551> 「ああ、それね…地震かなんかのとき、挟まっちゃって取れないんだよ」

// <0552> 瑚太朗
<0552> 瑚太朗

// <0553> 「マジか…」
<0553> 「マジか…」

// <0554> ちはや
<0554> ちはや

// <0555> 「抜いてみていいです？」
<0555> 「抜いてみていいです？」

// <0556> ばあちゃん
<0556> ばあちゃん

// <0557> 「いいけど、大の大人がやってみても無理だったよ」
<0557> 「いいけど、大の大人がやってみても無理だったよ」

// <0558> ちはや
<0558> ちはや

// <0559> 「平気ですー」
<0559> 「平気ですー」

// <0560> 瑚太朗
<0560> 瑚太朗

// <0561> 「………」
<0561> 「………」

// <0562> シミュレートする。
<0562> シミュレートする。

// <0563> 全力で抜く
<0563> 全力で抜く

// <0564> →すっぽ抜ける
<0564> →すっぽ抜ける

// <0565> →反動で後ろの戸棚へ突っ込む
<0565> →反動で後ろの戸棚へ突っ込む

// <0566> →大惨事世界大戦勃発
<0566> →大惨事世界大戦勃発

// <0567> 結論：世界が滅ぶ
<0567> 結論：世界が滅ぶ

// <0568> 瑚太朗
<0568> 瑚太朗

// <0569> 「やばい、止めろ！」
<0569> 「やばい、止めろ！」

// <0570> 朱音
<0570> 朱音

// <0571> 「すごく珍妙な思考回路を見た気がするわ」
<0571> 「すごく珍妙な思考回路を見た気がするわ」

// <0572> ちはや
<0572> ちはや

// <0573> 「せーのっ」
<0573> 「せーのっ」

// <0574> 遅かった！
<0574> 遅かった！

// <0575> それでも何とか後ろにカバーに入る。
<0575> それでも何とか後ろにカバーに入る。

// <0576> ちはや
<0576> ちはや

// <0577> 「しょっ…」
<0577> 「しょっ…」

// <0578> 引っこ抜けた。
<0578> 引っこ抜けた。

// <0579> ちはや
<0579> ちはや

// <0580> 「わぁっ」
<0580> 「わぁっ」

// <0581> ごちーん。
<0581> ごちーん。

// <0582> 瑚太朗
<0582> 瑚太朗

// <0583> 「げっ」
<0583> 「げっ」

// <0584> 顔面にちはやの後頭部がヒットした。
<0584> 顔面にちはやの後頭部がヒットした。

// <0585> そのまま倒れこむ。
<0585> そのまま倒れこむ。

// <0586> 瑚太朗
<0586> 瑚太朗

// <0587> 「い、いてて…」
<0587> 「い、いてて…」

// <0588> ちはや
<0588> ちはや

// <0589> 「あたた～」
<0589> 「あたた～」

// <0590> ちはや
<0590> ちはや

// <0591> 「な、何で瑚太朗が後ろにいるんですかっ」
<0591> 「な、何で瑚太朗が後ろにいるんですかっ」

// <0592> 朱音
<0592> 朱音

// <0593> 「バカね。かばってくれたのよ」
<0593> 「バカね。かばってくれたのよ」

// <0594> ちはや
<0594> ちはや

// <0595> 「はい？」
<0595> 「はい？」

// <0596> 朱音
<0596> 朱音

// <0597> 「ま、別にあなたならそのままでも怪我なんてしなかったでしょうけど」
<0597> 「ま、別にあなたならそのままでも怪我なんてしなかったでしょうけど」

// <0598> 瑚太朗
<0598> 瑚太朗

// <0599> 「まあそうなんすけどね…」
<0599> 「まあそうなんすけどね…」

// <0600> ちはや
<0600> ちはや

// <0601> 「………」
<0601> 「………」

// <0602> ちはや
<0602> ちはや

// <0603> 「そ、そうです。別に助けてなんて貰わなくても…」
<0603> 「そ、そうです。別に助けてなんて貰わなくても…」

// <0604> ちはや
<0604> ちはや

// <0605> 「ただ瑚太朗が痛い思いしただけじゃないですか」
<0605> 「ただ瑚太朗が痛い思いしただけじゃないですか」

// <0606> 朱音
<0606> 朱音

// <0607> 「余計な痛い思いさせて申し訳ないって言ってるみたいよ」
<0607> 「余計な痛い思いさせて申し訳ないって言ってるみたいよ」

// <0608> 瑚太朗
<0608> 瑚太朗

// <0609> 「何、気にすんな」
<0609> 「何、気にすんな」

// <0610> ちはや
<0610> ちはや

// <0611> 「ち、違いますっ！　変な解釈しないでくださいっ！！」
<0611> 「ち、違いますっ！　変な解釈しないでくださいっ！！」

// <0612> 朱音
<0612> 朱音

// <0613> 「じゃあどう解釈するべきなの」
<0613> 「じゃあどう解釈するべきなの」

// <0614> ちはや
<0614> ちはや

// <0615> 「…え、えーと、それはぁ…」
<0615> 「…え、えーと、それはぁ…」

// <0616> ルチア
<0616> ルチア

// <0617> 「楽しそうだな」
<0617> 「楽しそうだな」

// <0618> ちはや
<0618> ちはや

// <0619> 「楽しくないですっ！！」
<0619> 「楽しくないですっ！！」

// <0620> すかさずキャッチに回る。
<0620> すかさずキャッチに回る。

// <0621> ちはや
<0621> ちはや

// <0622> 「しょっ…」
<0622> 「しょっ…」

// <0623> 引っこ抜ける。
<0623> 引っこ抜ける。

// <0624> ちはや
<0624> ちはや

// <0625> 「わぁっ」
<0625> 「わぁっ」

// <0626> 瑚太朗
<0626> 瑚太朗

// <0627> 「ほっ…」
<0627> 「ほっ…」

// <0628> 瑚太朗
<0628> 瑚太朗

// <0629> 「お、おおっ！？」
<0629> 「お、おおっ！？」

// <0630> 上方向の慣性が思ったより強い！
<0630> 上方向の慣性が思ったより強い！

// <0631> そのまま抱えあげる形になり…。
<0631> そのまま抱えあげる形になり…。

// <0632> ちはや
<0632> ちはや

// <0633> 「ぎゃああああぁぁーーーっ！！！」
<0633> 「ぎゃああああぁぁーーーっ！！！」

// <0634> どがぁっ！
<0634> どがぁっ！

// <0635> 瑚太朗
<0635> 瑚太朗

// <0636> 「………」
<0636> 「………」

// <0637> イイ感じにバックドロップが極まった。
<0637> イイ感じにバックドロップが極まった。

// <0638> 朱音
<0638> 朱音

// <0639> 「………」
<0639> 「………」

// <0640> 瑚太朗
<0640> 瑚太朗

// <0641> 「あ、はい、どうぞ会長」
<0641> 「あ、はい、どうぞ会長」

// <0642> 朱音
<0642> 朱音

// <0643> 「なんなの…二人そろって馬鹿なの？」
<0643> 「なんなの…二人そろって馬鹿なの？」

// <0644> がばあ、とちはやが立ち上がる。
<0644> がばあ、とちはやが立ち上がる。

// <0645> ちはや
<0645> ちはや

// <0646> 「わ、私はばかじゃないですっ！」
<0646> 「わ、私はばかじゃないですっ！」

// <0647> 瑚太朗
<0647> 瑚太朗

// <0648> 「大丈夫か、ちはや」
<0648> 「大丈夫か、ちはや」

// <0649> ちはや
<0649> ちはや

// <0650> 「大丈夫なわけありますかーーーっ！！」
<0650> 「大丈夫なわけありますかーーーっ！！」

// <0651> ルチア
<0651> ルチア

// <0652> 「平気そうだな」
<0652> 「平気そうだな」

// <0653> ちはや
<0653> ちはや

// <0654> 「痛いですっ！！」
<0654> 「痛いですっ！！」

// <0655> ちはや
<0655> ちはや

// <0656> 「なんなんですか瑚太朗はっ！」
<0656> 「なんなんですか瑚太朗はっ！」

// <0657> 瑚太朗
<0657> 瑚太朗

// <0658> 「いや…被害を最小限に食い止められたんだから、感謝してほしい」
<0658> 「いや…被害を最小限に食い止められたんだから、感謝してほしい」

// <0659> 品物への被害は近くの菓子類が床に落ちただけだった。
<0659> 品物への被害は近くの菓子類が床に落ちただけだった。

// <0660> ちはや
<0660> ちはや

// <0661> 「ああ、それはどうも…」
<0661> 「ああ、それはどうも…」

// <0662> ちはや
<0662> ちはや

// <0663> 「なんてバックドロップ極められて言うわけないじゃないですかぁーーーーーっ！」
<0663> 「なんてバックドロップ極められて言うわけないじゃないですかぁーーーーーっ！」

// <0664> 瑚太朗
<0664> 瑚太朗

// <0665> 「いや、その、なんと言うかスマン」
<0665> 「いや、その、なんと言うかスマン」

// <0666> ちはや
<0666> ちはや

// <0667> 「だから瑚太朗は嫌いなんですっ！！！」
<0667> 「だから瑚太朗は嫌いなんですっ！！！」

// <0668> …予想以上に俺の腕力が上がってたみたいだった。
<0668> …予想以上に俺の腕力が上がってたみたいだった。

// <0669> 朱音
<0669> 朱音

// <0670> 「まあ、どうでもいいわね。怪我もなかったようだし」
<0670> 「まあ、どうでもいいわね。怪我もなかったようだし」

// <0671> ちはや
<0671> ちはや

// <0672> 「どうでも良くはないんですけど～」
<0672> 「どうでも良くはないんですけど～」

// <0673> 静流
<0673> 静流

// <0674> 「さすがだ。ちーは頑丈だ…」
<0674> 「さすがだ。ちーは頑丈だ…」

// <0675> ちはや
<0675> ちはや

// <0676> 「うれしくないです～」
<0676> 「うれしくないです～」

// <0677> ばあちゃん
<0677> ばあちゃん

// <0678> 「おや、抜けたのかい。すごいねえ…」
<0678> 「おや、抜けたのかい。すごいねえ…」

// <0679> ばあちゃん
<0679> ばあちゃん

// <0680> 「かれこれ十年は刺さったままだったんだけど、これで思い残すこともないね」
<0680> 「かれこれ十年は刺さったままだったんだけど、これで思い残すこともないね」

// <0681> 小鳥
<0681> 小鳥

// <0682> 「思い残すこと？」
<0682> 「思い残すこと？」

// <0683> ばあちゃん
<0683> ばあちゃん

// <0684> 「この店も、来月でたたんじまおうと思っててね」
<0684> 「この店も、来月でたたんじまおうと思っててね」

// <0685> 瑚太朗
<0685> 瑚太朗

// <0686> 「え、なんで…」
<0686> 「え、なんで…」

// <0687> ばあちゃん
<0687> ばあちゃん

// <0688> 「あたしももう年だからね…近頃は店を開けるのも億劫で…」
<0688> 「あたしももう年だからね…近頃は店を開けるのも億劫で…」

// <0689> 瑚太朗
<0689> 瑚太朗

// <0690> 「そ、そうなんすか…」
<0690> 「そ、そうなんすか…」

// <0691> ちはや
<0691> ちはや

// <0692> 「えー、もったいないですねえ…」
<0692> 「えー、もったいないですねえ…」

// <0693> 声＿吉野
<0693> 声＿吉野

// <0694> 「…邪魔すんぜ」
<0694> 「…邪魔すんぜ」

// <0695> 瑚太朗
<0695> 瑚太朗

// <0696> 「ん」
<0696> 「ん」

// <0697> 声に振り返る。
<0697> 声に振り返る。

// <0698> 吉野
<0698> 吉野

// <0699> 「………」
<0699> 「………」

// <0700> 瑚太朗
<0700> 瑚太朗

// <0701> 「ポカパマズさん！　ポカパマズさんじゃないか！」
<0701> 「ポカパマズさん！　ポカパマズさんじゃないか！」

// <0702> 吉野
<0702> 吉野

// <0703> 「んな珍奇珍妙な名前で呼ばれたこたあ一度もねえ！」
<0703> 「んな珍奇珍妙な名前で呼ばれたこたあ一度もねえ！」

// <0704> 瑚太朗
<0704> 瑚太朗

// <0705> 「え？　でも似てるなあ…」
<0705> 「え？　でも似てるなあ…」

// <0706> 吉野
<0706> 吉野

// <0707> 「ぶっ殺すぞ」
<0707> 「ぶっ殺すぞ」

// <0708> ばあちゃん
<0708> ばあちゃん

// <0709> 「おや、あんたは」
<0709> 「おや、あんたは」

// <0710> 吉野
<0710> 吉野

// <0711> 「久しぶりだ。ここが潰れちまうって話を聞いてな」
<0711> 「久しぶりだ。ここが潰れちまうって話を聞いてな」

// <0712> ばあちゃん
<0712> ばあちゃん

// <0713> 「わざわざ来てくれたのかい」
<0713> 「わざわざ来てくれたのかい」

// <0714> 瑚太朗
<0714> 瑚太朗

// <0715> 「え、お前元ここの客か」
<0715> 「え、お前元ここの客か」

// <0716> 吉野
<0716> 吉野

// <0717> 「ガキの頃の話よ…よしな、オレは過去は捨てた男だ」
<0717> 「ガキの頃の話よ…よしな、オレは過去は捨てた男だ」

// <0718> 瑚太朗
<0718> 瑚太朗

// <0719> 「こいつ昔どういうガキだったんですか」
<0719> 「こいつ昔どういうガキだったんですか」

// <0720> ばあちゃん
<0720> ばあちゃん

// <0721> 「ええ、ええ、よく覚えてますよ。よくケンカばっかりしてたねえ。親御さんが謝りにきたり」
<0721> 「ええ、ええ、よく覚えてますよ。よくケンカばっかりしてたねえ。親御さんが謝りにきたり」

// <0722> 吉野
<0722> 吉野

