// <0000> 携帯画面に表示されているこのマップ。
<0000> 携帯画面に表示されているこのマップ。
// <0412> fcm_ko10a
<0412> fcm_ko10a

// <0413> sys20_adv03
<0413> sys20_adv03

// <0414> sys20_adv03
<0414> sys20_adv03

// <0415> fcm_ko10a
<0415> fcm_ko10a

// <0416> sys20_adv03
<0416> sys20_adv03

// <0417> sys20_adv03
<0417> sys20_adv03

// <0418> fcm_ko10a
<0418> fcm_ko10a

// <0419> sys20_adv03
<0419> sys20_adv03

// <0420> sys20_adv03
<0420> sys20_adv03

// <0421> fcm_ko10a
<0421> fcm_ko10a

// <0422> sys20_adv03
<0422> sys20_adv03

// <0423> sys20_adv03
<0423> sys20_adv03

// <0424> fcm_ko10a
<0424> fcm_ko10a

// <0425> sys20_adv03
<0425> sys20_adv03

// <0426> bgm031
<0426> bgm031

// <0427> sys20_adv00
<0427> sys20_adv00

// <0428> fgmo02b
<0428> fgmo02b

// <0429> sys00_sys00
<0429> sys00_sys00

// <0430> s1003_006
<0430> s1003_006

// <0431> sys00_sys00
<0431> sys00_sys00

// <0432> s1003_006
<0432> s1003_006

// <0433> sys20_adv00
<0433> sys20_adv00

// <0434> bg014n
<0434> bg014n

// <0435> bgm018
<0435> bgm018
