// <0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0616> 「シェルターへの避難を考えたら３０分は差し引くべきね」

// <0617> 瑚太朗
<0617> 瑚太朗

// <0618> 「つまり、あと１時間でルチアを見つけ出せなきゃ、アウトってわけかっ」
<0618> 「つまり、あと１時間でルチアを見つけ出せなきゃ、アウトってわけかっ」

// <0619> 
<0619> 

// <0620> 
<0620> 

// <0621> ブレンダ
<0621> ブレンダ

// <0622> 「はい。夜明けと同時に、米原潜より核攻撃が行なわれます」
<0622> 「はい。夜明けと同時に、米原潜より核攻撃が行なわれます」

// <0623> ブレンダ
<0623> ブレンダ

// <0624> 「……もちろんです、ご安心を」
<0624> 「……もちろんです、ご安心を」

// <0625> ブレンダ
<0625> ブレンダ

// <0626> 「あれの瘴気は、数百万度の炎で完全に消滅します。万一にも、それ以上に拡散することはありません」
<0626> 「あれの瘴気は、数百万度の炎で完全に消滅します。万一にも、それ以上に拡散することはありません」

// <0627> 後始末は完璧。不浄の瘴気を決して地上に残しはしない。
<0627> 後始末は完璧。不浄の瘴気を決して地上に残しはしない。

// <0628> 瘴気の威力と範囲がどの程度のものか、充分なデータさえ採れれば、あとは綺麗さっぱり後片付けなのだ。
<0628> 瘴気の威力と範囲がどの程度のものか、充分なデータさえ採れれば、あとは綺麗さっぱり後片付けなのだ。

// <0629> ブレンダ
<0629> ブレンダ

// <0630> 「えぇ。それは容易でした」
<0630> 「えぇ。それは容易でした」

// <0631> ブレンダ
<0631> ブレンダ

// <0632> 「傷心のルチアを、さらに薬物で判断力を鈍らせれば、どのような心理状態へも誘導できます」
<0632> 「傷心のルチアを、さらに薬物で判断力を鈍らせれば、どのような心理状態へも誘導できます」

// <0633> ブレンダ
<0633> ブレンダ

// <0634> 「自ら死に場を求める、従順な殉教者に仕立て上げる術など、すでに我々は、千年以上も前から確立済みの技術です」
<0634> 「自ら死に場を求める、従順な殉教者に仕立て上げる術など、すでに我々は、千年以上も前から確立済みの技術です」

// <0635> 被験者の子供たちが従順であるように、彼らは常に精神をコントロールしていた。
<0635> 被験者の子供たちが従順であるように、彼らは常に精神をコントロールしていた。

// <0636> ブレンダ
<0636> ブレンダ

// <0637> 「もちろん、プロジェクトを離れ短くない期間を経過している彼女が、私たちのマインドコントロールから解放されている可能性もありました」
<0637> 「もちろん、プロジェクトを離れ短くない期間を経過している彼女が、私たちのマインドコントロールから解放されている可能性もありました」

// <0638> ブレンダ
<0638> ブレンダ

// <0639> 「彼女が、作戦への協力を拒否する確率は、私の計算で４５％ほど」
<0639> 「彼女が、作戦への協力を拒否する確率は、私の計算で４５％ほど」

// <0640> ブレンダ
<0640> ブレンダ

// <0641> 「……えぇ。実は彼女が拒否する可能性は決して低くありませんでした」
<0641> 「……えぇ。実は彼女が拒否する可能性は決して低くありませんでした」

// <0642> プロジェクトの魔手より、一時的とはいえ解放されたルチアは、少しずつ自分を取り戻していった。
<0642> プロジェクトの魔手より、一時的とはいえ解放されたルチアは、少しずつ自分を取り戻していった。

// <0643> クラスでは確かに変わり者だったかもしれないが、それでも、クラスの一員であることを、誰もが疑わないくらいに、……社会生活に馴染めていた。
<0643> クラスでは確かに変わり者だったかもしれないが、それでも、クラスの一員であることを、誰もが疑わないくらいに、……社会生活に馴染めていた。

// <0644> だから、そんなルチアがきっぱり過去と決別し、強い自我でブレンダの誘いを拒絶する可能性も少なからずあった……。
<0644> だから、そんなルチアがきっぱり過去と決別し、強い自我でブレンダの誘いを拒絶する可能性も少なからずあった……。

// <0645> もし、……ルチアの心が挫けていなかったら。
<0645> もし、……ルチアの心が挫けていなかったら。

// <0646> 彼女は断じて、このような恐ろしい作戦に手を貸したわけがないのだ。
<0646> 彼女は断じて、このような恐ろしい作戦に手を貸したわけがないのだ。

// <0647> ……不幸なタイミングと、心ない言葉の数々が、……彼女を追い詰め、傷つけ、悲しませ、自暴自棄にし、悪魔の誘いに耳を貸させてしまった。
<0647> ……不幸なタイミングと、心ない言葉の数々が、……彼女を追い詰め、傷つけ、悲しませ、自暴自棄にし、悪魔の誘いに耳を貸させてしまった。

// <0648> ブレンダ
<0648> ブレンダ

// <0649> 「いえいえ、まさか。彼女が協力を拒否するケースも、当然、想定しておりました」
<0649> 「いえいえ、まさか。彼女が協力を拒否するケースも、当然、想定しておりました」

// <0650> ブレンダ
<0650> ブレンダ

// <0651> 「それでも今回の作戦実行には、まったく支障になりません」
<0651> 「それでも今回の作戦実行には、まったく支障になりません」

// <0652> ブレンダ
<0652> ブレンダ

// <0653> 「万一、彼女が作戦に同意しない場合は、彼女の脊髄を切断し、生きた人形にして冷凍睡眠装置に閉じ込める予定でした」
<0653> 「万一、彼女が作戦に同意しない場合は、彼女の脊髄を切断し、生きた人形にして冷凍睡眠装置に閉じ込める予定でした」

// <0654> ブレンダ
<0654> ブレンダ

// <0655> 「それを瘴気爆弾として収穫祭会場の中央で爆破するつもりでした」
<0655> 「それを瘴気爆弾として収穫祭会場の中央で爆破するつもりでした」

// <0656> ブレンダ
<0656> ブレンダ

// <0657> 「……えぇ、そういうことです。彼女の協力意志など、特に必要はなかったわけです」
<0657> 「……えぇ、そういうことです。彼女の協力意志など、特に必要はなかったわけです」

// <0658> ブレンダ
<0658> ブレンダ

// <0659> 「いいえ、一応はありました。延髄を切断する手間は省けましたから」
<0659> 「いいえ、一応はありました。延髄を切断する手間は省けましたから」

// <0660> ブレンダ
<0660> ブレンダ

// <0661> 「……くす。えぇ、お陰でこの手を、汚い東洋人の血で汚さずに済みました」
<0661> 「……くす。えぇ、お陰でこの手を、汚い東洋人の血で汚さずに済みました」

// <0662> ルチアは、……知らずして、もっとも幸運な選択肢を選んでいたのだ。
<0662> ルチアは、……知らずして、もっとも幸運な選択肢を選んでいたのだ。

// <0663> もし、ルチアが協力を拒んでいたら。……彼女は文字通りの、生きた爆弾に改造されていたのだから…。
<0663> もし、ルチアが協力を拒んでいたら。……彼女は文字通りの、生きた爆弾に改造されていたのだから…。

// <0664> 電話
<0664> 電話

// <0665> 『……恐ろしい。そして完璧だ。マクファーデン司祭』
<0665> 『……恐ろしい。そして完璧だ。マクファーデン司祭』

// <0666> 電話
<0666> 電話

// <0667> 『パワースポットを破壊し、“鍵”とガイアをまとめて始末し、さらに貴重なデータまで採れた』
<0667> 『パワースポットを破壊し、“鍵”とガイアをまとめて始末し、さらに貴重なデータまで採れた』

// <0668> ブレンダ
<0668> ブレンダ

// <0669> 「データについてはバーソロミューが」
<0669> 「データについてはバーソロミューが」

// <0670> 電話
<0670> 電話

// <0671> 『すでに報告が入ってきている。その結果は素晴らしいものだ』
<0671> 『すでに報告が入ってきている。その結果は素晴らしいものだ』

// <0672> 電話
<0672> 電話

// <0673> 『それは我々人類が、ついに“鍵”の力を手に入れたことを示している』
<0673> 『それは我々人類が、ついに“鍵”の力を手に入れたことを示している』

// <0674> ブレンダ
<0674> ブレンダ

// <0675> 「我々は、父しか知り得ない終末の日の秘密を握り、そして次の世界への扉を開く“鍵”までも手に入れた」
<0675> 「我々は、父しか知り得ない終末の日の秘密を握り、そして次の世界への扉を開く“鍵”までも手に入れた」

// <0676> ブレンダ
<0676> ブレンダ

// <0677> 「我らガーディアンが数千年の歴史の果てに、ついに手にした快挙です」
<0677> 「我らガーディアンが数千年の歴史の果てに、ついに手にした快挙です」

// <0678> 電話
<0678> 電話

// <0679> 『君たちには、鍵を使い開いた扉の向こうの世界の研究を、引き続き行なってもらう』
<0679> 『君たちには、鍵を使い開いた扉の向こうの世界の研究を、引き続き行なってもらう』

// <0680> ブレンダ
<0680> ブレンダ

// <0681> 「今度はもう、……偽善者たちの横槍は御免ですわ」
<0681> 「今度はもう、……偽善者たちの横槍は御免ですわ」

// <0682> 電話
<0682> 電話

// <0683> 『もちろんだ。……二度と邪魔されることのない、最高の研究環境を約束する。君たちの要求した予算も全てを承認しよう』
<0683> 『もちろんだ。……二度と邪魔されることのない、最高の研究環境を約束する。君たちの要求した予算も全てを承認しよう』

// <0684> ブレンダ
<0684> ブレンダ

// <0685> 「ありがとうございます。枢機卿閣下」
<0685> 「ありがとうございます。枢機卿閣下」

// <0686> ブレンダ
<0686> ブレンダ

// <0687> 「我ら、この身を捧げ、楯となり槍とならん。……くっくくくくくくくくくく！」
<0687> 「我ら、この身を捧げ、楯となり槍とならん。……くっくくくくくくくくくく！」

// <0688> ■友達■　ID:
<0688> ■友達■　ID:

// <0689> 　NO:
<0689> 　NO:

// <0690> そこは、大きなファッションビルの、中だった。
<0690> そこは、大きなファッションビルの、中だった。

// <0691> 広大な鏡張りの吹き抜けと、そこを縫うように上階へ続くエスカレーターの造形が、何だか神々しかった。
<0691> 広大な鏡張りの吹き抜けと、そこを縫うように上階へ続くエスカレーターの造形が、何だか神々しかった。

// <0692> それはまるで、天へと誘う、神々の塔のアトリウム。
<0692> それはまるで、天へと誘う、神々の塔のアトリウム。

// <0693> そのアトリウムの中央に、彼女はいて、……誘う天を見上げている……。
<0693> そのアトリウムの中央に、彼女はいて、……誘う天を見上げている……。

// <0694> 生きる者の影さえない、死に絶えた世界となったにもかかわらず。
<0694> 生きる者の影さえない、死に絶えた世界となったにもかかわらず。

// <0695> ビルは主たちが死に絶えたことも知らず、……止めよと命じられるまで、永遠に明かりを灯し続けている。
<0695> ビルは主たちが死に絶えたことも知らず、……止めよと命じられるまで、永遠に明かりを灯し続けている。

// <0696> だからきっと。
<0696> だからきっと。

// <0697> 死の町となった今でさえ、展望台からは、信じられないくらいに美しい夜景を見ることが出来るだろう。
<0697> 死の町となった今でさえ、展望台からは、信じられないくらいに美しい夜景を見ることが出来るだろう。

// <0698> 町は、死に絶えてなお、……信号も外灯も、ビルの灯りも、……煌々と輝き続けている…。
<0698> 町は、死に絶えてなお、……信号も外灯も、ビルの灯りも、……煌々と輝き続けている…。

// <0699> ルチアは静かに、天を見上げている……。
<0699> ルチアは静かに、天を見上げている……。

// <0700> エスカレーターを上れば、辿り着ける場所にあるはずなのに。
<0700> エスカレーターを上れば、辿り着ける場所にあるはずなのに。

// <0701> ……そこは、歩みではもはや、辿り着けない場所。
<0701> ……そこは、歩みではもはや、辿り着けない場所。

// <0702> だから、ルチアは辿っている。あの日、訪れた店々を。
<0702> だから、ルチアは辿っている。あの日、訪れた店々を。

// <0703> 
<0703> 

// <0704> 最初に入ったのは、この化粧品店だった。
<0704> 最初に入ったのは、この化粧品店だった。

// <0705> ……香水のツンと来る特有の匂い。あの日の私にはわからなかった匂いだ。
<0705> ……香水のツンと来る特有の匂い。あの日の私にはわからなかった匂いだ。

// <0706> 瑚太朗はきっと、私も同じ匂いを共有してくれているだろうと思っていたに、違いない。
<0706> 瑚太朗はきっと、私も同じ匂いを共有してくれているだろうと思っていたに、違いない。

// <0707> しかし、私には匂いは、わからなかった。
<0707> しかし、私には匂いは、わからなかった。

// <0708> だから。
<0708> だから。

// <0709> 私は今日になってようやく、……同じ匂いを共有する。
<0709> 私は今日になってようやく、……同じ匂いを共有する。

// <0710> ようやく、あの日の、ここでのデートを、完成させる…。
<0710> ようやく、あの日の、ここでのデートを、完成させる…。

// <0711> ゲームセンターにも寄ったっけ。
<0711> ゲームセンターにも寄ったっけ。

// <0712> 確か、あそこにあったゲームを、楽しそうに遊んでいた。
<0712> 確か、あそこにあったゲームを、楽しそうに遊んでいた。

// <0713> 対戦するゲームと言っていた。……じゃあ、覚えたら、私と瑚太朗で一緒に遊ぶことも出来ただろうか。
<0713> 対戦するゲームと言っていた。……じゃあ、覚えたら、私と瑚太朗で一緒に遊ぶことも出来ただろうか。

// <0714> でも、複雑そうな操作だった。……瑚太朗に教えてもらわないと、…わからない。
<0714> でも、複雑そうな操作だった。……瑚太朗に教えてもらわないと、…わからない。

// <0715> このお店では、バスボムの話をしたっけ。
<0715> このお店では、バスボムの話をしたっけ。

// <0716> 私はバスボムで、お風呂のお湯が、色や泡で楽しくなるのが好きだった。
<0716> 私はバスボムで、お風呂のお湯が、色や泡で楽しくなるのが好きだった。

// <0717> でも、その一番の効能である香りについては、……最後までよくわからなかった。
<0717> でも、その一番の効能である香りについては、……最後までよくわからなかった。

// <0718> ……今なら、何となくわかる。
<0718> ……今なら、何となくわかる。

// <0719> 抑制剤を止めた今なら、私には嗅覚がある。
<0719> 抑制剤を止めた今なら、私には嗅覚がある。

// <0720> ……今度こそ、素敵な手作りのバスボムを、瑚太朗や静流にプレゼントできるだろう。
<0720> ……今度こそ、素敵な手作りのバスボムを、瑚太朗や静流にプレゼントできるだろう。

// <0721> ボディセラピーのお店もあったっけ。
<0721> ボディセラピーのお店もあったっけ。

// <0722> ……他人に体を触らせることの出来ない私にとっては、無縁な店だった。
<0722> ……他人に体を触らせることの出来ない私にとっては、無縁な店だった。

// <0723> でも、瑚太朗の肩を揉んだのは面白かった。
<0723> でも、瑚太朗の肩を揉んだのは面白かった。

// <0724> この辺がツボだろうとぐりぐりしたら、実に面白い反応をしたっけ。
<0724> この辺がツボだろうとぐりぐりしたら、実に面白い反応をしたっけ。

// <0725> ルチア
<0725> ルチア

// <0726> 「楽しかった、……な」
<0726> 「楽しかった、……な」

// <0727> そして次に、……どこに入ったっけ。
<0727> そして次に、……どこに入ったっけ。

// <0728> そうだ。玩具屋だ。
<0728> そうだ。玩具屋だ。

// <0729> ……そこでモデルガンを見ながら、…………私の身の上話をしたっけ。
<0729> ……そこでモデルガンを見ながら、…………私の身の上話をしたっけ。

// <0730> ルチア
<0730> ルチア

// <0731> 「私に出会ってくれて、……ありがとう、…か」
<0731> 「私に出会ってくれて、……ありがとう、…か」

// <0732> あの日、……私が瑚太朗に言った言葉だ。
<0732> あの日、……私が瑚太朗に言った言葉だ。

// <0733> 思えば、あの日からずっと、……彼に欲していたのかもしれない。
<0733> 思えば、あの日からずっと、……彼に欲していたのかもしれない。

// <0734> 私は、誰かに必要とされたかった。
<0734> 私は、誰かに必要とされたかった。

// <0735> 生きているだけで、誰かの命を奪ってしまう、存在することさえ許されない私に、存在する理由を、与えて欲しかった。
<0735> 生きているだけで、誰かの命を奪ってしまう、存在することさえ許されない私に、存在する理由を、与えて欲しかった。

// <0736> プロジェクトが解散し、存在の意味を失った私にとって、……その後の日々は全てが惰性だった。
<0736> プロジェクトが解散し、存在の意味を失った私にとって、……その後の日々は全てが惰性だった。

// <0737> 西九条さんの元で“鍵”捜索の任務に就いた。
<0737> 西九条さんの元で“鍵”捜索の任務に就いた。

// <0738> だが、……それは大切な任務ではあっても、私でなくてはならない任務ではなかった。
<0738> だが、……それは大切な任務ではあっても、私でなくてはならない任務ではなかった。

// <0739> 私は、私でなくてはならない理由で、私を誰かに必要と、して欲しかったのだ。
<0739> 私は、私でなくてはならない理由で、私を誰かに必要と、して欲しかったのだ。

// <0740> 瑚太朗は私を、生涯、孤独にしないと何度も誓ってくれた。
<0740> 瑚太朗は私を、生涯、孤独にしないと何度も誓ってくれた。

// <0741> 私が彼を必要とするから、彼は居てくれたのだ。
<0741> 私が彼を必要とするから、彼は居てくれたのだ。

// <0742> では、………私が彼を必要としなかったなら、……彼は居てくれたのだろうか……。
<0742> では、………私が彼を必要としなかったなら、……彼は居てくれたのだろうか……。

// <0743> 欲しかったのは、この身を同情してもらうことじゃない。
<0743> 欲しかったのは、この身を同情してもらうことじゃない。

// <0744> 許されざる自分を許し、必要としてくれる誰かを、ずっと求めていたのだ。
<0744> 許されざる自分を許し、必要としてくれる誰かを、ずっと求めていたのだ。

// <0745> それが例え、恐ろしい悪魔であっても。
<0745> それが例え、恐ろしい悪魔であっても。

// <0746> それが、私の弱さであり、罪……。
<0746> それが、私の弱さであり、罪……。

// <0747> 私は、この作戦を引き受けた時から、ここを墓標に決めていた。
<0747> 私は、この作戦を引き受けた時から、ここを墓標に決めていた。

// <0748> 核攻撃の数百万度の火球は瞬時に全てを蒸発させるだろう。
<0748> 核攻撃の数百万度の火球は瞬時に全てを蒸発させるだろう。

// <0749> 私の呪われた人生の中で唯一の、……一番楽しかった日の思い出と共に、私を焼き払ってもらおう。…そう、決めていた。
<0749> 私の呪われた人生の中で唯一の、……一番楽しかった日の思い出と共に、私を焼き払ってもらおう。…そう、決めていた。

// <0750> ……私は携帯をポケットから出す。
<0750> ……私は携帯をポケットから出す。

// <0751> 瑚太朗と話したくなくて。メールも読みたくなくて。
<0751> 瑚太朗と話したくなくて。メールも読みたくなくて。

// <0752> ……それが積み重なり、電源を入れることさえ億劫になってしまった、私の携帯。
<0752> ……それが積み重なり、電源を入れることさえ億劫になってしまった、私の携帯。

// <0753> かつて、瑚太朗とやり取りをしたメールは、全てが宝物。
<0753> かつて、瑚太朗とやり取りをしたメールは、全てが宝物。

// <0754> …全て保護を掛けて取って置いてある。それが、今になって、無性に読み返したかった。
<0754> …全て保護を掛けて取って置いてある。それが、今になって、無性に読み返したかった。

// <0755> 大丈夫だろうか、……携帯。
<0755> 大丈夫だろうか、……携帯。

// <0756> ブレンダに投与された最後の薬は、私の毒性を大きく促進させるものだった。
<0756> ブレンダに投与された最後の薬は、私の毒性を大きく促進させるものだった。

// <0757> じゃあ、もう一つの呪いである、超振動はどうだろう。
<0757> じゃあ、もう一つの呪いである、超振動はどうだろう。

// <0758> ひょっとすると、私は知らず知らずの内に、自分の携帯を破壊してしまっているかもしれない。
<0758> ひょっとすると、私は知らず知らずの内に、自分の携帯を破壊してしまっているかもしれない。

// <0759> ……それは、あまりに悲しかった。
<0759> ……それは、あまりに悲しかった。

// <0760> 瑚太朗からの大切なメールが二度と見られないなんて、胸が張り裂けそうだった。
<0760> 瑚太朗からの大切なメールが二度と見られないなんて、胸が張り裂けそうだった。

// <0761> だから、……壊れていないことを確かめたくて。……それを口実にして、……電源を、入れる。
<0761> だから、……壊れていないことを確かめたくて。……それを口実にして、……電源を、入れる。

// <0762> ぁ、……電源、入った……。
<0762> ぁ、……電源、入った……。

// <0763> 起動画面と、待ち時間を示す緑色のウェイトバーが伸びていく。
<0763> 起動画面と、待ち時間を示す緑色のウェイトバーが伸びていく。

// <0764> そして、……すぐにメールの受信画面になる。
<0764> そして、……すぐにメールの受信画面になる。

// <0765> きっと瑚太朗が、私に送ってくれていたメールだろう。
<0765> きっと瑚太朗が、私に送ってくれていたメールだろう。

// <0766> ……ずっと読まず、返事もせず、…悪いことをした……。
<0766> ……ずっと読まず、返事もせず、…悪いことをした……。

// <0767> な、……何だ、これ……。
<0767> な、……何だ、これ……。

// <0768> 思わず、声に出しそうになるくらい、驚いてしまう。
<0768> 思わず、声に出しそうになるくらい、驚いてしまう。

// <0769> 一体、何件、メールを受信してるんだ…。
<0769> 一体、何件、メールを受信してるんだ…。

// <0770> 受信件数の数字が、どんどん、どんどん、……いつまでも増えていく。
<0770> 受信件数の数字が、どんどん、どんどん、……いつまでも増えていく。

// <0771> 瑚太朗がどんなメールを送ってくるだろうと、色々と想像はしていた。
<0771> 瑚太朗がどんなメールを送ってくるだろうと、色々と想像はしていた。

// <0772> しかし、……そんな想像のどんな内容よりも、……ただこの、増えていくだけの数字が、……深く、沁みた。
<0772> しかし、……そんな想像のどんな内容よりも、……ただこの、増えていくだけの数字が、……深く、沁みた。

// <0773> 最終的な受信数は何件になったのか、よくわからない。
<0773> 最終的な受信数は何件になったのか、よくわからない。

// <0774> 一番新しいメールは、……ほんの数十分前だった。
<0774> 一番新しいメールは、……ほんの数十分前だった。

// <0775> ……良かった。やはり瑚太朗は私の毒に耐えて、生き残っていてくれた。
<0775> ……良かった。やはり瑚太朗は私の毒に耐えて、生き残っていてくれた。

// <0776> 件名はない。そして内容も短かった。
<0776> 件名はない。そして内容も短かった。

// <0777> “死ぬな”
<0777> “死ぬな”

// <0778> “だから、生きろ”
<0778> “だから、生きろ”

// <0779> “生まれてきた意味は必ずある”
<0779> “生まれてきた意味は必ずある”

// <0780> ルチア
<0780> ルチア

// <0781> 「……何だ、……これ……」
<0781> 「……何だ、……これ……」

// <0782> 数十分前のメールなのに、……今の自分に、返事をするかのような内容じゃないか…。
<0782> 数十分前のメールなのに、……今の自分に、返事をするかのような内容じゃないか…。

// <0783> 瑚太朗は多分、……私の胸中が全て、わかっているのだ。
<0783> 瑚太朗は多分、……私の胸中が全て、わかっているのだ。

// <0784> ルチア
<0784> ルチア

// <0785> 「瑚太朗……」
<0785> 「瑚太朗……」

// <0786> ルチア
<0786> ルチア

// <0787> 「……瑚太朗ぉぉぉぉ……っ。ううぅ、うううううう！！」
<0787> 「……瑚太朗ぉぉぉぉ……っ。ううぅ、うううううう！！」

// <0788> もう零れないと思っていた涙が、ぼろぼろと落ちる。
<0788> もう零れないと思っていた涙が、ぼろぼろと落ちる。

// <0789> 過去のメールを遡って読みたくなる。……でも、それがなぜか恐ろしい。
<0789> 過去のメールを遡って読みたくなる。……でも、それがなぜか恐ろしい。

// <0790> もしも、過去のメールを全て読んでしまったら、……私は何かの過ちに、…気付いてしまいそうで……。
<0790> もしも、過去のメールを全て読んでしまったら、……私は何かの過ちに、…気付いてしまいそうで……。

// <0791> あんなにも頑なに携帯を封印してきたのに。……私は事も無げに、瑚太朗に電話を掛ける。
<0791> あんなにも頑なに携帯を封印してきたのに。……私は事も無げに、瑚太朗に電話を掛ける。

// <0792> コール音が２つも鳴らずに、瑚太朗は電話に出てくれた……。
<0792> コール音が２つも鳴らずに、瑚太朗は電話に出てくれた……。

// <0793> 瑚太朗
<0793> 瑚太朗

// <0794> 『ルチアか！？　俺だ！！』
<0794> 『ルチアか！？　俺だ！！』

// <0795> ルチア
<0795> ルチア

// <0796> 「瑚太朗。………生きていてくれて良かった」
<0796> 「瑚太朗。………生きていてくれて良かった」

// <0797> 瑚太朗
<0797> 瑚太朗

// <0798> 『当たり前だ！！　俺にお前の毒は効かねぇ！！』
<0798> 『当たり前だ！！　俺にお前の毒は効かねぇ！！』

// <0799> 瑚太朗
<0799> 瑚太朗

// <0800> 『俺だけじゃねぇぞ、静流もちはやも無事だ！』
<0800> 『俺だけじゃねぇぞ、静流もちはやも無事だ！』

// <0801> ルチア
<0801> ルチア

// <0802> 「……そうか。…それはよかった」
<0802> 「……そうか。…それはよかった」

// <0803> 瑚太朗
<0803> 瑚太朗

// <0804> 『メールは読んだか？』
<0804> 『メールは読んだか？』

// <0805> ルチア
<0805> ルチア

// <0806> 「あぁ。……どうして、私が死ぬつもりだとわかった…？」
<0806> 「あぁ。……どうして、私が死ぬつもりだとわかった…？」

// <0807> 瑚太朗
<0807> 瑚太朗

// <0808> 『わかるに決まってるだろ！！　お前の辛い気持ち、わからないわけがないッ！！』
<0808> 『わかるに決まってるだろ！！　お前の辛い気持ち、わからないわけがないッ！！』

// <0809> 瑚太朗
<0809> 瑚太朗

// <0810> 『全部聞いたぜ、プロジェクトのおかしな連中がお前にしたことも、そして何をさせたのかも！　そしてこれからどうなるのかも！！』
<0810> 『全部聞いたぜ、プロジェクトのおかしな連中がお前にしたことも、そして何をさせたのかも！　そしてこれからどうなるのかも！！』

// <0811> ルチア
<0811> ルチア

// <0812> 「核攻撃は日の出と同時の、午前６時と聞いている」
<0812> 「核攻撃は日の出と同時の、午前６時と聞いている」

// <0813> ルチア
<0813> ルチア

// <0814> 「もし瑚太朗がまだ市内にいるなら、早く逃げた方がいい」
<0814> 「もし瑚太朗がまだ市内にいるなら、早く逃げた方がいい」

// <0815> 瑚太朗
<0815> 瑚太朗

// <0816> 『あぁ、核なんかごめんだぜ、逃げさせてもらう！』
<0816> 『あぁ、核なんかごめんだぜ、逃げさせてもらう！』

// <0817> 瑚太朗
<0817> 瑚太朗

// <0818> 『ただしお前も一緒だぞ！』
<0818> 『ただしお前も一緒だぞ！』

// <0819> ルチア
<0819> ルチア

// <0820> 「私を市外に連れ出すというのか。犠牲者がさらに増えることになるぞ」
<0820> 「私を市外に連れ出すというのか。犠牲者がさらに増えることになるぞ」

// <0821> 瑚太朗
<0821> 瑚太朗

// <0822> 『まずシェルターに逃げて核攻撃が終わるまで隠れる！』
<0822> 『まずシェルターに逃げて核攻撃が終わるまで隠れる！』

// <0823> 瑚太朗
<0823> 瑚太朗

// <0824> 『それから、ガーディアンの誰も知らないところへ脱出するんだ』
<0824> 『それから、ガーディアンの誰も知らないところへ脱出するんだ』

// <0825> 瑚太朗
<0825> 瑚太朗

// <0826> 『全て西九条先生が手配してくれてる！　死ぬ必要なんかない！！　俺たちは生きるぞ、ルチア！！』
<0826> 『全て西九条先生が手配してくれてる！　死ぬ必要なんかない！！　俺たちは生きるぞ、ルチア！！』

// <0827> ルチア
<0827> ルチア

// <0828> 「………私は、生きてて、いいのか……」
<0828> 「………私は、生きてて、いいのか……」

// <0829> ルチア
<0829> ルチア

// <0830> 「…生きてれば、…また大勢の人が……、」
<0830> 「…生きてれば、…また大勢の人が……、」

// <0831> 瑚太朗
<0831> 瑚太朗

// <0832> 『いいに決まってるだろ！！　死ぬな、生きろッ！！』
<0832> 『いいに決まってるだろ！！　死ぬな、生きろッ！！』

// <0833> 瑚太朗
<0833> 瑚太朗

// <0834> 『お前の人生が、おかしな連中にわがままにされたように、今度はお前がわがままになっていい番なんだ！』
<0834> 『お前の人生が、おかしな連中にわがままにされたように、今度はお前がわがままになっていい番なんだ！』

// <0835> 瑚太朗
<0835> 瑚太朗

// <0836> 『そのまま死ねばヤツらの思い通りだ！！　させるなよッ！　ヤツらの思い通りになんかさせるな！！』
<0836> 『そのまま死ねばヤツらの思い通りだ！！　させるなよッ！　ヤツらの思い通りになんかさせるな！！』

// <0837> 瑚太朗
<0837> 瑚太朗

// <0838> 『千年間、眠ってろなんて、死ねって言ってるのとまったく同じじゃねぇか！！』
<0838> 『千年間、眠ってろなんて、死ねって言ってるのとまったく同じじゃねぇか！！』

// <0839> 瑚太朗
<0839> 瑚太朗

// <0840> 『とにかく生きろ！！　まずは生き残るんだ！！　核攻撃を逃れるために、まずはシェルターに行くんだ！』
<0840> 『とにかく生きろ！！　まずは生き残るんだ！！　核攻撃を逃れるために、まずはシェルターに行くんだ！』

// <0841> ルチア
<0841> ルチア

// <0842> 「こんな私に、……生きろと」
<0842> 「こんな私に、……生きろと」

// <0843> 瑚太朗
<0843> 瑚太朗

// <0844> 『ああ、生きろッ！！！』
<0844> 『ああ、生きろッ！！！』

// <0845> ルチア
<0845> ルチア

// <0846> 「……申し訳ないが」
<0846> 「……申し訳ないが」

// <0847> ルチア
<0847> ルチア

// <0848> 「私は生きられない。生きたくない」
<0848> 「私は生きられない。生きたくない」

// <0849> 瑚太朗
<0849> 瑚太朗

// <0850> 『そりゃあ、ショックを受けてるのはわかる…！　自暴自棄になりたい気持ちだってわかる！』
<0850> 『そりゃあ、ショックを受けてるのはわかる…！　自暴自棄になりたい気持ちだってわかる！』

// <0851> 瑚太朗
<0851> 瑚太朗

// <0852> 『お前の気持ちは全部わかってるんだ！！　でもその上で言うッ！　生きろ！！　迎えに行く、そこはどこだ！！』
<0852> 『お前の気持ちは全部わかってるんだ！！　でもその上で言うッ！　生きろ！！　迎えに行く、そこはどこだ！！』

// <0853> ……私の考えてることは、……全て、……わかると……？
<0853> ……私の考えてることは、……全て、……わかると……？

// <0854> ………………………。
<0854> ………………………。

// <0855> ルチア
<0855> ルチア

// <0856> 「……本当に、瑚太朗は私が考えていることが、……わかるのか？」
<0856> 「……本当に、瑚太朗は私が考えていることが、……わかるのか？」

