// <0000> 
<0000> 

// <0001> 瑚太朗＿必要

// <2096> といっても、進学しただけか…
<2096> といっても、進学しただけか…

// <2097> ＭＴＧをよく休むようにした。
<2097> ＭＴＧをよく休むようにした。

// <2098> 特に親のいない時。
<2098> 特に親のいない時。

// <2099> ふたりは仕事で、よく自宅を空けた。
<2099> ふたりは仕事で、よく自宅を空けた。

// <2100> そんな時、ひとりでＭＴＧに通っていたのだ。
<2100> そんな時、ひとりでＭＴＧに通っていたのだ。

// <2101> いきなり脱退というわけにはいかず、少しずつ疎遠になる作戦。
<2101> いきなり脱退というわけにはいかず、少しずつ疎遠になる作戦。

// <2102> そう、セコい。俺はセコい。
<2102> そう、セコい。俺はセコい。

// <2103> いずれ親とは大論争になるはずで、心の準備をするためだった。
<2103> いずれ親とは大論争になるはずで、心の準備をするためだった。

// <2104> が、たまに顔を出した時に、博士につかまり呼び出しを受けてしまった。
<2104> が、たまに顔を出した時に、博士につかまり呼び出しを受けてしまった。

// <2105> 指示されるままにゲストルームに行くと、その人物がいた。
<2105> 指示されるままにゲストルームに行くと、その人物がいた。

// <2106> 老婆＿桜
<2106> 老婆＿桜

// <2107> 「天王寺の坊主というのは、おまえね？」
<2107> 「天王寺の坊主というのは、おまえね？」

// <2108> 上品な洋装に身を包んだ、背の高い老女。
<2108> 上品な洋装に身を包んだ、背の高い老女。

// <2109> 俺はこの人を知っている。
<2109> 俺はこの人を知っている。

// <2110> いや、誰でも知っている。
<2110> いや、誰でも知っている。

// <2111> マーテルの精神的支柱、加島桜。
<2111> マーテルの精神的支柱、加島桜。

// <2112> 熱心な会員たちからは聖女とさえ呼ばれる、会のカリスマだ。
<2112> 熱心な会員たちからは聖女とさえ呼ばれる、会のカリスマだ。

// <2113> もう７０歳は超えているばすだが、精力に満ちあふれている。
<2113> もう７０歳は超えているばすだが、精力に満ちあふれている。

// <2114> 机を挟んで、向かい合って座った。
<2114> 机を挟んで、向かい合って座った。

// <2115> 机の上には、こちら向きで書類が散らばっていた。
<2115> 机の上には、こちら向きで書類が散らばっていた。

// <2116> 瑚太朗＿必要
<2116> 瑚太朗＿必要

// <2117> （…誰かと打ち合わせでもしてたのか？）
<2117> （…誰かと打ち合わせでもしてたのか？）

// <2118> さっと目を走らせたが、興味を引くようなものはない。
<2118> さっと目を走らせたが、興味を引くようなものはない。

// <2119> 外国の内戦についてだとか、麻薬取引の摘発についてだとか、そういうものばかりだ。
<2119> 外国の内戦についてだとか、麻薬取引の摘発についてだとか、そういうものばかりだ。

// <2120> 十数年前の新聞記事の切り抜き、それだけ少し気になった。
<2120> 十数年前の新聞記事の切り抜き、それだけ少し気になった。

// <2121> 非公式らしいが、１０００メートル競争で世界記録を１分も短縮した走者の記事だった。
<2121> 非公式らしいが、１０００メートル競争で世界記録を１分も短縮した走者の記事だった。

// <2122> 一笑に付されるレベルの、よた記事だ。
<2122> 一笑に付されるレベルの、よた記事だ。

// <2123> 実際、切り抜きでもイカサマの疑いが指摘されていた。
<2123> 実際、切り抜きでもイカサマの疑いが指摘されていた。

// <2124> ひっかかるものを感じる。
<2124> ひっかかるものを感じる。

// <2125> 瑚太朗＿必要
<2125> 瑚太朗＿必要

// <2126> （もし俺が…そう強く念じ続けたとしたら？）
<2126> （もし俺が…そう強く念じ続けたとしたら？）

// <2127> 決して不可能ではないと思えたのだ。
<2127> 決して不可能ではないと思えたのだ。

// <2128> 面をあげると、加島桜がじっと俺を観察していた。
<2128> 面をあげると、加島桜がじっと俺を観察していた。

// <2129> そう、観察。
<2129> そう、観察。

// <2130> まるで俺がどの記事に意識を向けたかをチェックするかのように。
<2130> まるで俺がどの記事に意識を向けたかをチェックするかのように。

// <2131> 桜
<2131> 桜

// <2132> 「加島桜という者よ。知っていて？」
<2132> 「加島桜という者よ。知っていて？」

// <2133> 瑚太朗＿必要
<2133> 瑚太朗＿必要

// <2134> 「…はい」
<2134> 「…はい」

// <2135> 桜
<2135> 桜

// <2136> 「おまえの両親から、息子と話してくれと頼まれたのよ」
<2136> 「おまえの両親から、息子と話してくれと頼まれたのよ」

// <2137> 瑚太朗＿必要
<2137> 瑚太朗＿必要

// <2138> 「…うちの親から？」
<2138> 「…うちの親から？」

// <2139> 桜
<2139> 桜

// <2140> 「何度か仕事を任せたことがあるのよ」
<2140> 「何度か仕事を任せたことがあるのよ」

// <2141> 桜
<2141> 桜

// <2142> 「その頼みとあれば、そう無下にはできないものよ」
<2142> 「その頼みとあれば、そう無下にはできないものよ」

// <2143> 瑚太朗＿必要
<2143> 瑚太朗＿必要

// <2144> 「はあ…」
<2144> 「はあ…」

// <2145> 瑚太朗＿必要
<2145> 瑚太朗＿必要

// <2146> 「ミーティングを休んでることですか」
<2146> 「ミーティングを休んでることですか」

// <2147> 桜
<2147> 桜

// <2148> 「それはさほど重要ではないわ」
<2148> 「それはさほど重要ではないわ」

// <2149> 桜
<2149> 桜

// <2150> 「そうね、学校は楽しい？」
<2150> 「そうね、学校は楽しい？」

// <2151> 瑚太朗＿必要
<2151> 瑚太朗＿必要

// <2152> 「学校、ですか？」
<2152> 「学校、ですか？」

// <2153> 桜
<2153> 桜

// <2154> 「友達はいるの？　授業にはついていけて？」
<2154> 「友達はいるの？　授業にはついていけて？」

// <2155> 加島桜のする話は、当たり障りのない日常のことばかりだった。
<2155> 加島桜のする話は、当たり障りのない日常のことばかりだった。

// <2156> 戸惑いながらも、適当に話を合わせる。
<2156> 戸惑いながらも、適当に話を合わせる。

// <2157> 瑚太朗＿必要
<2157> 瑚太朗＿必要

// <2158> （…なんだ、どういうんだこの人…）
<2158> （…なんだ、どういうんだこの人…）

// <2159> 他愛のない会話。
<2159> 他愛のない会話。

// <2160> が、時間が経つにつれ、違和感を覚えるようになった。
<2160> が、時間が経つにつれ、違和感を覚えるようになった。

// <2161> 知らぬ間に追いつめられているような気がする…
<2161> 知らぬ間に追いつめられているような気がする…

// <2162> 加島桜の話には、気になる単語がいくつも出てくる。
<2162> 加島桜の話には、気になる単語がいくつも出てくる。

// <2163> 魔物、狩り、夜、森、人にはない能力……
<2163> 魔物、狩り、夜、森、人にはない能力……

// <2164> それらは会話の流れに混ざり、たとえや慣用語として出てくる。
<2164> それらは会話の流れに混ざり、たとえや慣用語として出てくる。

// <2165> 最初は聞き流していた。
<2165> 最初は聞き流していた。

// <2166> だが気がつくと息苦しくなっていた。
<2166> だが気がつくと息苦しくなっていた。

// <2167> 暑くもないのに汗ばみ、呼吸がはやくなる。
<2167> 暑くもないのに汗ばみ、呼吸がはやくなる。

// <2168> 落ち着こうとした。できなかった。
<2168> 落ち着こうとした。できなかった。

// <2169> 意識すればするほど、態度は不自然なものになった。
<2169> 意識すればするほど、態度は不自然なものになった。

// <2170> 瑚太朗＿必要
<2170> 瑚太朗＿必要

// <2171> （俺は…探られてるのか？）
<2171> （俺は…探られてるのか？）

// <2172> 超人的な、並はずれた力、秘密、人に言えない、超越的な、狩猟本能……
<2172> 超人的な、並はずれた力、秘密、人に言えない、超越的な、狩猟本能……

// <2173> 俺のことを指して言っているわけではない。
<2173> 俺のことを指して言っているわけではない。

// <2174> が、偶然とも思えぬ単語ばかりだ。
<2174> が、偶然とも思えぬ単語ばかりだ。

// <2175> 森で俺がしていたことを、加島桜は知っているんじゃないのか？
<2175> 森で俺がしていたことを、加島桜は知っているんじゃないのか？

// <2176> そんな風にも危惧した。
<2176> そんな風にも危惧した。

// <2177> 森。狩り。魔物。
<2177> 森。狩り。魔物。

// <2178> 俺の顔は引きつらなかったろうか。
<2178> 俺の顔は引きつらなかったろうか。

// <2179> 無意識の反応で、相手に情報を与えてしまわなかったろうか。
<2179> 無意識の反応で、相手に情報を与えてしまわなかったろうか。

// <2180> 秘密は守れただろうか。
<2180> 秘密は守れただろうか。

// <2181> 尋問のような１５分が過ぎた。
<2181> 尋問のような１５分が過ぎた。

// <2182> 加島桜は背もたれによりかかり、リラックスした。
<2182> 加島桜は背もたれによりかかり、リラックスした。

// <2183> 桜
<2183> 桜

// <2184> 「…だいたいわかったわ」
<2184> 「…だいたいわかったわ」

// <2185> 桜
<2185> 桜

// <2186> 「悩み多き年頃ね、瑚太朗」
<2186> 「悩み多き年頃ね、瑚太朗」

// <2187> 瑚太朗＿必要
<2187> 瑚太朗＿必要

// <2188> 「…はあ」
<2188> 「…はあ」

// <2189> 桜
<2189> 桜

// <2190> 「有用な助言を与えたいとは思うけど、歳の差があるとなかなか難しいものね」
<2190> 「有用な助言を与えたいとは思うけど、歳の差があるとなかなか難しいものね」

// <2191> 桜
<2191> 桜

// <2192> 「教えてちょうだい。納得できないことにぶち当たった時、おまえはいつもどうしているの？」
<2192> 「教えてちょうだい。納得できないことにぶち当たった時、おまえはいつもどうしているの？」

// <2193> 瑚太朗＿必要
<2193> 瑚太朗＿必要

// <2194> 「どうとは？」
<2194> 「どうとは？」

// <2195> 桜
<2195> 桜

// <2196> 「努力して自分を変えるとか、周囲に働きかけて環境を改善するとか、いろいろあるはずよ」
<2196> 「努力して自分を変えるとか、周囲に働きかけて環境を改善するとか、いろいろあるはずよ」

// <2197> 瑚太朗＿必要
<2197> 瑚太朗＿必要

// <2198> 「俺は…」
<2198> 「俺は…」

// <2199> 答えようとして、気付いた。
<2199> 答えようとして、気付いた。

// <2200> この質問に、軽い気持ちで答えても良いのだろうか？
<2200> この質問に、軽い気持ちで答えても良いのだろうか？

// <2201> 加島桜の態度につられて、俺も油断してやしないだろうか？
<2201> 加島桜の態度につられて、俺も油断してやしないだろうか？

// <2202> …よく考えて答えよう。
<2202> …よく考えて答えよう。

// <2203> 自分を変えるか、環境を改善するか…。
<2203> 自分を変えるか、環境を改善するか…。

// <2204> わからないと答える
<2204> わからないと答える

// <2205> 瑚太朗＿必要
<2205> 瑚太朗＿必要

// <2206> 「…さあ、考えたことないです」
<2206> 「…さあ、考えたことないです」

// <2207> 桜
<2207> 桜

// <2208> 「………」
<2208> 「………」

// <2209> 事実だった。
<2209> 事実だった。

// <2210> 自分を変えるか、周囲を変えるか。
<2210> 自分を変えるか、周囲を変えるか。

// <2211> ケースバイケースの問題に思えた。
<2211> ケースバイケースの問題に思えた。

// <2212> …この時は、まだそう思えた。
<2212> …この時は、まだそう思えた。

// <2213> だから正直に考えたことがないと答えた。
<2213> だから正直に考えたことがないと答えた。

// <2214> 桜
<2214> 桜

// <2215> 「………」
<2215> 「………」

// <2216> 加島桜は目を細める。
<2216> 加島桜は目を細める。

// <2217> 桜
<2217> 桜

// <2218> 「…おまえはマーテルの活動に、あまり積極的ではないようね」
<2218> 「…おまえはマーテルの活動に、あまり積極的ではないようね」

// <2219> 瑚太朗＿必要
<2219> 瑚太朗＿必要

// <2220> 「さあ…わからないです」
<2220> 「さあ…わからないです」

// <2221> 瑚太朗＿必要
<2221> 瑚太朗＿必要

// <2222> 「親に連れてこられただけなんで」
<2222> 「親に連れてこられただけなんで」

// <2223> 桜
<2223> 桜

// <2224> 「この会のことをどれだけ理解しているの？」
<2224> 「この会のことをどれだけ理解しているの？」

// <2225> 瑚太朗＿必要
<2225> 瑚太朗＿必要

// <2226> 「…マーテルは科学団体で…」
<2226> 「…マーテルは科学団体で…」

// <2227> 桜
<2227> 桜

// <2228> 「一般論ではないわ。おまえの感じるところの、マーテルの精髄を語れと言っているの」
<2228> 「一般論ではないわ。おまえの感じるところの、マーテルの精髄を語れと言っているの」

// <2229> 瑚太朗＿必要
<2229> 瑚太朗＿必要

// <2230> 「せいずい？」
<2230> 「せいずい？」

// <2231> 桜
<2231> 桜

// <2232> 「わからない？」
<2232> 「わからない？」

// <2233> 瑚太朗＿必要
<2233> 瑚太朗＿必要

// <2234> 「さっきから…意味がわかりません」
<2234> 「さっきから…意味がわかりません」

// <2235> 桜
<2235> 桜

// <2236> 「世界は、おまえが認識しているより深く、信じがたいもの」
<2236> 「世界は、おまえが認識しているより深く、信じがたいもの」

// <2237> 桜
<2237> 桜

// <2238> 「そのことを感じたことさえない？」
<2238> 「そのことを感じたことさえない？」

// <2239> 瑚太朗＿必要
<2239> 瑚太朗＿必要

// <2240> 「…」
<2240> 「…」

// <2241> 桜
<2241> 桜

// <2242> 「…そう。どうやらノラなのね、おまえは」
<2242> 「…そう。どうやらノラなのね、おまえは」

// <2243> 瑚太朗＿必要
<2243> 瑚太朗＿必要

// <2244> 「ノラ？」
<2244> 「ノラ？」

// <2245> 桜
<2245> 桜

// <2246> 「ここまでにしましょう」
<2246> 「ここまでにしましょう」

// <2247> 行ってもいい、と目線でドアを示す。
<2247> 行ってもいい、と目線でドアを示す。

// <2248> 解放されたのか…
<2248> 解放されたのか…

// <2249> 半信半疑のまま、部屋を退出した。
<2249> 半信半疑のまま、部屋を退出した。

// <2250> 瑚太朗＿必要
<2250> 瑚太朗＿必要

// <2251> （ヤバい…かもな）
<2251> （ヤバい…かもな）

// <2252> たぶん風祭には大きな秘密がある。
<2252> たぶん風祭には大きな秘密がある。

// <2253> そして全てを知っている連中がいる。
<2253> そして全てを知っている連中がいる。

// <2254> もしかすると俺は、街にいられなくなるんじゃないか。
<2254> もしかすると俺は、街にいられなくなるんじゃないか。

// <2255> そんな不安にも駆られていた。
<2255> そんな不安にも駆られていた。

// <2256> オサレなオープンカフェ。
<2256> オサレなオープンカフェ。

// <2257> ふたりの男が向き合っている。
<2257> ふたりの男が向き合っている。

// <2258> どちらも張りつめた、厳粛な面持ち。
<2258> どちらも張りつめた、厳粛な面持ち。

// <2259> 武術家同士の対決にも似た緊張感が漂う。
<2259> 武術家同士の対決にも似た緊張感が漂う。

// <2260> 江坂
<2260> 江坂

// <2261> 「では」
<2261> 「では」

// <2262> 瑚太朗＿必要
<2262> 瑚太朗＿必要

// <2263> 「はい」
<2263> 「はい」

// <2264> ふたりは同時に、フォークを口に運ぶ。
<2264> ふたりは同時に、フォークを口に運ぶ。

// <2265> 本日のタルト…
<2265> 本日のタルト…

// <2266> タルトレット・オ・ショコラ。
<2266> タルトレット・オ・ショコラ。

// <2267> 江坂さんが目をくわっと開く。
<2267> 江坂さんが目をくわっと開く。

// <2268> 瑚太朗＿必要
<2268> 瑚太朗＿必要

// <2269> 「こ、これは！　江坂さん？」
<2269> 「こ、これは！　江坂さん？」

// <2270> 江坂
<2270> 江坂

// <2271> 「なんということだ」
<2271> 「なんということだ」

// <2272> 低く震える声で通りかかった店員に告げる。
<2272> 低く震える声で通りかかった店員に告げる。

// <2273> 江坂
<2273> 江坂

// <2274> 「…責任者を呼べ」
<2274> 「…責任者を呼べ」

// <2275> 従業員
<2275> 従業員

// <2276> 「は、はいただ今っ」
<2276> 「は、はいただ今っ」

// <2277> 店長
<2277> 店長

// <2278> 「店長の小塚でごさいます。お客様、何か問題でも？」
<2278> 「店長の小塚でごさいます。お客様、何か問題でも？」

// <2279> 江坂
<2279> 江坂

// <2280> 「問題があったかだと？　貴様…」
<2280> 「問題があったかだと？　貴様…」

// <2281> ぎろりとにらむ。
<2281> ぎろりとにらむ。

// <2282> 店長
<2282> 店長

// <2283> 「ひ、ひぇぇ…」
<2283> 「ひ、ひぇぇ…」

// <2284> 江坂
<2284> 江坂

// <2285> 「あるものかっ。素晴らしい…味だっ」
<2285> 「あるものかっ。素晴らしい…味だっ」

// <2286> 店長
<2286> 店長

// <2287> 「………ありがとうございます」
<2287> 「………ありがとうございます」

// <2288> 江坂
<2288> 江坂

// <2289> 「クレーム・シャンティで出されるものと似ているようだ」
<2289> 「クレーム・シャンティで出されるものと似ているようだ」

// <2290> 責任者の顔が、怯えから別種の驚きに変わる。
<2290> 責任者の顔が、怯えから別種の驚きに変わる。

// <2291> 店長
<2291> 店長

// <2292> 「…よくお気づきで。当店の菓子職人は以前シャンティに在籍しておりまして」
<2292> 「…よくお気づきで。当店の菓子職人は以前シャンティに在籍しておりまして」

// <2293> 江坂
<2293> 江坂

// <2294> 「食感も焼き加減も申し分ない。道理でシャンティの味が落ちるはずだな」
<2294> 「食感も焼き加減も申し分ない。道理でシャンティの味が落ちるはずだな」

// <2295> 店長
<2295> 店長

// <2296> 「…も、申し訳ございません」
<2296> 「…も、申し訳ございません」

// <2297> 江坂
<2297> 江坂

// <2298> 「この味なら、帳消しだ。ひいきにさせてもらうぞ」
<2298> 「この味なら、帳消しだ。ひいきにさせてもらうぞ」

// <2299> 店長
<2299> 店長

// <2300> 「ありがとうございますっ」
<2300> 「ありがとうございますっ」

// <2301> …そんなはた迷惑なやりとりにも、すっかり慣れた。
<2301> …そんなはた迷惑なやりとりにも、すっかり慣れた。

// <2302> 瑚太朗＿必要
<2302> 瑚太朗＿必要

// <2303> 「マジうまっすねこれー」
<2303> 「マジうまっすねこれー」

// <2304> いつもはここで別れるところだが、今日は様子が違っていた。
<2304> いつもはここで別れるところだが、今日は様子が違っていた。

// <2305> 江坂
<2305> 江坂

// <2306> 「今日は、もう少し良いかね？」
<2306> 「今日は、もう少し良いかね？」

// <2307> 瑚太朗＿必要
<2307> 瑚太朗＿必要

// <2308> 「はい、構わないっすよ」
<2308> 「はい、構わないっすよ」

// <2309> どうせ晩飯はレンジでチンなのだ。
<2309> どうせ晩飯はレンジでチンなのだ。

// <2310> 駅前を適当に歩きながら話す。
<2310> 駅前を適当に歩きながら話す。

// <2311> 江坂
<2311> 江坂

// <2312> 「いつも中年の道楽に付き合わせてすまない」
<2312> 「いつも中年の道楽に付き合わせてすまない」

// <2313> 瑚太朗＿必要
<2313> 瑚太朗＿必要

// <2314> 「いや、いつもおごってもらって、ありがたいっす」
<2314> 「いや、いつもおごってもらって、ありがたいっす」

// <2315> 瑚太朗＿必要
<2315> 瑚太朗＿必要

// <2316> 「それに俺、いつでも暇なんで」
<2316> 「それに俺、いつでも暇なんで」

// <2317> 江坂
<2317> 江坂

// <2318> 「市内の有名店はこれで制覇したことになる」
<2318> 「市内の有名店はこれで制覇したことになる」

// <2319> 瑚太朗＿必要
<2319> 瑚太朗＿必要

// <2320> 「もう一巡してくれてもいいくらいです。付き合います」
<2320> 「もう一巡してくれてもいいくらいです。付き合います」

// <2321> 江坂
<2321> 江坂

// <2322> 「…悪くはない提案だが、今はやめておこう」
<2322> 「…悪くはない提案だが、今はやめておこう」

// <2323> 江坂
<2323> 江坂

// <2324> 「ちょうど良い頃合いかもしれんからな」
<2324> 「ちょうど良い頃合いかもしれんからな」

// <2325> 瑚太朗＿必要
<2325> 瑚太朗＿必要

// <2326> 「？」
<2326> 「？」

// <2327> 江坂
<2327> 江坂

// <2328> 「何の利害関係もない友人というのは、貴重なものだからな」
<2328> 「何の利害関係もない友人というのは、貴重なものだからな」

// <2329> 瑚太朗＿必要
<2329> 瑚太朗＿必要

// <2330> 「そうですね。打算の友達って、虚しいです」
<2330> 「そうですね。打算の友達って、虚しいです」

// <2331> 江坂
<2331> 江坂

// <2332> 「同感だ」
<2332> 「同感だ」

// <2333> 江坂
<2333> 江坂

// <2334> 「…だから一巡するまでは、せめて友でいようと思っていた」
<2334> 「…だから一巡するまでは、せめて友でいようと思っていた」

// <2335> 瑚太朗＿必要
<2335> 瑚太朗＿必要

// <2336> 「え？」
<2336> 「え？」

// <2337> 江坂
<2337> 江坂

// <2338> 「だがそれも、今日で終わりかも知れん」
<2338> 「だがそれも、今日で終わりかも知れん」

// <2339> その意味がしばらくわからなかった。
<2339> その意味がしばらくわからなかった。

// <2340> 瑚太朗＿必要
<2340> 瑚太朗＿必要

// <2341> 「…えっと、俺たち、ここまでってことですか？」
<2341> 「…えっと、俺たち、ここまでってことですか？」

// <2342> 江坂
<2342> 江坂

// <2343> 「どうかな。それはわからん」
<2343> 「どうかな。それはわからん」

// <2344> 瑚太朗＿必要
<2344> 瑚太朗＿必要

// <2345> 「俺、なんかミスしました？」
<2345> 「俺、なんかミスしました？」

// <2346> 瑚太朗＿必要
<2346> 瑚太朗＿必要

// <2347> 「江坂さんを失望させましたか？」
<2347> 「江坂さんを失望させましたか？」

// <2348> 江坂
<2348> 江坂

// <2349> 「いいや、そうではない」
<2349> 「いいや、そうではない」

// <2350> 瑚太朗＿必要
<2350> 瑚太朗＿必要

// <2351> 「じゃあどうして？」
<2351> 「じゃあどうして？」

// <2352> わけがわからなかった。
<2352> わけがわからなかった。

// <2353> どうやら俺は、絶交されかかっているらしいのだ。
<2353> どうやら俺は、絶交されかかっているらしいのだ。

// <2354> 江坂
<2354> 江坂

// <2355> 「天王寺君」
<2355> 「天王寺君」

// <2356> 江坂さんは居住まいを正し、強い目線で俺に語りかける。
<2356> 江坂さんは居住まいを正し、強い目線で俺に語りかける。

// <2357> 江坂
<2357> 江坂

// <2358> 「私は君を――」
<2358> 「私は君を――」

// <2359> 浮ついた気分で帰宅。
<2359> 浮ついた気分で帰宅。

// <2360> 別世界を歩いているみたいな気分だ。
<2360> 別世界を歩いているみたいな気分だ。

// <2361> 江坂さんが、俺を宙に浮かせてしまった。
<2361> 江坂さんが、俺を宙に浮かせてしまった。

// <2362> 瑚太朗＿必要
<2362> 瑚太朗＿必要

// <2363> （…でも俺…まだ親の保護の下にあんのに…あんな話…）
<2363> （…でも俺…まだ親の保護の下にあんのに…あんな話…）

// <2364> 江坂
<2364> 江坂

// <2365> 『その件は何とかしよう』
<2365> 『その件は何とかしよう』

// <2366> 脳の芯がまだ熱い。
<2366> 脳の芯がまだ熱い。

// <2367> 今まで生きてきて、一番熱い。
<2367> 今まで生きてきて、一番熱い。

// <2368> よく考えろ。江坂さんはそう言った。
<2368> よく考えろ。江坂さんはそう言った。

// <2369> 瑚太朗＿必要
<2369> 瑚太朗＿必要

// <2370> （もし俺があの話を受けたら…江坂さんとは友達ではなくなる）
<2370> （もし俺があの話を受けたら…江坂さんとは友達ではなくなる）

// <2371> そのかわり…もっと別の関係になる。そう言われた。
<2371> そのかわり…もっと別の関係になる。そう言われた。

// <2372> 江坂＿不要
<2372> 江坂＿不要

// <2373> 『天王寺君』
<2373> 『天王寺君』

// <2374> 江坂
<2374> 江坂

// <2375> 『私は君を…引き抜くつもりだ』
<2375> 『私は君を…引き抜くつもりだ』

// <2376> 江坂
<2376> 江坂

// <2377> 『君は我々の組織に来るべきだ。超人である君は』
<2377> 『君は我々の組織に来るべきだ。超人である君は』

// <2378> 夜。
<2378> 夜。

// <2379> 両親と口論になった。
<2379> 両親と口論になった。

// <2380> 発端はマーテルのこと。
<2380> 発端はマーテルのこと。

// <2381> 会を抜けたいという気持ちを改めて話した。
<2381> 会を抜けたいという気持ちを改めて話した。

// <2382> 江坂さんの提案も後押ししたが、もともとの意志でもあった。
<2382> 江坂さんの提案も後押ししたが、もともとの意志でもあった。

// <2383> 言い争いは夜中まで続いた。
<2383> 言い争いは夜中まで続いた。

// <2384> いずれ起こるべきことだった。
<2384> いずれ起こるべきことだった。

// <2385> 火種はずっとくすぶっていたのだから。
<2385> 火種はずっとくすぶっていたのだから。

// <2386> 眠気などない。
<2386> 眠気などない。

// <2387> ベッドに仰向けになって、時間だけが過ぎていく。
<2387> ベッドに仰向けになって、時間だけが過ぎていく。

// <2388> やがて考えもまとまる。
<2388> やがて考えもまとまる。

// <2389> 収束する、と言うべきかも。
<2389> 収束する、と言うべきかも。

// <2390> どう考えても、他に選択肢などありはしない。
<2390> どう考えても、他に選択肢などありはしない。

// <2391> 親に相談というのは断たれた道だ。
<2391> 親に相談というのは断たれた道だ。

// <2392> 相談できるような友達もいない。
<2392> 相談できるような友達もいない。

// <2393> だからこうするしかない。
<2393> だからこうするしかない。

// <2394> 夜中だったが、きっと受けてくれるという確信があった。
<2394> 夜中だったが、きっと受けてくれるという確信があった。

// <2395> 今、言ってしまいたかった。決めてしまいたかった。
<2395> 今、言ってしまいたかった。決めてしまいたかった。

// <2396> 携帯に登録された番号にかける。
<2396> 携帯に登録された番号にかける。

// <2397> コール一回目で繋がった。
<2397> コール一回目で繋がった。

// <2398> 江坂
<2398> 江坂

// <2399> 『私だ』
<2399> 『私だ』

// <2400> 瑚太朗＿必要
<2400> 瑚太朗＿必要

// <2401> 「…あの…家を出たいと思ってるんです」
<2401> 「…あの…家を出たいと思ってるんです」

// <2402> 　ここから、激動の時代。
<2402> 　ここから、激動の時代。

// <2403> 早朝、家を出た。
<2403> 早朝、家を出た。

// <2404> 挨拶も手続きもなしだ。
<2404> 挨拶も手続きもなしだ。

// <2405> 俺は失踪する。
<2405> 俺は失踪する。

// <2406> あとのことは、江坂さんが手配してくれると約束してくれた。
<2406> あとのことは、江坂さんが手配してくれると約束してくれた。

// <2407> 学校も、マーテルも、家のことも、全部。
<2407> 学校も、マーテルも、家のことも、全部。

// <2408> 年齢を考えれば、俺のしていることは常識外れのことだろう。
<2408> 年齢を考えれば、俺のしていることは常識外れのことだろう。

// <2409> 頼っておきながらそんなことを気にする俺に、江坂さんはこう言ってくれた。
<2409> 頼っておきながらそんなことを気にする俺に、江坂さんはこう言ってくれた。

// <2410> 江坂
<2410> 江坂

// <2411> 『君の言うとおり、単なる子供の家出であれば私は手伝わない』
<2411> 『君の言うとおり、単なる子供の家出であれば私は手伝わない』

// <2412> 江坂
<2412> 江坂

// <2413> 『だが今回の提案を受け入れるのならば、私は君を大人の男と見なす』
<2413> 『だが今回の提案を受け入れるのならば、私は君を大人の男と見なす』

// <2414> 江坂
<2414> 江坂

// <2415> 『覚悟しておけ。つらいのはこれからだ』
<2415> 『覚悟しておけ。つらいのはこれからだ』

// <2416> つらいことなど構わない。
<2416> つらいことなど構わない。

// <2417> 今度こそ、どこかの誰かになるのだと確信していた。
<2417> 今度こそ、どこかの誰かになるのだと確信していた。

// <2418> 希望が足取りを軽くする。
<2418> 希望が足取りを軽くする。

// <2419> 神戸家の前に車が停まっていた。
<2419> 神戸家の前に車が停まっていた。

// <2420> エンジンはかかっている。これから出かけるところらしい。
<2420> エンジンはかかっている。これから出かけるところらしい。

// <2421> こんな朝早くに…
<2421> こんな朝早くに…

// <2422> 圭介
<2422> 圭介

// <2423> 「やあ、おはよう」
<2423> 「やあ、おはよう」

// <2424> 瑚太朗＿必要
<2424> 瑚太朗＿必要

// <2425> 「…おはようございます」
<2425> 「…おはようございます」

// <2426> 理香子
<2426> 理香子

// <2427> 「ずいぶん早くに、どうなさったの？」
<2427> 「ずいぶん早くに、どうなさったの？」

// <2428> 瑚太朗＿必要
<2428> 瑚太朗＿必要

// <2429> 「いえ、ちょっと部活の朝練で」
<2429> 「いえ、ちょっと部活の朝練で」

// <2430> 圭介
<2430> 圭介

// <2431> 「部活をしていたんだ。何部？」
<2431> 「部活をしていたんだ。何部？」

// <2432> 瑚太朗＿必要
<2432> 瑚太朗＿必要

// <2433> 「えっと…サッキュウ部…」
<2433> 「えっと…サッキュウ部…」

// <2434> 咄嗟に嘘をつこうとするとよくこんな失敗をする。
<2434> 咄嗟に嘘をつこうとするとよくこんな失敗をする。

// <2435> 圭介
<2435> 圭介

// <2436> 「え？　サッカー？　野球？」
<2436> 「え？　サッカー？　野球？」

// <2437> 瑚太朗＿必要
<2437> 瑚太朗＿必要

// <2438> 「サッカー部です」
<2438> 「サッカー部です」

// <2439> 理香子
<2439> 理香子

// <2440> 「頑張ってくださいね」
<2440> 「頑張ってくださいね」

