// <0000> 【ミラクル大冒険】
<0000> 【ミラクル大冒険】

// <0438> ラテン語では夜明けを意味する言葉だ。
<0438> ラテン語では夜明けを意味する言葉だ。

// <0439> 俺は知らなかったのだが、オーロラの語源でもある。
<0439> 俺は知らなかったのだが、オーロラの語源でもある。

// <0440> 「命」「万能の力」という意味で使われているが、もっと適した言葉にも訳せる。
<0440> 「命」「万能の力」という意味で使われているが、もっと適した言葉にも訳せる。

// <0441> 「奇跡」だ。
<0441> 「奇跡」だ。

// <0442> ご都合主義的に聞こえてしまうが、そうではなくこれはある種の逆説だ。
<0442> ご都合主義的に聞こえてしまうが、そうではなくこれはある種の逆説だ。

// <0443> 命というものはあまりにも物理で説明できないから、奇跡と呼ぶ。
<0443> 命というものはあまりにも物理で説明できないから、奇跡と呼ぶ。

// <0444> ずっと昔、世界は狭かった。
<0444> ずっと昔、世界は狭かった。

// <0445> 今のように宇宙や星々ができる前の話だ。
<0445> 今のように宇宙や星々ができる前の話だ。

// <0446> 一センチ四方に満たない、超極限環境だ。
<0446> 一センチ四方に満たない、超極限環境だ。

// <0447> そこは狭く、熱く、荒れていた。
<0447> そこは狭く、熱く、荒れていた。

// <0448> 今の宇宙にあるすべての物質の素が、センチ範囲に密集していたと考えれば、いかに高圧かわかる。
<0448> 今の宇宙にあるすべての物質の素が、センチ範囲に密集していたと考えれば、いかに高圧かわかる。

// <0449> 人間はおろか、どんな強靭な生物だって生きていられない。
<0449> 人間はおろか、どんな強靭な生物だって生きていられない。

// <0450> でも命は生まれている。
<0450> でも命は生まれている。

// <0451> その命は、あらゆる相互作用と無関係で、物質との因果を持たないだろう。
<0451> その命は、あらゆる相互作用と無関係で、物質との因果を持たないだろう。

// <0452> 幽霊みたいなものと考えて良い。
<0452> 幽霊みたいなものと考えて良い。

// <0453> でなければ、環境からの干渉を受けて引き裂かれるからだ。
<0453> でなければ、環境からの干渉を受けて引き裂かれるからだ。

// <0454> ０でもある実在。
<0454> ０でもある実在。

// <0455> この詳細不明の奇跡でなければ、とうてい命を説明できない。
<0455> この詳細不明の奇跡でなければ、とうてい命を説明できない。

// <0456> 科学的思考というのは、わりとそういうところがある。
<0456> 科学的思考というのは、わりとそういうところがある。

// <0457> さてある時、世界は爆発的な膨張をはじめた。
<0457> さてある時、世界は爆発的な膨張をはじめた。

// <0458> 作用が、法則が、物質が、星々が、金属が、次々と生まれていた。
<0458> 作用が、法則が、物質が、星々が、金属が、次々と生まれていた。

// <0459> 今も広がり続けているそうだ。
<0459> 今も広がり続けているそうだ。

// <0460> 最初、荒れ狂う世界で命は、あらゆる物質と無関係に漂っていたのかも知れない。
<0460> 最初、荒れ狂う世界で命は、あらゆる物質と無関係に漂っていたのかも知れない。

// <0461> どういう理由でか、それは星に宿るようになった。
<0461> どういう理由でか、それは星に宿るようになった。

// <0462> 生命は環境がちょうど良くなければ発生しない。
<0462> 生命は環境がちょうど良くなければ発生しない。

// <0463> 宇宙はそれほど過酷だ。
<0463> 宇宙はそれほど過酷だ。

// <0464> 生命誕生の確率を計算すると、限りなく０に近くなっていく。
<0464> 生命誕生の確率を計算すると、限りなく０に近くなっていく。

// <0465> 「絶対に成立しない条件」と言う者さえいる。
<0465> 「絶対に成立しない条件」と言う者さえいる。

// <0466> なんのことはない。
<0466> なんのことはない。

// <0467> 星に宿った力が、生命の誕生を助けているのだ。
<0467> 星に宿った力が、生命の誕生を助けているのだ。

// <0468> 偶然になど最初から頼ってない。
<0468> 偶然になど最初から頼ってない。

// <0469> 環境は自力で整える。それが命の性質だった。
<0469> 環境は自力で整える。それが命の性質だった。

// <0470> 瑚太朗
<0470> 瑚太朗

// <0471> （まるで神の加護だ）
<0471> （まるで神の加護だ）

// <0472> しかしアウロラ自身に意志はない。
<0472> しかしアウロラ自身に意志はない。

// <0473> 生命を生み出しやすい状況を整えるだけの、一種の本能でしかない。
<0473> 生命を生み出しやすい状況を整えるだけの、一種の本能でしかない。

// <0474> だから神とは呼べない。
<0474> だから神とは呼べない。

// <0475> そしてなぜか、アウロラが鍵を生みだす。
<0475> そしてなぜか、アウロラが鍵を生みだす。

// <0476> 文明を滅ぼすために…
<0476> 文明を滅ぼすために…

// <0477> このあたりの成因は、俺にもわからなかった。
<0477> このあたりの成因は、俺にもわからなかった。

// <0478> 瑚太朗
<0478> 瑚太朗

// <0479> 「ん…」
<0479> 「ん…」

// <0480> …一気に詰め込みすぎた。
<0480> …一気に詰め込みすぎた。

// <0481> 額の奥で、脳が過負荷に軋んだ。
<0481> 額の奥で、脳が過負荷に軋んだ。

// <0482> 休憩とする。
<0482> 休憩とする。

// <0483> 篝
<0483> 篝

// <0484> 「…」
<0484> 「…」

// <0485> 隣で篝は、脇目もふらず研究を続けている。
<0485> 隣で篝は、脇目もふらず研究を続けている。

// <0486> 彼女が着手しているのは、大樹の枝にあたる部分だ。
<0486> 彼女が着手しているのは、大樹の枝にあたる部分だ。

// <0487> 太い幹のような一本道が途中で枝わかれし、扇状に広がっていく。
<0487> 太い幹のような一本道が途中で枝わかれし、扇状に広がっていく。

// <0488> どの枝もか細く、短期間で枯れていた。
<0488> どの枝もか細く、短期間で枯れていた。

// <0489> …それは世界の終わりを意味するのだろうか？
<0489> …それは世界の終わりを意味するのだろうか？

// <0490> 複雑すぎて、とうてい理解が及ばない。
<0490> 複雑すぎて、とうてい理解が及ばない。

// <0491> …コーヒーが飲みたくなった。
<0491> …コーヒーが飲みたくなった。

// <0492> 瑚太朗
<0492> 瑚太朗

// <0493> （…気分転換、行くか）
<0493> （…気分転換、行くか）

// <0494> 【獣たちがささやく】
<0494> 【獣たちがささやく】

// <0495> ショーウインドウには着飾ったマネキンが並び、棚には商品が陳列されている。
<0495> ショーウインドウには着飾ったマネキンが並び、棚には商品が陳列されている。

// <0496> デパートに行けば、食品や玩具が並んでいる。
<0496> デパートに行けば、食品や玩具が並んでいる。

// <0497> 腐ることもホコリをかぶることもない。
<0497> 腐ることもホコリをかぶることもない。

// <0498> 同じ状態のまま、在り続ける。
<0498> 同じ状態のまま、在り続ける。

// <0499> 必要なものは何でも手に入る。
<0499> 必要なものは何でも手に入る。

// <0500> 今の俺に、必要なものなどほとんどないが。
<0500> 今の俺に、必要なものなどほとんどないが。

// <0501> デパートやビルを思うがままに見物し、月光を浴びたくなったらビルの谷間を歩いた。
<0501> デパートやビルを思うがままに見物し、月光を浴びたくなったらビルの谷間を歩いた。

// <0502> 何かが視界をよぎる。
<0502> 何かが視界をよぎる。

// <0503> 瑚太朗
<0503> 瑚太朗

// <0504> 「…ん？」
<0504> 「…ん？」

// <0505> 住人などいるはずもない永遠の夜だ。
<0505> 住人などいるはずもない永遠の夜だ。

// <0506> 見間違いか。
<0506> 見間違いか。

// <0507> いや…
<0507> いや…

// <0508> やはり動くものがいる。
<0508> やはり動くものがいる。

// <0509> 素早く小さな影だ。
<0509> 素早く小さな影だ。

// <0510> ビルからビルに、壁を地面のように蹴りながら移動していく。
<0510> ビルからビルに、壁を地面のように蹴りながら移動していく。

// <0511> 目を向けるよりわずかに速く飛び去り、直視することさえできない。
<0511> 目を向けるよりわずかに速く飛び去り、直視することさえできない。

// <0512> 寸前の気配しか追えない。
<0512> 寸前の気配しか追えない。

// <0513> 子供にしては小さく、ネズミにしては大きい。
<0513> 子供にしては小さく、ネズミにしては大きい。

// <0514> …両方を合わせたより素早い。
<0514> …両方を合わせたより素早い。

// <0515> 確認しなければ。
<0515> 確認しなければ。

// <0516> 対応できないほどのスピードだが、知力が補ってくれた。
<0516> 対応できないほどのスピードだが、知力が補ってくれた。

// <0517> …ひどく単調な動きなのだ。
<0517> …ひどく単調な動きなのだ。

// <0518> 動きを先読みしつつ、あえて背後を取らせる。
<0518> 動きを先読みしつつ、あえて背後を取らせる。

// <0519> そら、ここだ。
<0519> そら、ここだ。

// <0520> 見当違いにダッシュすると見せかけて、勢いそのままビル壁を蹴り、影の正面に降り立つ。
<0520> 見当違いにダッシュすると見せかけて、勢いそのままビル壁を蹴り、影の正面に降り立つ。

// <0521> 瑚太朗
<0521> 瑚太朗

// <0522> 「…驚いたな」
<0522> 「…驚いたな」

// <0523> 小動物の輪郭が、道路の中央にうずくまっていた。
<0523> 小動物の輪郭が、道路の中央にうずくまっていた。

// <0524> 正体は…なお不明のまま。
<0524> 正体は…なお不明のまま。

// <0525> 犬でも猫でもない。
<0525> 犬でも猫でもない。

// <0526> 見たことのない動物だ。
<0526> 見たことのない動物だ。

// <0527> 特定の獣ではないような気がする。
<0527> 特定の獣ではないような気がする。

// <0528> 小さな獣の概念でしかないといった…
<0528> 小さな獣の概念でしかないといった…

// <0529> 捕まえて、調べてみなければならない。
<0529> 捕まえて、調べてみなければならない。

// <0530> …オ
<0530> …オ

// <0531> 影が囁くように口を動かす。
<0531> 影が囁くように口を動かす。

// <0532> …オマエ…カギデハ…ナイネ…
<0532> …オマエ…カギデハ…ナイネ…

// <0533> 瑚太朗
<0533> 瑚太朗

// <0534> 「…何？」
<0534> 「…何？」

// <0535> 鍵と言ったのか？
<0535> 鍵と言ったのか？

// <0536> 影が弛緩した。
<0536> 影が弛緩した。

// <0537> 近寄る。
<0537> 近寄る。

// <0538> 獣は輪郭を失い、黒い煙のようになる。
<0538> 獣は輪郭を失い、黒い煙のようになる。

// <0539> 広がり、消えてしまった。
<0539> 広がり、消えてしまった。

// <0540> こういうものを、俺はよく知っている。
<0540> こういうものを、俺はよく知っている。

// <0541> 瑚太朗
<0541> 瑚太朗

// <0542> 「…魔物」
<0542> 「…魔物」

// <0543> 舌が焼けるような熱いコーヒーをすする。
<0543> 舌が焼けるような熱いコーヒーをすする。

// <0544> 篝も飲んでいる。
<0544> 篝も飲んでいる。

// <0545> 両手で包み持ったマグカップを、ラッパを吹くように掲げ、一息に飲むのが篝流の作法だ。
<0545> 両手で包み持ったマグカップを、ラッパを吹くように掲げ、一息に飲むのが篝流の作法だ。

// <0546> さっさと飲み干し、研究に戻る。
<0546> さっさと飲み干し、研究に戻る。

// <0547> 瑚太朗
<0547> 瑚太朗

// <0548> （…静かだ）
<0548> （…静かだ）

// <0549> 静寂が夜を支配している。
<0549> 静寂が夜を支配している。

// <0550> 篝が理論を修正していく過程で、まれに数列を切り取りポイ捨てすることがあった。
<0550> 篝が理論を修正していく過程で、まれに数列を切り取りポイ捨てすることがあった。

// <0551> 数列は宙で魚のようにぴちりとのたうち、地面にぽちゃりと沈むのだ。
<0551> 数列は宙で魚のようにぴちりとのたうち、地面にぽちゃりと沈むのだ。

// <0552> どんな部分を捨てたのか確かめたかったが、なかなかチャンスがない。
<0552> どんな部分を捨てたのか確かめたかったが、なかなかチャンスがない。

// <0553> 休憩していると、篝が記述を切り捨てる場面に出くわした。
<0553> 休憩していると、篝が記述を切り捨てる場面に出くわした。

// <0554> 宙でのたうつ数式をうまくキャッチすることができた。
<0554> 宙でのたうつ数式をうまくキャッチすることができた。

// <0555> 瑚太朗
<0555> 瑚太朗

// <0556> 「へへ、拝読」
<0556> 「へへ、拝読」

// <0557> 位置…海
<0557> 位置…海

// <0558> 地質…資源極めて乏しく、生命活動に著しい支障が有
<0558> 地質…資源極めて乏しく、生命活動に著しい支障が有

// <0559> 瑚太朗
<0559> 瑚太朗

// <0560> （なんだこりゃ？）
<0560> （なんだこりゃ？）

// <0561> 土地の履歴だ。
<0561> 土地の履歴だ。

// <0562> 周辺の土地はかつて海だった、という情報。
<0562> 周辺の土地はかつて海だった、という情報。

// <0563> この情報を切り取って、何がどう変化するのか想像しにくい。
<0563> この情報を切り取って、何がどう変化するのか想像しにくい。

// <0564> 篝がいらないと判断したのなら、意味はあるんだろう。
<0564> 篝がいらないと判断したのなら、意味はあるんだろう。

// <0565> リリースしてやる。
<0565> リリースしてやる。

// <0566> そいつは、０や１や∃を跳ね散らしながら逃げていった。
<0566> そいつは、０や１や∃を跳ね散らしながら逃げていった。

// <0567> ちょっとした思いつきを得た。
<0567> ちょっとした思いつきを得た。

// <0568> 篝とは対話できない。
<0568> 篝とは対話できない。

// <0569> だが意思の疎通はできるかも知れない。
<0569> だが意思の疎通はできるかも知れない。

// <0570> 数によって。
<0570> 数によって。

// <0571> わかりやすいところで親和数が良いだろう。
<0571> わかりやすいところで親和数が良いだろう。

// <0572> 自分以外の約数の和が相手側と等しくなる数のペアだ。
<0572> 自分以外の約数の和が相手側と等しくなる数のペアだ。

// <0573> 全然違う数なんだが、数学的に見るとなんとなく親しげな印象を持つ。
<0573> 全然違う数なんだが、数学的に見るとなんとなく親しげな印象を持つ。

// <0574> メモ用紙を二枚取る。
<0574> メモ用紙を二枚取る。

// <0575> それぞれに「２８４」「２２０」と書く。
<0575> それぞれに「２８４」「２２０」と書く。

// <0576> 篝の肩を指先でつついた。
<0576> 篝の肩を指先でつついた。

// <0577> 篝
<0577> 篝

// <0578> 「…？」
<0578> 「…？」

// <0579> ２８４のメモを渡す。篝は数字をじっと見た。
<0579> ２８４のメモを渡す。篝は数字をじっと見た。

// <0580> それだけならどうということもない数だ。
<0580> それだけならどうということもない数だ。

// <0581> 篝が顔をあげた時、自分用の「２２０」を見せた。
<0581> 篝が顔をあげた時、自分用の「２２０」を見せた。

// <0582> 瑚太朗
<0582> 瑚太朗

// <0583> （どうかな…？）
<0583> （どうかな…？）

// <0584> しばらくは無反応だった。
<0584> しばらくは無反応だった。

// <0585> 主観時間でほんの三ヶ月程度だ。
<0585> 主観時間でほんの三ヶ月程度だ。

// <0586> 篝
<0586> 篝

// <0587> 「………っ」
<0587> 「………っ」

// <0588> 篝は――なんてことだ――頬を赤らめて、うつむいた。
<0588> 篝は――なんてことだ――頬を赤らめて、うつむいた。

// <0589> 瑚太朗
<0589> 瑚太朗

// <0590> 「う、嘘だろ！？」
<0590> 「う、嘘だろ！？」

// <0591> こっちがうろたえてしまった。
<0591> こっちがうろたえてしまった。

// <0592> 思わず立ち上がり、森の中を駆け抜け、意味もなく上半身をはだけた。
<0592> 思わず立ち上がり、森の中を駆け抜け、意味もなく上半身をはだけた。

// <0593> 裸にならずにはいられなかった。
<0593> 裸にならずにはいられなかった。

// <0594> わけがわからないだろうが、俺もわけがわからないのだから仕方ない。
<0594> わけがわからないだろうが、俺もわけがわからないのだから仕方ない。

// <0595> 全力で駆けて、それでもおさまらない気持ちがついに爆発した。
<0595> 全力で駆けて、それでもおさまらない気持ちがついに爆発した。

// <0596> 瑚太朗
<0596> 瑚太朗

// <0597> 「ブゥゥゥゥメランッ！！」
<0597> 「ブゥゥゥゥメランッ！！」

// <0598> 叫んで、跳んだ。
<0598> 叫んで、跳んだ。

// <0599> 木の枝に腹のあたりから激突して、ブーメランみたいにくの字にへし折れた。
<0599> 木の枝に腹のあたりから激突して、ブーメランみたいにくの字にへし折れた。

// <0600> 血反吐を吐いて、地面にぼてりと落ちた。
<0600> 血反吐を吐いて、地面にぼてりと落ちた。

// <0601> それで、ようやく落ち着けた。
<0601> それで、ようやく落ち着けた。

// <0602> 俺はその場で頭を抱え、羞恥のあまり弱々しくうめいた。
<0602> 俺はその場で頭を抱え、羞恥のあまり弱々しくうめいた。

// <0603> 瑚太朗
<0603> 瑚太朗

// <0604> 「…不意をつかれた」
<0604> 「…不意をつかれた」

// <0605> 【秘儀】
<0605> 【秘儀】

// <0606> 起きて、丘に向かう。
<0606> 起きて、丘に向かう。

// <0607> 睡眠などいらないこの身だが、最近は仮眠を取ることが増えた。
<0607> 睡眠などいらないこの身だが、最近は仮眠を取ることが増えた。

// <0608> 負担が増したせいだ。
<0608> 負担が増したせいだ。

// <0609> 篝とともに、理論に目を通している。そのせいで。
<0609> 篝とともに、理論に目を通している。そのせいで。

// <0610> 高圧情報の摂取は、今でも鼻血や頭痛をよく引き起こす。
<0610> 高圧情報の摂取は、今でも鼻血や頭痛をよく引き起こす。

// <0611> 回復のため自宅で横たわると、記憶が泡のように浮いてきて、自分が生身なのか幻想人なのかわからなくなることがあった。
<0611> 回復のため自宅で横たわると、記憶が泡のように浮いてきて、自分が生身なのか幻想人なのかわからなくなることがあった。

// <0612> 幼い日の記憶も若い日の慟哭もないまぜで、事実とは信じられなかった。
<0612> 幼い日の記憶も若い日の慟哭もないまぜで、事実とは信じられなかった。

// <0613> 自分が幻である覚悟はとうに済ませた。
<0613> 自分が幻である覚悟はとうに済ませた。

// <0614> だが篝は違うはずだ。
<0614> だが篝は違うはずだ。

// <0615> 助手としての俺は、お世辞にも有能とは言えない。
<0615> 助手としての俺は、お世辞にも有能とは言えない。

// <0616> 力になれることがあればいい…
<0616> 力になれることがあればいい…

// <0617> それだけで俺がいたことに、価値はあると思うから。
<0617> それだけで俺がいたことに、価値はあると思うから。

// <0618> 篝はいなかった。
<0618> 篝はいなかった。

// <0619> 珍しいこともあるものだ。
<0619> 珍しいこともあるものだ。

// <0620> 理論図だけが取り残されている。
<0620> 理論図だけが取り残されている。

// <0621> ひとりでする月見も格別だ。
<0621> ひとりでする月見も格別だ。

// <0622> 座って、理論に目を落とす。
<0622> 座って、理論に目を落とす。

// <0623> 大木のような形をしていた。
<0623> 大木のような形をしていた。

// <0624> 研究の進捗状況は…だいたい９８％ってところだ。
<0624> 研究の進捗状況は…だいたい９８％ってところだ。

// <0625> 残り２％。
<0625> 残り２％。

// <0626> 根から読み始めて、やっと扇状に広がる枝部分まで来た。
<0626> 根から読み始めて、やっと扇状に広がる枝部分まで来た。

// <0627> 理解できない箇所を大胆に読み飛ばしている。
<0627> 理解できない箇所を大胆に読み飛ばしている。

// <0628> おかげで漠然とした理解しかできていないが、仕方ない。
<0628> おかげで漠然とした理解しかできていないが、仕方ない。

// <0629> 命の理論は、進化の歴史だ。
<0629> 命の理論は、進化の歴史だ。

// <0630> おかげで俺は、いっぱしの学者以上にこのことを知っている。
<0630> おかげで俺は、いっぱしの学者以上にこのことを知っている。

// <0631> 生命誕生以前に核酸が組み上がるプロセスとか。
<0631> 生命誕生以前に核酸が組み上がるプロセスとか。

// <0632> 酸素が乏しい時代における代謝についてとか。
<0632> 酸素が乏しい時代における代謝についてとか。

// <0633> ニワトリであり卵であったもののこととか。
<0633> ニワトリであり卵であったもののこととか。

// <0634> 万能の力といえども、手品のように生命を生み出せるわけじゃない。
<0634> 万能の力といえども、手品のように生命を生み出せるわけじゃない。

// <0635> できなくはないが、一時的なまがいものにしかならない。
<0635> できなくはないが、一時的なまがいものにしかならない。

// <0636> 生態系は長期間維持されなければならない。
<0636> 生態系は長期間維持されなければならない。

// <0637> これには進化というプロセスが必要だ。
<0637> これには進化というプロセスが必要だ。

// <0638> 万能の力は、環境に働きかけ、生命誕生を助けた。
<0638> 万能の力は、環境に働きかけ、生命誕生を助けた。

// <0639> あとはご存じの通りだ。
<0639> あとはご存じの通りだ。

// <0640> 基本的には進化の流れに沿ってすべては進む。
<0640> 基本的には進化の流れに沿ってすべては進む。

// <0641> やがて命はヒトという形態に到達し、ついには文明が発生した。
<0641> やがて命はヒトという形態に到達し、ついには文明が発生した。

// <0642> 文明が生まれるのは、地球史において最後の一瞬だ。
<0642> 文明が生まれるのは、地球史において最後の一瞬だ。

// <0643> 命の大木は、ヒトが文明を発達させる段階に来ると、急激に枝分かれをはじめる。
<0643> 命の大木は、ヒトが文明を発達させる段階に来ると、急激に枝分かれをはじめる。

// <0644> この原因がわからない。
<0644> この原因がわからない。

// <0645> 枝分かれした先に、俺が読める箇所もほとんどない。
<0645> 枝分かれした先に、俺が読める箇所もほとんどない。

// <0646> 瑚太朗
<0646> 瑚太朗

// <0647> （まだるっこしい…）
<0647> （まだるっこしい…）

// <0648> 少しでも読める部分はないのか。
<0648> 少しでも読める部分はないのか。

// <0649> 枝を一本一本さぐる。
<0649> 枝を一本一本さぐる。

// <0650> そこに記された断片的な情報が、視覚を通じて流れ込んでくる。
<0650> そこに記された断片的な情報が、視覚を通じて流れ込んでくる。

// <0651> 単語以下の、あまりにも乏しい情報だ。
<0651> 単語以下の、あまりにも乏しい情報だ。

// <0652> 音素のひとつひとつを拾うようなもので、文献として意味をなさない。
<0652> 音素のひとつひとつを拾うようなもので、文献として意味をなさない。

// <0653> 瑚太朗
<0653> 瑚太朗

// <0654> （知ってるぞ…これ）
<0654> （知ってるぞ…これ）

// <0655> まったく同じ記憶を俺も持っている。それで復号できた。
<0655> まったく同じ記憶を俺も持っている。それで復号できた。

// <0656> 瑚太朗
<0656> 瑚太朗

// <0657> （…ヒトの歴史のすべてが…記録されている？）
<0657> （…ヒトの歴史のすべてが…記録されている？）

// <0658> 枝の一本一本、すべてが…！？
<0658> 枝の一本一本、すべてが…！？

// <0659> 別の可能性を示している？
<0659> 別の可能性を示している？

// <0660> ありえない。
<0660> ありえない。

// <0661> しかし、そうとしか思えない。
<0661> しかし、そうとしか思えない。

// <0662> 莫大なエネルギーを消費し、無数の枝を生む。
<0662> 莫大なエネルギーを消費し、無数の枝を生む。

// <0663> だから幹に比べて細くなる。
<0663> だから幹に比べて細くなる。

// <0664> そして一斉に枯れていく。
<0664> そして一斉に枯れていく。

// <0665> 瑚太朗
<0665> 瑚太朗

// <0666> （どういうことだよ、これ？）
<0666> （どういうことだよ、これ？）

// <0667> 瑚太朗
<0667> 瑚太朗

// <0668> （篝の意志なのか？　それとも星の…？）
<0668> （篝の意志なのか？　それとも星の…？）

// <0669> 瑚太朗
<0669> 瑚太朗

// <0670> （何故だ！？）
<0670> （何故だ！？）

// <0671> 強く念じた瞬間、異変が起こった。
<0671> 強く念じた瞬間、異変が起こった。

// <0672> 先ほどの図像が、対応表として機能しはじめた。
<0672> 先ほどの図像が、対応表として機能しはじめた。

// <0673> 枝と俺が共有する情報が、暗号を解く鍵となってしまったのだ。
<0673> 枝と俺が共有する情報が、暗号を解く鍵となってしまったのだ。

// <0674> 周辺の高圧情報が次々と変換されはじめる。
<0674> 周辺の高圧情報が次々と変換されはじめる。

// <0675> 受け手の限度さえ超えて…！
<0675> 受け手の限度さえ超えて…！

// <0676> 瑚太朗
<0676> 瑚太朗

// <0677> （…やばい！）
<0677> （…やばい！）

// <0678> 断ち切ろうとしたが、もう遅かった。
<0678> 断ち切ろうとしたが、もう遅かった。

// <0679> 情報が流れ込ん、
<0679> 情報が流れ込ん、

// <0680> 情、報、が、
<0680> 情、報、が、

// <0681> ジョウ、ジョウ、ジョウ、
<0681> ジョウ、ジョウ、ジョウ、

// <0682> 瑚太朗
<0682> 瑚太朗

// <0683> 「………………………………………………ッ」
<0683> 「………………………………………………ッ」

// <0684> 冗馴”・諤蛟蟄！
<0684> 冗馴”・諤蛟蟄！

// <0685> ………
<0685> ………

// <0686> イノチ
<0686> イノチ

// <0687> 命
<0687> 命

// <0688> ?÷?-?????????B
<0688> ?÷?-?????????B

// <0689> S………
<0689> S………

// <0690> 検索結果――
<0690> 検索結果――

// <0691> イノチ
<0691> イノチ

// <0692> 命
<0692> 命

// <0693> 玄妙なるもの。
<0693> 玄妙なるもの。

// <0694> …命は偶発することがあるが、極めて小さな可能性であり、
<0694> …命は偶発することがあるが、極めて小さな可能性であり、

// <0695> 宇宙開闢（かいびゃく）から死滅に至るまでの時間内で自然発生する可能性は０．０００００００００００２％程度と…
<0695> 宇宙開闢（かいびゃく）から死滅に至るまでの時間内で自然発生する可能性は０．０００００００００００２％程度と…

// <0696> アウロラ
<0696> アウロラ

// <0697> 万能の力
<0697> 万能の力

// <0698> 生命発生を促進する活力。通常、重力の強い影響を受け、質量を持つ惑星などの表面で資源と結合し、堆積する。
<0698> 生命発生を促進する活力。通常、重力の強い影響を受け、質量を持つ惑星などの表面で資源と結合し、堆積する。

// <0699> 万能の力
<0699> 万能の力

// <0700> 特殊な制御下にある場合、常温にて液状化することがある。
<0700> 特殊な制御下にある場合、常温にて液状化することがある。

// <0701> 万能の力
<0701> 万能の力

// <0702> 重力は一部が当該宇宙から余剰次元に漏出するため、万能の力もまた同様に次元間宇宙間に拡散していると考えられる（→メッシュ進化理論）。
<0702> 重力は一部が当該宇宙から余剰次元に漏出するため、万能の力もまた同様に次元間宇宙間に拡散していると考えられる（→メッシュ進化理論）。

// <0703> 万能の力
<0703> 万能の力

// <0704> 活動の履歴を参照し、再現する性質が確認されている。そのため、拡散する性質は万能の力にとって一種の本能として機能し――
<0704> 活動の履歴を参照し、再現する性質が確認されている。そのため、拡散する性質は万能の力にとって一種の本能として機能し――

// <0705> サイシンカ
<0705> サイシンカ

// <0706> 再進化
<0706> 再進化

// <0707> 万能の力に内在する自己防衛本能。袋小路に陥った命が継続して引き起こすであろう資源ロスを軽減する。
<0707> 万能の力に内在する自己防衛本能。袋小路に陥った命が継続して引き起こすであろう資源ロスを軽減する。

// <0708> 再進化
<0708> 再進化

// <0709> 命のリサイクル。
<0709> 命のリサイクル。

// <0710> …万能の力が高濃度となると、知的種族を中心とした大規模な振動現象が発生する…
<0710> …万能の力が高濃度となると、知的種族を中心とした大規模な振動現象が発生する…

// <0711> …天体表面積が一定以下の場合、こうした振動はしばしば網目状に引き延ばされ…
<0711> …天体表面積が一定以下の場合、こうした振動はしばしば網目状に引き延ばされ…

// <0712> …生存するための経路を多元的に模索するという…
<0712> …生存するための経路を多元的に模索するという…

// <0713> カノウセイノケイトウジュ
<0713> カノウセイノケイトウジュ

// <0714> 可能性の系統樹
<0714> 可能性の系統樹

// <0715> 短期間の資源浪費などにより、結合していた万能の力が急激に大気中に放出されると、時間線上では未来側に向かって多元的な振動が起こる。
<0715> 短期間の資源浪費などにより、結合していた万能の力が急激に大気中に放出されると、時間線上では未来側に向かって多元的な振動が起こる。

// <0716> 可能性の系統樹
<0716> 可能性の系統樹

// <0717> この樹状のもつれは、万能の力が本来持つ拡散圧により、実際の植物と同様に未来方向に押し出され、いわば成長するのであり――
<0717> この樹状のもつれは、万能の力が本来持つ拡散圧により、実際の植物と同様に未来方向に押し出され、いわば成長するのであり――

// <0718> ニワノブンメイ
<0718> ニワノブンメイ

// <0719> 庭の文明
<0719> 庭の文明

// <0720> タイプⅠ文明の一形態。天体表面積が狭い惑星などでは、物理定数の書き換えが促進される。
<0720> タイプⅠ文明の一形態。天体表面積が狭い惑星などでは、物理定数の書き換えが促進される。

// <0721> 庭の文明
<0721> 庭の文明

// <0722> こうして生まれた庭型文明では生命の生存は容易になるが、
<0722> こうして生まれた庭型文明では生命の生存は容易になるが、

// <0723> 庭の文明
<0723> 庭の文明

// <0724> 反面物質的強度に乏しく、知的種族をより高次の段階に持ち上げることは難しい――
<0724> 反面物質的強度に乏しく、知的種族をより高次の段階に持ち上げることは難しい――

// <0725> ナンナンダヨ…
<0725> ナンナンダヨ…

// <0726> 何なんだよ…
<0726> 何なんだよ…

// <0727> 本理論はこの質問に対する有効回答を提出できません。質問内容を再確認し、質問項目を分散して入力することをおすすめします。
<0727> 本理論はこの質問に対する有効回答を提出できません。質問内容を再確認し、質問項目を分散して入力することをおすすめします。

// <0728> ドウイウコトナンダヨコノジョウホウハ…
<0728> ドウイウコトナンダヨコノジョウホウハ…

// <0729> どういうことなんだよこの情報は…
<0729> どういうことなんだよこの情報は…

// <0730> 本理論はこの質問に対する有効回答を提出できません。
<0730> 本理論はこの質問に対する有効回答を提出できません。

// <0731> イノチッテナンナンダヨ！？
<0731> イノチッテナンナンダヨ！？

