// <0000> 【月光散歩】
<0000> 【月光散歩】
// <0347> 「堅苦しいのは苦手でね。カジュアルなのが好きさ」
<0347> 「堅苦しいのは苦手でね。カジュアルなのが好きさ」

// <0348> 瑚太朗
<0348> 瑚太朗

// <0349> 「そんで、あんたの名は？」
<0349> 「そんで、あんたの名は？」

// <0350> 少女＿篝
<0350> 少女＿篝

// <0351> 「…」
<0351> 「…」

// <0352> リボンが首筋から胸元、腹部のあたりまでつかず離れずにおりていく。
<0352> リボンが首筋から胸元、腹部のあたりまでつかず離れずにおりていく。

// <0353> 瑚太朗
<0353> 瑚太朗

// <0354> 「俺はまだ来たばかりだ。知らないことだらけで、戸惑ってる」
<0354> 「俺はまだ来たばかりだ。知らないことだらけで、戸惑ってる」

// <0355> 瑚太朗
<0355> 瑚太朗

// <0356> 「あんたと敵対するつもりはない」
<0356> 「あんたと敵対するつもりはない」

// <0357> 瑚太朗
<0357> 瑚太朗

// <0358> 「もし良かったら、暇潰しがてら、俺と話してくれないか？」
<0358> 「もし良かったら、暇潰しがてら、俺と話してくれないか？」

// <0359> 瑚太朗
<0359> 瑚太朗

// <0360> 「同じ場所に居合わせた同士、仲良くしようぜ」
<0360> 「同じ場所に居合わせた同士、仲良くしようぜ」

// <0361> リボンが中程から折れて、ドリルのような鋭いやじりとなった。
<0361> リボンが中程から折れて、ドリルのような鋭いやじりとなった。

// <0362> それが、俺の胸に突き立つ。
<0362> それが、俺の胸に突き立つ。

// <0363> 瑚太朗
<0363> 瑚太朗

// <0364> 「！？」
<0364> 「！？」

// <0365> 回転しながら体内に潜り込む。
<0365> 回転しながら体内に潜り込む。

// <0366> 引き抜かれたリボンが、ある器官を握りしめていた。
<0366> 引き抜かれたリボンが、ある器官を握りしめていた。

// <0367> 今なお脈動する器官は、あろうことか心臓だ。
<0367> 今なお脈動する器官は、あろうことか心臓だ。

// <0368> まるで理科室にいる臓器人形が備えているような、嘘くさい心臓。
<0368> まるで理科室にいる臓器人形が備えているような、嘘くさい心臓。

// <0369> しかし動いていて、俺の活動の根っこを支えているのは間違いない。
<0369> しかし動いていて、俺の活動の根っこを支えているのは間違いない。

// <0370> 瑚太朗
<0370> 瑚太朗

// <0371> 「それ…俺の…」
<0371> 「それ…俺の…」

// <0372> 手を伸ばす。
<0372> 手を伸ばす。

// <0373> ぱん、と小気味よい音がして、握りつぶされた。
<0373> ぱん、と小気味よい音がして、握りつぶされた。

// <0374> 意識がぐらりと傾く。
<0374> 意識がぐらりと傾く。

// <0375> 【対話】
<0375> 【対話】

// <0376> もっとも記憶が明瞭になるのは、目覚める直前だ。
<0376> もっとも記憶が明瞭になるのは、目覚める直前だ。

// <0377> しかし目覚めると同時に、それはおぼろげなものとなってしまう。
<0377> しかし目覚めると同時に、それはおぼろげなものとなってしまう。

// <0378> 楽しい夢を見たのに、起きた途端にそれを忘れるみたいに。
<0378> 楽しい夢を見たのに、起きた途端にそれを忘れるみたいに。

// <0379> 何度か消滅し、目覚めた。
<0379> 何度か消滅し、目覚めた。

// <0380> 繰り返される夢と夜。
<0380> 繰り返される夢と夜。

// <0381> 思い出と非現実の往復。
<0381> 思い出と非現実の往復。

// <0382> 少女との対話は、数え切れないほど試みた。
<0382> 少女との対話は、数え切れないほど試みた。

// <0383> 少女はあまり俺との会話に積極的とは言えなかった。
<0383> 少女はあまり俺との会話に積極的とは言えなかった。

// <0384> 話しかけても、つれなく無視されることも多かった。
<0384> 話しかけても、つれなく無視されることも多かった。

// <0385> 対話は相互理解を目的とする。
<0385> 対話は相互理解を目的とする。

// <0386> けど俺と少女の間に、そんなものが育まれたのかどうか…
<0386> けど俺と少女の間に、そんなものが育まれたのかどうか…

// <0387> そんな放浪のさなか、俺はふと自らの矛盾に気付いた。
<0387> そんな放浪のさなか、俺はふと自らの矛盾に気付いた。

// <0388> 目覚めの寸前に見る夢、その個々の記憶には、整合性というものがまるでなかったのだ。
<0388> 目覚めの寸前に見る夢、その個々の記憶には、整合性というものがまるでなかったのだ。

// <0389> ある時、俺は小鳥と所帯を持っていた。
<0389> ある時、俺は小鳥と所帯を持っていた。

// <0390> 所帯を持つとは、結婚したって意味だ。
<0390> 所帯を持つとは、結婚したって意味だ。

// <0391> 最高だった。
<0391> 最高だった。

// <0392> あの小鳥と、俺が。
<0392> あの小鳥と、俺が。

// <0393> もちろん簡単なことじゃない。
<0393> もちろん簡単なことじゃない。

// <0394> 俺はすごく頑張って、その結果をものにしたんだ。
<0394> 俺はすごく頑張って、その結果をものにしたんだ。

// <0395> ところが。
<0395> ところが。

// <0396> 別の記憶によると、なぜか俺は世田谷区在住のＯＬ、浜田みち子さんと結婚していたのだ。
<0396> 別の記憶によると、なぜか俺は世田谷区在住のＯＬ、浜田みち子さんと結婚していたのだ。

// <0397> …誰？
<0397> …誰？

// <0398> 記憶によると、２４歳くらいの時に、仕事で偶然に出会った相手だ。
<0398> 記憶によると、２４歳くらいの時に、仕事で偶然に出会った相手だ。

// <0399> 心霊体験話で意気投合し、個人的に会うようになった。
<0399> 心霊体験話で意気投合し、個人的に会うようになった。

// <0400> 仕事絡みのＮＫ（飲み会）で隣同士の席になり。
<0400> 仕事絡みのＮＫ（飲み会）で隣同士の席になり。

// <0401> 酒席トークの一環として「俺彼女とかいなくて、みち子さんつき合ってやってよ」と言ってみたら即決されてしまった。
<0401> 酒席トークの一環として「俺彼女とかいなくて、みち子さんつき合ってやってよ」と言ってみたら即決されてしまった。

// <0402> 軽いノリだった。
<0402> 軽いノリだった。

// <0403> それではすぐに別れるだろう、と思いつつも交際をはじめた。
<0403> それではすぐに別れるだろう、と思いつつも交際をはじめた。

// <0404> 現実味がないのも最初だけだった。
<0404> 現実味がないのも最初だけだった。

// <0405> 愛情はすくすく育ち、二年後には籍を入れることとなった。
<0405> 愛情はすくすく育ち、二年後には籍を入れることとなった。

// <0406> 金を貯め、一年後には式を挙げた。できたての息子も同伴で。
<0406> 金を貯め、一年後には式を挙げた。できたての息子も同伴で。

// <0407> 大勢の人が参列してくれた。
<0407> 大勢の人が参列してくれた。

// <0408> 仕事仲間、上司、友人、親類…
<0408> 仕事仲間、上司、友人、親類…

// <0409> 俺たちは感涙にむせび泣いた。
<0409> 俺たちは感涙にむせび泣いた。

// <0410> ふと疑問が生じた。
<0410> ふと疑問が生じた。

// <0411> なら、俺はいつ小鳥と結婚したのだろう？
<0411> なら、俺はいつ小鳥と結婚したのだろう？

// <0412> 同じ時期のはずだった。
<0412> 同じ時期のはずだった。

// <0413> 同じ時期に、まったく別の記憶が併存しているのだった。
<0413> 同じ時期に、まったく別の記憶が併存しているのだった。

// <0414> それだけではない。
<0414> それだけではない。

// <0415> 意識をたぐると、他にも同時期と思われる記憶が無数にある。
<0415> 意識をたぐると、他にも同時期と思われる記憶が無数にある。

// <0416> ちはやと、ルチアと、その他もろもろ。
<0416> ちはやと、ルチアと、その他もろもろ。

// <0417> そうだ。朱音と、静流も。
<0417> そうだ。朱音と、静流も。

// <0418> その二つは意識の中でも短く、辿るのに少し時間が掛かる。
<0418> その二つは意識の中でも短く、辿るのに少し時間が掛かる。

// <0419> 時には一般市民として。
<0419> 時には一般市民として。

// <0420> 時には戦士として生きた。
<0420> 時には戦士として生きた。

// <0421> 戦士？
<0421> 戦士？

// <0422> 荒廃した大地で、銃を手に魔物と戦っているという記憶が実際あるのだ。
<0422> 荒廃した大地で、銃を手に魔物と戦っているという記憶が実際あるのだ。

// <0423> 文明消滅。ガイア残党。イドラの魔物。ハンター。
<0423> 文明消滅。ガイア残党。イドラの魔物。ハンター。

// <0424> 聞き慣れない単語が乱舞するその世界で、俺はライトジュニア小説顔負けの活躍をしていた。
<0424> 聞き慣れない単語が乱舞するその世界で、俺はライトジュニア小説顔負けの活躍をしていた。

// <0425> 他にもいくらでも別の人生を思い出せた。
<0425> 他にもいくらでも別の人生を思い出せた。

// <0426> 全てが、妄想でも空想でもない実体験として回顧できた。
<0426> 全てが、妄想でも空想でもない実体験として回顧できた。

// <0427> 何度も生まれ変わって、別の人生を生きたんじゃないかとさえ思えた。
<0427> 何度も生まれ変わって、別の人生を生きたんじゃないかとさえ思えた。

// <0428> そんな馬鹿なことはない。
<0428> そんな馬鹿なことはない。

// <0429> けれど他に、記憶の矛盾を説明できる考えは浮かばない。
<0429> けれど他に、記憶の矛盾を説明できる考えは浮かばない。

// <0430> だから俺は、このことを棚上げして、目の前のことに集中するしかなかった。
<0430> だから俺は、このことを棚上げして、目の前のことに集中するしかなかった。

// <0431> 図面少女との対話に。
<0431> 図面少女との対話に。

// <0432> おそるべき難敵である。
<0432> おそるべき難敵である。

// <0433> どんな言葉や態度も、彼女の心を開かせることはなかった。
<0433> どんな言葉や態度も、彼女の心を開かせることはなかった。

// <0434> 俺は何度も殺された。
<0434> 俺は何度も殺された。

// <0435> いろんなアプローチを試した。
<0435> いろんなアプローチを試した。

// <0436> どれもが無駄となり、最後には殺されてしまった。
<0436> どれもが無駄となり、最後には殺されてしまった。

// <0437> そして何度殺されても俺は復活するのだった。
<0437> そして何度殺されても俺は復活するのだった。

// <0438> 人は対話する生き物だ。
<0438> 人は対話する生き物だ。

// <0439> けんめいに理解しあおうとする。
<0439> けんめいに理解しあおうとする。

// <0440> だけど少女は違った。
<0440> だけど少女は違った。

// <0441> 誰もいないこの世界では、人の姿をしていても、人にはなれないのだ。
<0441> 誰もいないこの世界では、人の姿をしていても、人にはなれないのだ。

// <0442> 人間、いろんな人々との接触で成長していく。
<0442> 人間、いろんな人々との接触で成長していく。

// <0443> ここには俺しかいないわけで、時間がかかるのは仕方ない。
<0443> ここには俺しかいないわけで、時間がかかるのは仕方ない。

// <0444> 死んで、死んで、また死んで。
<0444> 死んで、死んで、また死んで。

// <0445> すべて夢なのかとも考えた。
<0445> すべて夢なのかとも考えた。

// <0446> 気力が衰えないのが不思議でならない。
<0446> 気力が衰えないのが不思議でならない。

// <0447> …この心理状態はあきらかにおかしい。
<0447> …この心理状態はあきらかにおかしい。

// <0448> 何かに操られているような気さえする。
<0448> 何かに操られているような気さえする。

// <0449> 俺はすでに過ぎ去ってしまった歴史の反響なのではないか。
<0449> 俺はすでに過ぎ去ってしまった歴史の反響なのではないか。

// <0450> 水面に映る月と同じに。
<0450> 水面に映る月と同じに。

// <0451> 何度かき乱してもすぐ蘇り、月の姿を映し続ける…
<0451> 何度かき乱してもすぐ蘇り、月の姿を映し続ける…

// <0452> だとしたら、あまりにも虚しすぎやしないか。
<0452> だとしたら、あまりにも虚しすぎやしないか。

// <0453> 瑚太朗
<0453> 瑚太朗

// <0454> （ならいっそのこと、もっと思い切った可能性を試してもいい…）
<0454> （ならいっそのこと、もっと思い切った可能性を試してもいい…）

// <0455> 試していないことはまだいくつかある。
<0455> 試していないことはまだいくつかある。

// <0456> たとえば敵対行為がそれだ。
<0456> たとえば敵対行為がそれだ。

// <0457> やろうと思えばできることだ。
<0457> やろうと思えばできることだ。

// <0458> 意識を研ぎすませると、右手首が水平に切れて、輝く蔓草が何本も生えてきた。
<0458> 意識を研ぎすませると、右手首が水平に切れて、輝く蔓草が何本も生えてきた。

// <0459> それは交差しながら手の甲に回り、硬化し三枚刃となって整然と並んだ。
<0459> それは交差しながら手の甲に回り、硬化し三枚刃となって整然と並んだ。

// <0460> 戦うのか？
<0460> 戦うのか？

// <0461> ごたいそうな武器で、不思議少女と？
<0461> ごたいそうな武器で、不思議少女と？

// <0462> 瑚太朗
<0462> 瑚太朗

// <0463> （…そんなことをして、どんな変化が訪れるんだ）
<0463> （…そんなことをして、どんな変化が訪れるんだ）

// <0464> 力をほどく。
<0464> 力をほどく。

// <0465> 刃は粒子となって散った。
<0465> 刃は粒子となって散った。

// <0466> 瑚太朗
<0466> 瑚太朗

// <0467> （相手の気を引くって意味じゃ、ナンパと同じなんだよな…）
<0467> （相手の気を引くって意味じゃ、ナンパと同じなんだよな…）

// <0468> 気が抜ける思いつきだ。
<0468> 気が抜ける思いつきだ。

// <0469> 試みなかった可能性ではあるが…
<0469> 試みなかった可能性ではあるが…

// <0470> 瑚太朗
<0470> 瑚太朗

// <0471> 「…仕方ない。やるか」
<0471> 「…仕方ない。やるか」

// <0472> 変わらない展開には飽き飽きだ。
<0472> 変わらない展開には飽き飽きだ。

// <0473> 心の中で、切られていた空回り機能をオンにした。
<0473> 心の中で、切られていた空回り機能をオンにした。

// <0474> さて、どのようにアプローチしよう。
<0474> さて、どのようにアプローチしよう。

// <0475> 携帯電話を取り出す。
<0475> 携帯電話を取り出す。

// <0476> 電話相談室（偽）
<0476> 電話相談室（偽）

// <0477> 『はい』
<0477> 『はい』

// <0478> 瑚太朗
<0478> 瑚太朗

// <0479> 「女の子の気を引きたいんですけど」
<0479> 「女の子の気を引きたいんですけど」

// <0480> 電話相談室（偽）
<0480> 電話相談室（偽）

// <0481> 『きれいな言葉で』
<0481> 『きれいな言葉で』

// <0482> 綺麗事…？
<0482> 綺麗事…？

// <0483> 確かにとうなずく。
<0483> 確かにとうなずく。

// <0484> 人あしらいが上手な人間は、綺麗事をうまく活用するものだ。
<0484> 人あしらいが上手な人間は、綺麗事をうまく活用するものだ。

// <0485> きれいな人（偽）
<0485> きれいな人（偽）

// <0486> 「やっぱほめられるより、欠点とか指摘してもらった方が勉強になるから、俺は批判されると嬉しいし勉強になるよ」
<0486> 「やっぱほめられるより、欠点とか指摘してもらった方が勉強になるから、俺は批判されると嬉しいし勉強になるよ」

// <0487> そうそう、こんな感じ。
<0487> そうそう、こんな感じ。

// <0488> 見事な綺麗さだ。
<0488> 見事な綺麗さだ。

// <0489> これこそ『人間として立派』ということなんだ。
<0489> これこそ『人間として立派』ということなんだ。

// <0490> きれいな人（偽）
<0490> きれいな人（偽）

// <0491> 「俺は隠し事って誰に対してもしないんだよね」
<0491> 「俺は隠し事って誰に対してもしないんだよね」

// <0492> きれいな人（偽）
<0492> きれいな人（偽）

// <0493> 「嘘でかためた人間関係なんて意味ないって思ってるしね」
<0493> 「嘘でかためた人間関係なんて意味ないって思ってるしね」

// <0494> きれいな人（偽）
<0494> きれいな人（偽）

// <0495> 「本音言い合って、それで友達でいてくれたヤツだけが本当の友達でしょ」
<0495> 「本音言い合って、それで友達でいてくれたヤツだけが本当の友達でしょ」

// <0496> うまい。
<0496> うまい。

// <0497> 実にうまいやり口だ。
<0497> 実にうまいやり口だ。

// <0498> 相手はこう思うだろう。
<0498> 相手はこう思うだろう。

// <0499> 餌食
<0499> 餌食

// <0500> （この人、裏表のない、本当のハートを持ってる！）
<0500> （この人、裏表のない、本当のハートを持ってる！）

// <0501> 演技っぽい？
<0501> 演技っぽい？

// <0502> そうなのかもな。
<0502> そうなのかもな。

// <0503> けど本能のままに生きるなら原始人も同然じゃないか。
<0503> けど本能のままに生きるなら原始人も同然じゃないか。

// <0504> 演じるからこそ文明人なんじゃないのか？
<0504> 演じるからこそ文明人なんじゃないのか？

// <0505> 参考になった。
<0505> 参考になった。

// <0506> 俺も心動かす言葉を考えよう。
<0506> 俺も心動かす言葉を考えよう。

// <0507> 相手を気持ちよくさせるよう、全てのセリフを調律する。
<0507> 相手を気持ちよくさせるよう、全てのセリフを調律する。

// <0508> いい嘘をつく。
<0508> いい嘘をつく。

// <0509> それで、どこかの誰かになれる。
<0509> それで、どこかの誰かになれる。

// <0510> 彼女のハートもモノにできる。
<0510> 彼女のハートもモノにできる。

// <0511> 瑚太朗
<0511> 瑚太朗

// <0512> 「聞いてくれ」
<0512> 「聞いてくれ」

// <0513> 少女に近づく。
<0513> 少女に近づく。

// <0514> リボンが攻撃を仕掛けてくるのを、上着を振って絡め取る。
<0514> リボンが攻撃を仕掛けてくるのを、上着を振って絡め取る。

// <0515> …成功。
<0515> …成功。

// <0516> 次の攻撃が来る前に、可能な限り接近する。
<0516> 次の攻撃が来る前に、可能な限り接近する。

// <0517> ５メートルほどにまで肉薄したところで、全身をリボンで拘束された。
<0517> ５メートルほどにまで肉薄したところで、全身をリボンで拘束された。

// <0518> が、話しかけるには十分な距離だ。
<0518> が、話しかけるには十分な距離だ。

// <0519> 瑚太朗
<0519> 瑚太朗

// <0520> 「あんたが、どうしても気になる」
<0520> 「あんたが、どうしても気になる」

// <0521> 瑚太朗
<0521> 瑚太朗

// <0522> 「俺と友達になってくれ」
<0522> 「俺と友達になってくれ」

// <0523> 少女＿篝
<0523> 少女＿篝

// <0524> 「………」
<0524> 「………」

// <0525> 時間が止まった気がした。
<0525> 時間が止まった気がした。

// <0526> …いや、最初から止まっている。
<0526> …いや、最初から止まっている。

// <0527> 瑚太朗
<0527> 瑚太朗

// <0528> 「あんたの名前を教えて欲しい」
<0528> 「あんたの名前を教えて欲しい」

// <0529> 瑚太朗
<0529> 瑚太朗

// <0530> 「俺たちはきっとうまくやれる」
<0530> 「俺たちはきっとうまくやれる」

// <0531> 瑚太朗
<0531> 瑚太朗

// <0532> 「俺とあんたは違うものだけど、話せばわかりあえるはずだ」
<0532> 「俺とあんたは違うものだけど、話せばわかりあえるはずだ」

// <0533> 瑚太朗
<0533> 瑚太朗

// <0534> 「だからそう警戒しないでくれたまえよベイビー」
<0534> 「だからそう警戒しないでくれたまえよベイビー」

// <0535> 瑚太朗
<0535> 瑚太朗

// <0536> （やべ、ちょっと最後、焦ってハナワ君みたいになっちまった…）
<0536> （やべ、ちょっと最後、焦ってハナワ君みたいになっちまった…）

// <0537> 少女＿篝
<0537> 少女＿篝

// <0538> 「………」
<0538> 「………」

// <0539> なんとか言い切ったが…
<0539> なんとか言い切ったが…

// <0540> ああ…なんという空気だ…
<0540> ああ…なんという空気だ…

// <0541> すべてが凍りついている。
<0541> すべてが凍りついている。

// <0542> 少女の態度にはまるで変化がない。
<0542> 少女の態度にはまるで変化がない。

// <0543> 滑ってしまったのか俺は…
<0543> 滑ってしまったのか俺は…

// <0544> いやな汗が出てきた。
<0544> いやな汗が出てきた。

// <0545> 超常の存在を相手に、何てことを言ってしまったのかと後悔した。
<0545> 超常の存在を相手に、何てことを言ってしまったのかと後悔した。

// <0546> 直後、全身を締め上げられた。
<0546> 直後、全身を締め上げられた。

// <0547> 瑚太朗
<0547> 瑚太朗

// <0548> 「…っ」
<0548> 「…っ」

// <0549> 柔らかい布地を流れる大きな力が伝わってきた。
<0549> 柔らかい布地を流れる大きな力が伝わってきた。

// <0550> 薄皮越しのマグマに触れている感覚だ。
<0550> 薄皮越しのマグマに触れている感覚だ。

// <0551> …危険。
<0551> …危険。

// <0552> 瑚太朗
<0552> 瑚太朗

// <0553> 「ベ、ベイビー呼ばわりはキザすぎましたかねぇ！？」
<0553> 「ベ、ベイビー呼ばわりはキザすぎましたかねぇ！？」

// <0554> リボンにさらなる力が加わった。
<0554> リボンにさらなる力が加わった。

// <0555> 首が絞められる。
<0555> 首が絞められる。

// <0556> そのまま数メートルの高さに宙づりにされてしまう。
<0556> そのまま数メートルの高さに宙づりにされてしまう。

// <0557> 瑚太朗
<0557> 瑚太朗

// <0558> 「ッ！」
<0558> 「ッ！」

// <0559> 少女＿篝
<0559> 少女＿篝

// <0560> 「…」
<0560> 「…」

// <0561> 瑚太朗
<0561> 瑚太朗

// <0562> 「待っ……」
<0562> 「待っ……」

// <0563> ばっつり
<0563> ばっつり

// <0564> 制止も虚しく、俺の首は見事に切り落とされてしまった。
<0564> 制止も虚しく、俺の首は見事に切り落とされてしまった。

// <0565> 力を失った胴体、つま先からくしゃりと地面に崩れ落ちる。
<0565> 力を失った胴体、つま先からくしゃりと地面に崩れ落ちる。

// <0566> 頭部は少し遅れて落下し、丘を転がり落ちる。
<0566> 頭部は少し遅れて落下し、丘を転がり落ちる。

// <0567> 瑚太朗
<0567> 瑚太朗

// <0568> （…ああ…ひでぇ）
<0568> （…ああ…ひでぇ）

// <0569> 慣れたとはいえ、見事な雑魚死だ。
<0569> 慣れたとはいえ、見事な雑魚死だ。

// <0570> 意識が遠のいた。
<0570> 意識が遠のいた。

// <0571> 告るしかない。
<0571> 告るしかない。

// <0572> 他に手応えがあったパターンは存在しない。
<0572> 他に手応えがあったパターンは存在しない。

// <0573> 様々な口説き文句で、少女に挑みかかることにした。
<0573> 様々な口説き文句で、少女に挑みかかることにした。

// <0574> 瑚太朗
<0574> 瑚太朗

// <0575> 「去年からマジでおまえのこと気になってて…その…つきあって、ほしいんだけど」
<0575> 「去年からマジでおまえのこと気になってて…その…つきあって、ほしいんだけど」

// <0576> カジュアルな感じなんだけど、純情っぽさもあるみたいな。
<0576> カジュアルな感じなんだけど、純情っぽさもあるみたいな。

// <0577> そういう設定で行った。
<0577> そういう設定で行った。

// <0578> 結果…
<0578> 結果…

// <0579> グサー！
<0579> グサー！

// <0580> 瑚太朗
<0580> 瑚太朗

// <0581> 「ギャーーーーーッ！！」
<0581> 「ギャーーーーーッ！！」

// <0582> 俺は殺られた。
<0582> 俺は殺られた。

// <0583> まさかの瞬殺。壁は厚かった。
<0583> まさかの瞬殺。壁は厚かった。

// <0584> 瑚太朗
<0584> 瑚太朗

// <0585> 『止まらねぇんだ俺の愛はぁぁぁぁぁーーーーっ！！』
<0585> 『止まらねぇんだ俺の愛はぁぁぁぁぁーーーーっ！！』

// <0586> ザクー！
<0586> ザクー！

// <0587> 瑚太朗
<0587> 瑚太朗

// <0588> 「うわーーーーーッ！！」
<0588> 「うわーーーーーッ！！」

// <0589> 熱血系…失敗。
<0589> 熱血系…失敗。

// <0590> 瑚太朗
<0590> 瑚太朗

// <0591> 『
<0591> 『

// <0592> I really like you！
<0592> I really like you！

// <0593> 』
<0593> 』

// <0594> ブスー！
<0594> ブスー！

// <0595> 瑚太朗
<0595> 瑚太朗

// <0596> 「ノォォォォォォッ！！」
<0596> 「ノォォォォォォッ！！」

// <0597> 国際系…失敗。
<0597> 国際系…失敗。

// <0598> 文法が微妙に間違っていたのか？
<0598> 文法が微妙に間違っていたのか？

// <0599> 瑚太朗
<0599> 瑚太朗

// <0600> 『大人をからかうとヤケドをするものさ』
<0600> 『大人をからかうとヤケドをするものさ』

// <0601> ジュー！
<0601> ジュー！

// <0602> 瑚太朗
<0602> 瑚太朗

// <0603> 「溶ーけーてーいーくー！！」
<0603> 「溶ーけーてーいーくー！！」

// <0604> 大人の男系…失敗。
<0604> 大人の男系…失敗。

// <0605> あ、この時はリボンからマグマみたいのが出て、それで殺されました。
<0605> あ、この時はリボンからマグマみたいのが出て、それで殺されました。

// <0606> 同様の雑魚死、多数――
<0606> 同様の雑魚死、多数――

// <0607> 瑚太朗
<0607> 瑚太朗

// <0608> 「どうもこうもなんねーって！」
<0608> 「どうもこうもなんねーって！」

// <0609> いくら試しても、トークが成立することはなかった。
<0609> いくら試しても、トークが成立することはなかった。

// <0610> 接近する異物を自動的に排除している。
<0610> 接近する異物を自動的に排除している。

// <0611> これでは以前と変わりない。
<0611> これでは以前と変わりない。

// <0612> どこをミスっているのかさえわからない有様だ。
<0612> どこをミスっているのかさえわからない有様だ。

// <0613> 瑚太朗
<0613> 瑚太朗

// <0614> 「どうすべ…」
<0614> 「どうすべ…」

// <0615> 唯一できること、見守ることにした。
<0615> 唯一できること、見守ることにした。

// <0616> 万策尽きてしまった、とも言える。
<0616> 万策尽きてしまった、とも言える。

// <0617> 瑚太朗
<0617> 瑚太朗

// <0618> 「…」
<0618> 「…」

// <0619> 少女＿篝
<0619> 少女＿篝

// <0620> 「…」
<0620> 「…」

// <0621> 不用意に接近しなければ、相手も攻撃はしてこない。
<0621> 不用意に接近しなければ、相手も攻撃はしてこない。

// <0622> 瑚太朗
<0622> 瑚太朗

// <0623> （…どうしたいんだろ、俺）
<0623> （…どうしたいんだろ、俺）

// <0624> 死ぬことさえない世界で、延々と人の顔色をうかがう。
<0624> 死ぬことさえない世界で、延々と人の顔色をうかがう。

// <0625> 現実に生きていた頃と、まるで同じだ。
<0625> 現実に生きていた頃と、まるで同じだ。

// <0626> 全身から力が抜ける。
<0626> 全身から力が抜ける。

// <0627> もう健全な言葉は口にできそうにない。
<0627> もう健全な言葉は口にできそうにない。

// <0628> だってそれは、無理をした結果だったから。
<0628> だってそれは、無理をした結果だったから。

// <0629> 瑚太朗
<0629> 瑚太朗

// <0630> 「…空回りばかりしてきた」
<0630> 「…空回りばかりしてきた」

// <0631> 誰にともなく、俺の口は開いた。
<0631> 誰にともなく、俺の口は開いた。

// <0632> 瑚太朗
<0632> 瑚太朗

// <0633> 「正直に言えば、好きってのは全部ウソだよ」
<0633> 「正直に言えば、好きってのは全部ウソだよ」

// <0634> 瑚太朗
<0634> 瑚太朗

// <0635> 「俺は人を好きになるより、まず自分が大事な人間だからな」
<0635> 「俺は人を好きになるより、まず自分が大事な人間だからな」

// <0636> 瑚太朗
<0636> 瑚太朗

// <0637> 「自分がかわいい。自分が大事」
<0637> 「自分がかわいい。自分が大事」

// <0638> 瑚太朗
<0638> 瑚太朗

// <0639> 「俺は人を助ける。道で転んでるヤツがいれば助け起こしてやる」
<0639> 「俺は人を助ける。道で転んでるヤツがいれば助け起こしてやる」

// <0640> 瑚太朗
<0640> 瑚太朗

// <0641> 「その時、俺は気持ちいいんだ」
<0641> 「その時、俺は気持ちいいんだ」

// <0642> 瑚太朗
<0642> 瑚太朗

// <0643> 「いいことをした。善人になった」
<0643> 「いいことをした。善人になった」

// <0644> 瑚太朗
<0644> 瑚太朗

// <0645> 「人助けの気持ちよさだ」
<0645> 「人助けの気持ちよさだ」

// <0646> 瑚太朗
<0646> 瑚太朗

// <0647> 「実は相手のことなんてどうでもいい。心の底から相手を心配してるわけじゃない」
<0647> 「実は相手のことなんてどうでもいい。心の底から相手を心配してるわけじゃない」

// <0648> 瑚太朗
<0648> 瑚太朗

// <0649> 「自分の満足だけなんだ」
<0649> 「自分の満足だけなんだ」

// <0650> 瑚太朗
<0650> 瑚太朗

// <0651> 「利己的善行だ」
<0651> 「利己的善行だ」

// <0652> 瑚太朗
<0652> 瑚太朗

// <0653> 「こういうことをしてる人間って、けっこう多いと思う」
<0653> 「こういうことをしてる人間って、けっこう多いと思う」

// <0654> 瑚太朗
<0654> 瑚太朗

// <0655> 「むしろ、まったく快楽なしに人を救う者なんていない」
<0655> 「むしろ、まったく快楽なしに人を救う者なんていない」

// <0656> 瑚太朗
<0656> 瑚太朗

// <0657> 「でもそこが問題なんじゃない。どんな生き物だって、自分が満足したくて生きてる」
<0657> 「でもそこが問題なんじゃない。どんな生き物だって、自分が満足したくて生きてる」

// <0658> 瑚太朗
<0658> 瑚太朗

// <0659> 「充実こそが人生最大の目的だから」
<0659> 「充実こそが人生最大の目的だから」

// <0660> 瑚太朗
<0660> 瑚太朗

// <0661> 「じゃあどうして、充実の手段がキレイさにしかないのか…」
<0661> 「じゃあどうして、充実の手段がキレイさにしかないのか…」

// <0662> 単語を吟味しながら、ゆっくりと考えを練る。
<0662> 単語を吟味しながら、ゆっくりと考えを練る。

// <0663> 言葉は空に広がるようでいて、その実、自らの内奥をさぐる見えざる手だった。
<0663> 言葉は空に広がるようでいて、その実、自らの内奥をさぐる見えざる手だった。

// <0664> 瑚太朗
<0664> 瑚太朗

// <0665> 「…それはやっぱり、共同体に認めてもらいたいからだ」
<0665> 「…それはやっぱり、共同体に認めてもらいたいからだ」

