// <0000> 地図に従って歩くと、すぐに川に出る。
<0000> 地図に従って歩くと、すぐに川に出る。
<0387> 瑚太朗

// <0388> （まあ、そりゃそうか…）
<0388> （まあ、そりゃそうか…）

// <0389> グループＡ…朱音
<0389> グループＡ…朱音

// <0390> グループＢ…それ以外
<0390> グループＢ…それ以外

// <0391> 俺が唯一、間を行ったり来たりしている…らしい。
<0391> 俺が唯一、間を行ったり来たりしている…らしい。

// <0392> 瑚太朗
<0392> 瑚太朗

// <0393> 「でもみんな話してんじゃん」
<0393> 「でもみんな話してんじゃん」

// <0394> ちはや
<0394> ちはや

// <0395> 「話しはしてますけど…私が言うと逆に不機嫌になっちゃいそうですしー」
<0395> 「話しはしてますけど…私が言うと逆に不機嫌になっちゃいそうですしー」

// <0396> ルチア
<0396> ルチア

// <0397> 「話してるだけって感じだな」
<0397> 「話してるだけって感じだな」

// <0398> 小鳥
<0398> 小鳥

// <0399> 「ちょっと距離があるんだよ」
<0399> 「ちょっと距離があるんだよ」

// <0400> 瑚太朗
<0400> 瑚太朗

// <0401> 「そんなもんか…？　女って物の見方がウェットだよな」
<0401> 「そんなもんか…？　女って物の見方がウェットだよな」

// <0402> 小鳥
<0402> 小鳥

// <0403> 「そういうのもあるとは思うんだけどね」
<0403> 「そういうのもあるとは思うんだけどね」

// <0404> ルチア
<0404> ルチア

// <0405> 「仲良さそうでも、打ち解けているとは限らない」
<0405> 「仲良さそうでも、打ち解けているとは限らない」

// <0406> しんどい話だ。
<0406> しんどい話だ。

// <0407> 男同士は単純で…ってほどでもないか。
<0407> 男同士は単純で…ってほどでもないか。

// <0408> 男は男でいろいろあるし。
<0408> 男は男でいろいろあるし。

// <0409> 小鳥
<0409> 小鳥

// <0410> 「会長さんのケアしたげて」
<0410> 「会長さんのケアしたげて」

// <0411> 瑚太朗
<0411> 瑚太朗

// <0412> 「ケアね…」
<0412> 「ケアね…」

// <0413> 朱音に近づく。
<0413> 朱音に近づく。

// <0414> 瑚太朗
<0414> 瑚太朗

// <0415> 「…ねえ会長」
<0415> 「…ねえ会長」

// <0416> 朱音
<0416> 朱音

// <0417> 「………」
<0417> 「………」

// <0418> 世の怨嗟のすべてを飲み込んだような目だった。
<0418> 世の怨嗟のすべてを飲み込んだような目だった。

// <0419> 朱音
<0419> 朱音

// <0420> 「………何？」
<0420> 「………何？」

// <0421> やっぱり、こわい。
<0421> やっぱり、こわい。

// <0422> 女のこわさにもいろいろあるだろうが、朱音のそれは威圧感だ。
<0422> 女のこわさにもいろいろあるだろうが、朱音のそれは威圧感だ。

// <0423> いつもひとりでいる朱音だが、どこかカリスマを思わせる。
<0423> いつもひとりでいる朱音だが、どこかカリスマを思わせる。

// <0424> 瑚太朗
<0424> 瑚太朗

// <0425> 「…えっと…なんか…静かでいいっすよね、ここ」
<0425> 「…えっと…なんか…静かでいいっすよね、ここ」

// <0426> 朱音
<0426> 朱音

// <0427> 「静か？」
<0427> 「静か？」

// <0428> 朱音
<0428> 朱音

// <0429> 「生命の立てる騒音で満ち満ちているように思えるけれど」
<0429> 「生命の立てる騒音で満ち満ちているように思えるけれど」

// <0430> 瑚太朗
<0430> 瑚太朗

// <0431> 「いつの間にこんな…」
<0431> 「いつの間にこんな…」

// <0432> 瑚太朗
<0432> 瑚太朗

// <0433> 「さっきまであんなシンとしてたのに」
<0433> 「さっきまであんなシンとしてたのに」

// <0434> 朱音
<0434> 朱音

// <0435> 「これが本来の姿よ」
<0435> 「これが本来の姿よ」

// <0436> 瑚太朗
<0436> 瑚太朗

// <0437> 「でも俺たちが遊んでた森は、いつももっと静かだったはずなのに…」
<0437> 「でも俺たちが遊んでた森は、いつももっと静かだったはずなのに…」

// <0438> 歩いている場所は違うけど、同じ森のはずだ。
<0438> 歩いている場所は違うけど、同じ森のはずだ。

// <0439> 朱音
<0439> 朱音

// <0440> 「殺虫処置が施されているのよ」
<0440> 「殺虫処置が施されているのよ」

// <0441> 瑚太朗
<0441> 瑚太朗

// <0442> 「殺虫処置？」
<0442> 「殺虫処置？」

// <0443> 朱音
<0443> 朱音

// <0444> 「あまり知られてはいない話ね」
<0444> 「あまり知られてはいない話ね」

// <0445> 朱音
<0445> 朱音

// <0446> 「年に何度か、市街と接する森林部に、強力な殺虫剤を撒布しているの」
<0446> 「年に何度か、市街と接する森林部に、強力な殺虫剤を撒布しているの」

// <0447> 瑚太朗
<0447> 瑚太朗

// <0448> 「虫が生活圏に入ってこないように？」
<0448> 「虫が生活圏に入ってこないように？」

// <0449> 朱音
<0449> 朱音

// <0450> 「…それもあるでしょうね」
<0450> 「…それもあるでしょうね」

// <0451> 瑚太朗
<0451> 瑚太朗

// <0452> 「他にも理由が？」
<0452> 「他にも理由が？」

// <0453> 朱音
<0453> 朱音

// <0454> 「たいした理由ではないけれど」
<0454> 「たいした理由ではないけれど」

// <0455> しかし話す気はないようで、朱音は口をつぐんだ。
<0455> しかし話す気はないようで、朱音は口をつぐんだ。

// <0456> 瑚太朗
<0456> 瑚太朗

// <0457> 「そんなことをしていたんだ…」
<0457> 「そんなことをしていたんだ…」

// <0458> 瑚太朗
<0458> 瑚太朗

// <0459> 「緑化都市なのに…」
<0459> 「緑化都市なのに…」

// <0460> 朱音
<0460> 朱音

// <0461> 「風祭は整った街でしょう？」
<0461> 「風祭は整った街でしょう？」

// <0462> 瑚太朗
<0462> 瑚太朗

// <0463> 「はい」
<0463> 「はい」

// <0464> 朱音
<0464> 朱音

// <0465> 「けど、虫が大量に発生していたら、住みたいと思う？」
<0465> 「けど、虫が大量に発生していたら、住みたいと思う？」

// <0466> 瑚太朗
<0466> 瑚太朗

// <0467> 「…チョウチョとかなら」
<0467> 「…チョウチョとかなら」

// <0468> 朱音
<0468> 朱音

// <0469> 「ヤスデ、毛虫、ミミズ」
<0469> 「ヤスデ、毛虫、ミミズ」

// <0470> 瑚太朗
<0470> 瑚太朗

// <0471> 「蛇口ひねってどぼどぼ出てきたら失神しそうな虫、ベスト３そろい踏みっすね」
<0471> 「蛇口ひねってどぼどぼ出てきたら失神しそうな虫、ベスト３そろい踏みっすね」

// <0472> どすっ
<0472> どすっ

// <0473> 瑚太朗
<0473> 瑚太朗

// <0474> 「あいった…」
<0474> 「あいった…」

// <0475> 朱音にゲンコツで殴られた。
<0475> 朱音にゲンコツで殴られた。

// <0476> 朱音
<0476> 朱音

// <0477> 「気色悪いイメージを植え付けないで！」
<0477> 「気色悪いイメージを植え付けないで！」

// <0478> 朱音
<0478> 朱音

// <0479> 「ビジュアルイメージ付きで連想してしまったじゃない」
<0479> 「ビジュアルイメージ付きで連想してしまったじゃない」

// <0480> 瑚太朗
<0480> 瑚太朗

// <0481> 「すいません。で、その虫がどうって？」
<0481> 「すいません。で、その虫がどうって？」

// <0482> 朱音
<0482> 朱音

// <0483> 「…昔、風祭で大量発生したことがあるのよ」
<0483> 「…昔、風祭で大量発生したことがあるのよ」

// <0484> 朱音
<0484> 朱音

// <0485> 「都市開発の過程…十数年も前のことになるけど」
<0485> 「都市開発の過程…十数年も前のことになるけど」

// <0486> 瑚太朗
<0486> 瑚太朗

// <0487> 「大量発生って…」
<0487> 「大量発生って…」

// <0488> 朱音
<0488> 朱音

// <0489> 「家の塀にびっしり埋まるくらい、発生したそうよ」
<0489> 「家の塀にびっしり埋まるくらい、発生したそうよ」

// <0490> 瑚太朗
<0490> 瑚太朗

// <0491> 「うげぇ…」
<0491> 「うげぇ…」

// <0492> 男の俺でも鳥肌ものだ。
<0492> 男の俺でも鳥肌ものだ。

// <0493> 朱音
<0493> 朱音

// <0494> 「自然のバランスが崩れると…いいえ、さして崩れなくとも、しばしばそういう事態は起こるものよ」
<0494> 「自然のバランスが崩れると…いいえ、さして崩れなくとも、しばしばそういう事態は起こるものよ」

// <0495> 瑚太朗
<0495> 瑚太朗

// <0496> 「駆除しなきゃっすね」
<0496> 「駆除しなきゃっすね」

// <0497> 朱音
<0497> 朱音

// <0498> 「短絡的な発想と言えるわね」
<0498> 「短絡的な発想と言えるわね」

// <0499> 瑚太朗
<0499> 瑚太朗

// <0500> 「撲滅すればいいってもんじゃないわけですか」
<0500> 「撲滅すればいいってもんじゃないわけですか」

// <0501> 朱音
<0501> 朱音

// <0502> 「そう、自然環境は個々の要素の相互作用で成り立つもの」
<0502> 「そう、自然環境は個々の要素の相互作用で成り立つもの」

// <0503> 朱音
<0503> 朱音

// <0504> 「その一要素を、人間の視点で不快だからといって安易に取り除いてしまえば、巡り巡って予期せぬエラーが起こる」
<0504> 「その一要素を、人間の視点で不快だからといって安易に取り除いてしまえば、巡り巡って予期せぬエラーが起こる」

// <0505> 瑚太朗
<0505> 瑚太朗

// <0506> 「汚さ、不快さも含めて自然だってことですか…」
<0506> 「汚さ、不快さも含めて自然だってことですか…」

// <0507> 朱音
<0507> 朱音

// <0508> 「そうね」
<0508> 「そうね」

// <0509> 瑚太朗
<0509> 瑚太朗

// <0510> 「ええ話や…」
<0510> 「ええ話や…」

// <0511> 瑚太朗
<0511> 瑚太朗

// <0512> 「じゃ殺虫剤とかを安易に使うのは良くないんですね」
<0512> 「じゃ殺虫剤とかを安易に使うのは良くないんですね」

// <0513> 朱音
<0513> 朱音

// <0514> 「いいえ、使うわ」
<0514> 「いいえ、使うわ」

// <0515> ぶしゅぅぅぅぅぅぅっ！
<0515> ぶしゅぅぅぅぅぅぅっ！

// <0516> 朱音は防虫スプレーをふたつ取り出し、二刀流で全身に使いまくった。
<0516> 朱音は防虫スプレーをふたつ取り出し、二刀流で全身に使いまくった。

// <0517> 瑚太朗
<0517> 瑚太朗

// <0518> 「うおぉぉぉぉいっ！」
<0518> 「うおぉぉぉぉいっ！」

// <0519> 今のええ話は何だったの！？
<0519> 今のええ話は何だったの！？

// <0520> 朱音
<0520> 朱音

// <0521> 「不快害虫は駆除に限るのよ」
<0521> 「不快害虫は駆除に限るのよ」

// <0522> 瑚太朗
<0522> 瑚太朗

// <0523> 「生態系のバランスは！？」
<0523> 「生態系のバランスは！？」

// <0524> 朱音
<0524> 朱音

// <0525> 「大丈夫よ。一時的に不自然な状態になっても、そのうち系の内部で安定するから」
<0525> 「大丈夫よ。一時的に不自然な状態になっても、そのうち系の内部で安定するから」

// <0526> 朱音
<0526> 朱音

// <0527> 「それが自然というものだわ。高い弾性と抵抗性を持つ、地球というシステム。少々のことなど、何の問題にもならない。文句がおあり？」
<0527> 「それが自然というものだわ。高い弾性と抵抗性を持つ、地球というシステム。少々のことなど、何の問題にもならない。文句がおあり？」

// <0528> 瑚太朗
<0528> 瑚太朗

// <0529> 「…いや、会長が機嫌直してくれるんならいいですけど」
<0529> 「…いや、会長が機嫌直してくれるんならいいですけど」

// <0530> 朱音
<0530> 朱音

// <0531> 「ねえ天王寺」
<0531> 「ねえ天王寺」

// <0532> 朱音
<0532> 朱音

// <0533> 「おまえはこれから先、いろいろな出来事に触れ、様々な感想を抱くのでしょうね…」
<0533> 「おまえはこれから先、いろいろな出来事に触れ、様々な感想を抱くのでしょうね…」

// <0534> 瑚太朗
<0534> 瑚太朗

// <0535> 「はあ」
<0535> 「はあ」

// <0536> 朱音
<0536> 朱音

// <0537> 「その時、偏った価値観ばかりに目を向けていると、たやすく正義に感染してしまうわよ。気をつけなさい」
<0537> 「その時、偏った価値観ばかりに目を向けていると、たやすく正義に感染してしまうわよ。気をつけなさい」

// <0538> 瑚太朗
<0538> 瑚太朗

// <0539> 「どういう意味ですか」
<0539> 「どういう意味ですか」

// <0540> 朱音
<0540> 朱音

// <0541> 「害虫を駆除することが正義である反面、ひどく乱暴な、生態系に負荷をかける行為であるのと同様に…ね」
<0541> 「害虫を駆除することが正義である反面、ひどく乱暴な、生態系に負荷をかける行為であるのと同様に…ね」

// <0542> 瑚太朗
<0542> 瑚太朗

// <0543> 「一見正しいと思えたことが実は…ってヤツですか。わかってますよ」
<0543> 「一見正しいと思えたことが実は…ってヤツですか。わかってますよ」

// <0544> 朱音
<0544> 朱音

// <0545> 「そう？」
<0545> 「そう？」

// <0546> 瑚太朗
<0546> 瑚太朗

// <0547> 「効果的な偏向報道をするためには、土台に客観性が必要ですからね」
<0547> 「効果的な偏向報道をするためには、土台に客観性が必要ですからね」

// <0548> 朱音
<0548> 朱音

// <0549> 「…天の邪鬼なのね」
<0549> 「…天の邪鬼なのね」

// <0550> 朱音
<0550> 朱音

// <0551> 「でも構わないわ。私の教えを受ける者として、判断においては冷たい人間でありなさい」
<0551> 「でも構わないわ。私の教えを受ける者として、判断においては冷たい人間でありなさい」

// <0552> 朱音
<0552> 朱音

// <0553> 「どうせ最後には、人もすべて系へと還っていくのでしょうから」
<0553> 「どうせ最後には、人もすべて系へと還っていくのでしょうから」

// <0554> 瑚太朗
<0554> 瑚太朗

// <0555> 「………そりゃまた壮大な話で」
<0555> 「………そりゃまた壮大な話で」

// <0556> 瑚太朗
<0556> 瑚太朗

// <0557> 「…って、あれ？　俺って教えとか受けてましたっけ？　別に会長に弟子入りしたつもりはないんスけど…？」
<0557> 「…って、あれ？　俺って教えとか受けてましたっけ？　別に会長に弟子入りしたつもりはないんスけど…？」

// <0558> 朱音
<0558> 朱音

// <0559> 「何を言う」
<0559> 「何を言う」

// <0560> 朱音
<0560> 朱音

// <0561> 「おまえの名前は、すでにインターネットを中心に全国展開している自己啓発セミナー千里塾の会員名簿に登録されているわ」
<0561> 「おまえの名前は、すでにインターネットを中心に全国展開している自己啓発セミナー千里塾の会員名簿に登録されているわ」

// <0562> 瑚太朗
<0562> 瑚太朗

// <0563> 「勝手に！」
<0563> 「勝手に！」

// <0564> 朱音
<0564> 朱音

// <0565> 「会員番号はなんと一桁台…２番よ」
<0565> 「会員番号はなんと一桁台…２番よ」

// <0566> 瑚太朗
<0566> 瑚太朗

// <0567> 「はじめたばっかり！」
<0567> 「はじめたばっかり！」

// <0568> 朱音
<0568> 朱音

// <0569> 「３級からスタートで、そろそろ２級に昇級してもいい頃ね」
<0569> 「３級からスタートで、そろそろ２級に昇級してもいい頃ね」

// <0570> 朱音
<0570> 朱音

// <0571> 「昇級料２０００円を振り込みなさい」
<0571> 「昇級料２０００円を振り込みなさい」

// <0572> 瑚太朗
<0572> 瑚太朗

// <0573> 「昇級が有料！」
<0573> 「昇級が有料！」

// <0574> この女は、欲得の亡者なのか…？
<0574> この女は、欲得の亡者なのか…？

// <0575> 瑚太朗
<0575> 瑚太朗

// <0576> 「…機嫌直してくれたよ」
<0576> 「…機嫌直してくれたよ」

// <0577> ルチア
<0577> ルチア

// <0578> 「お手柄だ」
<0578> 「お手柄だ」

// <0579> 瑚太朗
<0579> 瑚太朗

// <0580> 「金取られそうだけどね」
<0580> 「金取られそうだけどね」

// <0581> ちはや
<0581> ちはや

// <0582> 「はい？」
<0582> 「はい？」

// <0583> 小鳥
<0583> 小鳥

// <0584> 「これであたしらも話しかけられるね」
<0584> 「これであたしらも話しかけられるね」

// <0585> 瑚太朗
<0585> 瑚太朗

// <0586> 「普通に話してやってよ、悪い人じゃないんだから」
<0586> 「普通に話してやってよ、悪い人じゃないんだから」

// <0587> ちはや
<0587> ちはや

// <0588> 「でもさっきから虫、すごいですね…」
<0588> 「でもさっきから虫、すごいですね…」

// <0589> 瑚太朗
<0589> 瑚太朗

// <0590> 「みんな防虫スプレーは？」
<0590> 「みんな防虫スプレーは？」

// <0591> 全員がポケットからスプレーを取り出した。
<0591> 全員がポケットからスプレーを取り出した。

// <0592> 瑚太朗
<0592> 瑚太朗

// <0593> 「用意いいのね」
<0593> 「用意いいのね」

// <0594> 小鳥
<0594> 小鳥

// <0595> 「瑚太朗君は？」
<0595> 「瑚太朗君は？」

// <0596> 瑚太朗
<0596> 瑚太朗

// <0597> 「俺はいい。多少なら平気」
<0597> 「俺はいい。多少なら平気」

// <0598> 小鳥
<0598> 小鳥

// <0599> 「男の子だねぇ」
<0599> 「男の子だねぇ」

// <0600> 瑚太朗
<0600> 瑚太朗

// <0601> 「でもこれからはさらに虫が増えそうだ」
<0601> 「でもこれからはさらに虫が増えそうだ」

// <0602> ルチア
<0602> ルチア

// <0603> 「動物も増えるかも知れないな」
<0603> 「動物も増えるかも知れないな」

// <0604> 静流
<0604> 静流

// <0605> 「いのしし鍋…」
<0605> 「いのしし鍋…」

// <0606> 小鳥
<0606> 小鳥

// <0607> 「食べる気満々！」
<0607> 「食べる気満々！」

// <0608> ちはや
<0608> ちはや

// <0609> 「サバイバルですねぇ」
<0609> 「サバイバルですねぇ」

// <0610> 瑚太朗
<0610> 瑚太朗

// <0611> 「…したかねぇよ、すぐそこに街あんのに」
<0611> 「…したかねぇよ、すぐそこに街あんのに」

// <0612> ■マッピー／既読■　ID:
<0612> ■マッピー／既読■　ID:

// <0613>  (Z
<0613>  (Z

// <0614> -
<0614> -

// <0615> ■マッピー／コンプリート■
<0615> ■マッピー／コンプリート■

// <0616> 瑚太朗
<0616> 瑚太朗

// <0617> 「お、綺麗な花が咲いてるぞ」
<0617> 「お、綺麗な花が咲いてるぞ」

// <0618> 小鳥
<0618> 小鳥

// <0619> 「ヤマツツジだね。この辺は日当たりもいいから」
<0619> 「ヤマツツジだね。この辺は日当たりもいいから」

// <0620> 静流
<0620> 静流

// <0621> 「ツツジは花の根元を吸うと甘い」
<0621> 「ツツジは花の根元を吸うと甘い」

// <0622> 瑚太朗
<0622> 瑚太朗

// <0623> 「またサバイバルな…」
<0623> 「またサバイバルな…」

// <0624> 
<0624> 

// <0625> ■マッピー／既読■　ID:
<0625> ■マッピー／既読■　ID:

// <0626>  (Z
<0626>  (Z

// <0627> -
<0627> -

// <0628> ■マッピー／コンプリート■
<0628> ■マッピー／コンプリート■

// <0629> 瑚太朗
<0629> 瑚太朗

// <0630> 「高い木だ…何年くらい経ってるんだろ、これ」
<0630> 「高い木だ…何年くらい経ってるんだろ、これ」

// <0631> 瑚太朗
<0631> 瑚太朗

// <0632> 「よし、早速ちはやチェーンソーで年輪を調べてみてくれ」
<0632> 「よし、早速ちはやチェーンソーで年輪を調べてみてくれ」

// <0633> ちはや
<0633> ちはや

// <0634> 「いや無いですけどそんなの」
<0634> 「いや無いですけどそんなの」

// <0635> 
<0635> 

// <0636> ■マッピー／既読■　ID:
<0636> ■マッピー／既読■　ID:

// <0637>  (Z
<0637>  (Z

// <0638> -
<0638> -

// <0639> ■マッピー／コンプリート■
<0639> ■マッピー／コンプリート■

// <0640> 瑚太朗
<0640> 瑚太朗

// <0641> 「枯れ木だ…」
<0641> 「枯れ木だ…」

// <0642> 瑚太朗
<0642> 瑚太朗

// <0643> 「緑の中にもこういう一面があるんだな」
<0643> 「緑の中にもこういう一面があるんだな」

// <0644> 
<0644> 

// <0645> ■マッピー／既読■　ID:
<0645> ■マッピー／既読■　ID:

// <0646>  (Z
<0646>  (Z

// <0647> -
<0647> -

// <0648> ■マッピー／コンプリート■
<0648> ■マッピー／コンプリート■

// <0649> 瑚太朗
<0649> 瑚太朗

// <0650> 「倒れた巨木を覆うように短い草が生えている」
<0650> 「倒れた巨木を覆うように短い草が生えている」

// <0651> 瑚太朗
<0651> 瑚太朗

// <0652> 「生命を象徴するような光景だ…」
<0652> 「生命を象徴するような光景だ…」

// <0653> 
<0653> 

// <0654> ■マッピー／既読■　ID:
<0654> ■マッピー／既読■　ID:

// <0655>  (Z
<0655>  (Z

// <0656> -
<0656> -

// <0657> ■マッピー／コンプリート■
<0657> ■マッピー／コンプリート■

// <0658> 瑚太朗
<0658> 瑚太朗

// <0659> 「きのこが生えている」
<0659> 「きのこが生えている」

// <0660> 瑚太朗
<0660> 瑚太朗

// <0661> 「食えるんかな…」
<0661> 「食えるんかな…」

// <0662> 小鳥
<0662> 小鳥

// <0663> 「手は出さないほうがいいと思うよ」
<0663> 「手は出さないほうがいいと思うよ」

// <0664> 
<0664> 

// <0665> 瑚太朗
<0665> 瑚太朗

// <0666> 「ちはや、きのこが生えてるぞ」
<0666> 「ちはや、きのこが生えてるぞ」

// <0667> ちはや
<0667> ちはや

// <0668> 「何で私にまず話振るんです…」
<0668> 「何で私にまず話振るんです…」

// <0669> ちはや
<0669> ちはや

// <0670> 「でも採れたては美味しそうですねえ」
<0670> 「でも採れたては美味しそうですねえ」

// <0671> 朱音
<0671> 朱音

// <0672> 「……死ぬわよ」
<0672> 「……死ぬわよ」

// <0673> 
<0673> 

// <0674> ちゃんちゃらりんらちゃん♪
<0674> ちゃんちゃらりんらちゃん♪

// <0675> ちはや
<0675> ちはや

// <0676> 「あ、咲夜からです」
<0676> 「あ、咲夜からです」

// <0677> 瑚太朗
<0677> 瑚太朗

// <0678> 「ん」
<0678> 「ん」

// <0679> ちはや
<0679> ちはや

// <0680> 「……そのきのこは食べられないそうです」
<0680> 「……そのきのこは食べられないそうです」

// <0681> 瑚太朗
<0681> 瑚太朗

// <0682> 「待て、どうやって鑑定したんだ！？　映像は！？」
<0682> 「待て、どうやって鑑定したんだ！？　映像は！？」

// <0683> 
<0683> 

// <0684> ■マッピー／既読■　ID:
<0684> ■マッピー／既読■　ID:

// <0685>  (Z
<0685>  (Z

// <0686> -
<0686> -

// <0687> ■マッピー／コンプリート■
<0687> ■マッピー／コンプリート■

// <0688> 瑚太朗
<0688> 瑚太朗

// <0689> 「お…木の実の生っている木があるぞ」
<0689> 「お…木の実の生っている木があるぞ」

// <0690> 瑚太朗
<0690> 瑚太朗

// <0691> 「でも生っている場所が高過ぎて届きそうにない」
<0691> 「でも生っている場所が高過ぎて届きそうにない」

// <0692> 
<0692> 

// <0693> 瑚太朗
<0693> 瑚太朗

// <0694> 「ちはや！　木の実が生ってるぞ！」
<0694> 「ちはや！　木の実が生ってるぞ！」

// <0695> ちはや
<0695> ちはや

// <0696> 「あ、本当ですねえ」
<0696> 「あ、本当ですねえ」

// <0697> 瑚太朗
<0697> 瑚太朗

// <0698> 「木の実が生ってるんだ！」
<0698> 「木の実が生ってるんだ！」

// <0699> ちはや
<0699> ちはや

// <0700> 「いや見たらわかりますって」
<0700> 「いや見たらわかりますって」

// <0701> 瑚太朗
<0701> 瑚太朗

// <0702> 「木の実が生っているんだってば！」
<0702> 「木の実が生っているんだってば！」

// <0703> ちはや
<0703> ちはや

// <0704> 「だからなんなんですかっ！」
<0704> 「だからなんなんですかっ！」

// <0705> 
<0705> 

// <0706> 瑚太朗
<0706> 瑚太朗

// <0707> 「おまえも食いしん坊キャラなら、木をへし折ってうまうま食べるくらいのことはやってみせてくれよ」
<0707> 「おまえも食いしん坊キャラなら、木をへし折ってうまうま食べるくらいのことはやってみせてくれよ」

// <0708> ちはや
<0708> ちはや

// <0709> 「そんなことしませんし…」
<0709> 「そんなことしませんし…」

// <0710> 静流
<0710> 静流

// <0711> 「………」
<0711> 「………」

// <0712> 瑚太朗
<0712> 瑚太朗

// <0713> 「こら、登るな！　危ないぞ！」
<0713> 「こら、登るな！　危ないぞ！」

// <0714> 静流
<0714> 静流

// <0715> 「むう」
<0715> 「むう」

// <0716> 朱音
<0716> 朱音

// <0717> 「……そもそもこれ、食べられるものなのかしら？」
<0717> 「……そもそもこれ、食べられるものなのかしら？」

// <0718> 
<0718> 

// <0719> ルチア
<0719> ルチア

// <0720> 「ほら、取ってやったぞ」
<0720> 「ほら、取ってやったぞ」

// <0721> 瑚太朗
<0721> 瑚太朗

// <0722> 「待て、委員長どうやって取ったん！？」
<0722> 「待て、委員長どうやって取ったん！？」

// <0723> ルチア
<0723> ルチア

// <0724> 「長い枝があったから、それを使ったんだ」
<0724> 「長い枝があったから、それを使ったんだ」

// <0725> 瑚太朗
<0725> 瑚太朗

// <0726> 「器用なもんだな…」
<0726> 「器用なもんだな…」

// <0727> 静流
<0727> 静流

// <0728> 「………（しゃくしゃく）」
<0728> 「………（しゃくしゃく）」

// <0729> 朱音
<0729> 朱音

// <0730> 「……死ぬわよ、そのうち……」
<0730> 「……死ぬわよ、そのうち……」

// <0731> 
<0731> 

// <0732> ■マッピー／既読■　ID:
<0732> ■マッピー／既読■　ID:

// <0733>  (Z
<0733>  (Z

// <0734> -
<0734> -

// <0735> ■マッピー／コンプリート■
<0735> ■マッピー／コンプリート■

// <0736> 瑚太朗
<0736> 瑚太朗

// <0737> 「ビーヘーがグロトーを巻いている」
<0737> 「ビーヘーがグロトーを巻いている」

// <0738> 瑚太朗
<0738> 瑚太朗

// <0739> 「ダッシュで逃げるぞ」
<0739> 「ダッシュで逃げるぞ」

// <0740> 
<0740> 

// <0741> 小鳥
<0741> 小鳥

// <0742> 「落ち着きな」
<0742> 「落ち着きな」

// <0743> 瑚太朗
<0743> 瑚太朗

// <0744> 「ん？」
<0744> 「ん？」

// <0745> 瑚太朗
<0745> 瑚太朗

// <0746> 「ビーヘーと思ったら、コケで変色したロープだった…」
<0746> 「ビーヘーと思ったら、コケで変色したロープだった…」

// <0747> 
<0747> 

// <0748> 瑚太朗
<0748> 瑚太朗

// <0749> 「こんなところにロープがあることが、そもそもミステリーというかホラーですよね」
<0749> 「こんなところにロープがあることが、そもそもミステリーというかホラーですよね」

// <0750> 
<0750> 

// <0751> ■マッピー／既読■　ID:
<0751> ■マッピー／既読■　ID:

// <0752>  (Z
<0752>  (Z

// <0753> -
<0753> -

// <0754> ■マッピー／コンプリート■
<0754> ■マッピー／コンプリート■

// <0755> 静流
<0755> 静流

// <0756> 「変な虫を見つけた」
<0756> 「変な虫を見つけた」

// <0757> 瑚太朗
<0757> 瑚太朗

// <0758> 「静流さん……無敵だな」
<0758> 「静流さん……無敵だな」

// <0759> 静流
<0759> 静流

// <0760> 「？」
<0760> 「？」

// <0761> 瑚太朗
<0761> 瑚太朗

// <0762> 「まあいいや。どれどれ」
<0762> 「まあいいや。どれどれ」

// <0763> 瑚太朗
<0763> 瑚太朗

// <0764> 「………」
<0764> 「………」

// <0765> 瑚太朗
<0765> 瑚太朗

// <0766> 「角が二本あるカブトムシ！？」
<0766> 「角が二本あるカブトムシ！？」

// <0767> 瑚太朗
<0767> 瑚太朗

// <0768> 「これ大発見じゃないか！」
<0768> 「これ大発見じゃないか！」

// <0769> 静流
<0769> 静流

// <0770> 「そうなのか？」
<0770> 「そうなのか？」

// <0771> ルチア
<0771> ルチア

// <0772> 「…よく見ろ。枝が固まってくっついているだけだぞ」
<0772> 「…よく見ろ。枝が固まってくっついているだけだぞ」

// <0773> ルチア
<0773> ルチア

// <0774> 「樹液が変に垂れて張り付いてしまったんだな」
<0774> 「樹液が変に垂れて張り付いてしまったんだな」

// <0775> 瑚太朗
<0775> 瑚太朗

// <0776> 「げぇ…」
<0776> 「げぇ…」

// <0777> 瑚太朗
<0777> 瑚太朗

// <0778> 「でも一見すると新種に見えるから、写真撮っておこう」
<0778> 「でも一見すると新種に見えるから、写真撮っておこう」

// <0779> 
<0779> 

// <0780> 瑚太朗
<0780> 瑚太朗

// <0781> 「さて、この写真…」
<0781> 「さて、この写真…」

// <0782> 
<0782> 

// <0783> 井上に送る
<0783> 井上に送る

// <0784> 送らない
<0784> 送らない

// <0785> 井上
<0785> 井上

