// <0000> ＭＴＧに参加している時のことだった。
<0000> ＭＴＧに参加している時のことだった。
<1797> 狩猟本能を見せつける

// <1798> 洲崎を擁護する
<1798> 洲崎を擁護する

// <1799> やっぱりＣＢＣ
<1799> やっぱりＣＢＣ

// <1800> こう対応してみせるしかない…
<1800> こう対応してみせるしかない…

// <1801> 相手は守旧派の象徴。もし忠誠を求められたら…
<1801> 相手は守旧派の象徴。もし忠誠を求められたら…

// <1802> 加島派になる
<1802> 加島派になる

// <1803> 洲崎派でいる
<1803> 洲崎派でいる

// <1804> 加島派になるフリをする
<1804> 加島派になるフリをする

// <1805> おなじみＣＢＣ
<1805> おなじみＣＢＣ

// <1806> いざとなったら、そういう態度も取るつもりだ。
<1806> いざとなったら、そういう態度も取るつもりだ。

// <1807> あと注意することとして…
<1807> あと注意することとして…

// <1808> 鍵について話す
<1808> 鍵について話す

// <1809> 鍵については触れない
<1809> 鍵については触れない

// <1810> 近接話術ＣＢＣ
<1810> 近接話術ＣＢＣ

// <1811> これはこういうことで行くべきだ。
<1811> これはこういうことで行くべきだ。

// <1812> もし言葉に詰まってしまった場合は…
<1812> もし言葉に詰まってしまった場合は…

// <1813> 無理にでも喋る
<1813> 無理にでも喋る

// <1814> 錯乱してみせる
<1814> 錯乱してみせる

// <1815> 笑う
<1815> 笑う

// <1816> 黙ったままでいる
<1816> 黙ったままでいる

// <1817> 人生全てがＣＢＣ
<1817> 人生全てがＣＢＣ

// <1818> …そうやって冷静さを取り戻してみよう。
<1818> …そうやって冷静さを取り戻してみよう。

// <1819> 瑚太朗＿必要
<1819> 瑚太朗＿必要

// <1820> （こんなところか…）
<1820> （こんなところか…）

// <1821> 内ポケットに手を入れ、機器を動作させる。
<1821> 内ポケットに手を入れ、機器を動作させる。

// <1822> …これでいい。
<1822> …これでいい。

// <1823> そして俺は、加島桜のために用意された控え室の扉をノックした。
<1823> そして俺は、加島桜のために用意された控え室の扉をノックした。

// <1824> 桜
<1824> 桜

// <1825> 「お入りなさい」
<1825> 「お入りなさい」

// <1826> 一礼して入室する。
<1826> 一礼して入室する。

// <1827> 加島桜の力を込めた視線が、俺を遠慮なく貫いた。
<1827> 加島桜の力を込めた視線が、俺を遠慮なく貫いた。

// <1828> 桜
<1828> 桜

// <1829> 「…どこかで会ったかしらね？」
<1829> 「…どこかで会ったかしらね？」

// <1830> いきなりの質問に、ぎくりと身が固まる。
<1830> いきなりの質問に、ぎくりと身が固まる。

// <1831> 瑚太朗＿必要
<1831> 瑚太朗＿必要

// <1832> （…鋭い婆さんだ）
<1832> （…鋭い婆さんだ）

// <1833> 対話を想定しておいて良かった。
<1833> 対話を想定しておいて良かった。

// <1834> 緊張の時間がはじまる――
<1834> 緊張の時間がはじまる――

// <1835> そして、話し合いが終わった。
<1835> そして、話し合いが終わった。

// <1836> 桜
<1836> 桜

// <1837> 「…そう、そういう考えなのね、おまえは」
<1837> 「…そう、そういう考えなのね、おまえは」

// <1838> 瑚太朗＿必要
<1838> 瑚太朗＿必要

// <1839> 「はい」
<1839> 「はい」

// <1840> 加島桜は目を閉じ、瞑想するように考えをまとめた。
<1840> 加島桜は目を閉じ、瞑想するように考えをまとめた。

// <1841> 桜
<1841> 桜

// <1842> 「よくわかったわ」
<1842> 「よくわかったわ」

// <1843> 桜
<1843> 桜

// <1844> 「確かにおまえは、洲崎のもとで働くのが良いでしょうね」
<1844> 「確かにおまえは、洲崎のもとで働くのが良いでしょうね」

// <1845> 瑚太朗＿必要
<1845> 瑚太朗＿必要

// <1846> 「…すみません」
<1846> 「…すみません」

// <1847> 桜
<1847> 桜

// <1848> 「いいのよ。これでも洲崎の功績は認めていてよ」
<1848> 「いいのよ。これでも洲崎の功績は認めていてよ」

// <1849> 桜
<1849> 桜

// <1850> 「あれが私の付き人を退いてから、資金で困ったことがないのが良い証拠ね」
<1850> 「あれが私の付き人を退いてから、資金で困ったことがないのが良い証拠ね」

// <1851> 桜
<1851> 桜

// <1852> 「昔からの支持者の中には、洲崎たちを嫌う者がいるのも事実だけれど…」
<1852> 「昔からの支持者の中には、洲崎たちを嫌う者がいるのも事実だけれど…」

// <1853> 桜
<1853> 桜

// <1854> 「おまえはそれなりに世俗的なようだけど、まがりなりにも魔物を扱えるのだからわかるでしょう？」
<1854> 「おまえはそれなりに世俗的なようだけど、まがりなりにも魔物を扱えるのだからわかるでしょう？」

// <1855> 桜
<1855> 桜

// <1856> 「このまま静かに消えていけるなら、それで本望なのよ」
<1856> 「このまま静かに消えていけるなら、それで本望なのよ」

// <1857> 加島桜は長々と、何も語らなかった。
<1857> 加島桜は長々と、何も語らなかった。

// <1858> 本音など何一つ口にしなかった。
<1858> 本音など何一つ口にしなかった。

// <1859> 並べられたのは、薄っぺらい綺麗事だけだ。
<1859> 並べられたのは、薄っぺらい綺麗事だけだ。

// <1860> 瑚太朗＿必要
<1860> 瑚太朗＿必要

// <1861> （…対立は、根深く決定的だ）
<1861> （…対立は、根深く決定的だ）

// <1862> この老人から情報を引き出すことは不可能だ。
<1862> この老人から情報を引き出すことは不可能だ。

// <1863> 取り入ろうとすればかえって見透かされる。
<1863> 取り入ろうとすればかえって見透かされる。

// <1864> 危険だった。触れるべきではない。
<1864> 危険だった。触れるべきではない。

// <1865> やはり洲崎派に与することで正解だ。連中はまだ、わかりやすい。
<1865> やはり洲崎派に与することで正解だ。連中はまだ、わかりやすい。

// <1866> 加島桜のことを、俺はとうてい理解できそうにない。
<1866> 加島桜のことを、俺はとうてい理解できそうにない。

// <1867> 桜
<1867> 桜

// <1868> 「そうそう、これはアドバイス」
<1868> 「そうそう、これはアドバイス」

// <1869> 挨拶して退出しようとする俺、加島は呼び止めた。
<1869> 挨拶して退出しようとする俺、加島は呼び止めた。

// <1870> 桜
<1870> 桜

// <1871> 「もし洲崎側として出世を所望なら、鍵に近づくことよ」
<1871> 「もし洲崎側として出世を所望なら、鍵に近づくことよ」

// <1872> 瑚太朗＿必要
<1872> 瑚太朗＿必要

// <1873> 「…鍵？」
<1873> 「…鍵？」

// <1874> 桜
<1874> 桜

// <1875> 「彼らが、密かに追い求めているもの」
<1875> 「彼らが、密かに追い求めているもの」

// <1876> 桜
<1876> 桜

// <1877> 「…たとえ人を殺めてでも」
<1877> 「…たとえ人を殺めてでも」

// <1878> 瑚太朗＿必要
<1878> 瑚太朗＿必要

// <1879> 「…そういう流れだ」
<1879> 「…そういう流れだ」

// <1880> 篝
<1880> 篝

// <1881> 「そうですか」
<1881> 「そうですか」

// <1882> 篝の対応は冷たい。
<1882> 篝の対応は冷たい。

// <1883> 瑚太朗＿必要
<1883> 瑚太朗＿必要

// <1884> 「文句があるなら聞くぞ？」
<1884> 「文句があるなら聞くぞ？」

// <1885> 篝
<1885> 篝

// <1886> 「ありますが、言ってもあなたは聞き入れないでしょう」
<1886> 「ありますが、言ってもあなたは聞き入れないでしょう」

// <1887> 瑚太朗＿必要
<1887> 瑚太朗＿必要

// <1888> 「無理難題じゃなけりゃ聞くさ」
<1888> 「無理難題じゃなけりゃ聞くさ」

// <1889> 篝
<1889> 篝

// <1890> 「話にならないです」
<1890> 「話にならないです」

// <1891> 瑚太朗＿必要
<1891> 瑚太朗＿必要

// <1892> 「あまり拗ねないでくれ」
<1892> 「あまり拗ねないでくれ」

// <1893> 瑚太朗＿必要
<1893> 瑚太朗＿必要

// <1894> 「ちゃんと動いてるよ。派手じゃないけどな」
<1894> 「ちゃんと動いてるよ。派手じゃないけどな」

// <1895> 瑚太朗＿必要
<1895> 瑚太朗＿必要

// <1896> 「慣れない作文ばかりで、いやになりそうだけどな」
<1896> 「慣れない作文ばかりで、いやになりそうだけどな」

// <1897> 篝
<1897> 篝

// <1898> 「今はもう、その言葉を信じる他ありませんね」
<1898> 「今はもう、その言葉を信じる他ありませんね」

// <1899> 瑚太朗＿必要
<1899> 瑚太朗＿必要

// <1900> 「…あれ、小鳥か」
<1900> 「…あれ、小鳥か」

// <1901> 小鳥は巨大な葉にくるまれて眠っている。
<1901> 小鳥は巨大な葉にくるまれて眠っている。

// <1902> 髪の毛だけが垂れて外にこぼれていて、それでわかった。
<1902> 髪の毛だけが垂れて外にこぼれていて、それでわかった。

// <1903> 瑚太朗＿必要
<1903> 瑚太朗＿必要

// <1904> 「食虫植物に食われたみたいだな、あれ」
<1904> 「食虫植物に食われたみたいだな、あれ」

// <1905> 篝
<1905> 篝

// <1906> 「コトリは良い働きをしています」
<1906> 「コトリは良い働きをしています」

// <1907> 瑚太朗＿必要
<1907> 瑚太朗＿必要

// <1908> 「…夜中なんだけどな」
<1908> 「…夜中なんだけどな」

// <1909> あれ以来、小鳥は俺と論議をしようとしない。
<1909> あれ以来、小鳥は俺と論議をしようとしない。

// <1910> 自宅にはたまに戻っているようだが、いる時は真夜中でもいた。
<1910> 自宅にはたまに戻っているようだが、いる時は真夜中でもいた。

// <1911> 瑚太朗＿必要
<1911> 瑚太朗＿必要

// <1912> 「これ、魔物か」
<1912> 「これ、魔物か」

// <1913> 小鳥の作業場みたいな場所があって、そこに作りかけの魔物が横たわっていた。
<1913> 小鳥の作業場みたいな場所があって、そこに作りかけの魔物が横たわっていた。

// <1914> 木を削りだして再現された骨格は、中型犬ほどの動物を模している。
<1914> 木を削りだして再現された骨格は、中型犬ほどの動物を模している。

// <1915> 横には園芸用の土や、カニの甲羅などが大量に。カニ？
<1915> 横には園芸用の土や、カニの甲羅などが大量に。カニ？

// <1916> 魔物の素材に使用するんだろう。
<1916> 魔物の素材に使用するんだろう。

// <1917> 古代の知恵を植え付けられた小鳥は、俺よりよほどこの道に精通している。
<1917> 古代の知恵を植え付けられた小鳥は、俺よりよほどこの道に精通している。

// <1918> 瑚太朗＿必要
<1918> 瑚太朗＿必要

// <1919> 「このタイプははじめて見るな」
<1919> 「このタイプははじめて見るな」

// <1920> 篝
<1920> 篝

// <1921> 「強力なしもべだそうです」
<1921> 「強力なしもべだそうです」

// <1922> 篝
<1922> 篝

// <1923> 「これが完成した暁には、地球を支配します」
<1923> 「これが完成した暁には、地球を支配します」

// <1924> 瑚太朗＿必要
<1924> 瑚太朗＿必要

// <1925> 「…だんだん頭悪くなってないか、あんた？」
<1925> 「…だんだん頭悪くなってないか、あんた？」

// <1926> 篝
<1926> 篝

// <1927> 「…そのようなことはありません」
<1927> 「…そのようなことはありません」

// <1928> 篝
<1928> 篝

// <1929> 「最近は人の集落から離れているため、学習が停止しているということはあります」
<1929> 「最近は人の集落から離れているため、学習が停止しているということはあります」

// <1930> 瑚太朗＿必要
<1930> 瑚太朗＿必要

// <1931> 「どんな強い魔物でも、一匹じゃどうにもなんない」
<1931> 「どんな強い魔物でも、一匹じゃどうにもなんない」

// <1932> 瑚太朗＿必要
<1932> 瑚太朗＿必要

// <1933> 「どんな強い超人でも、戦車は破壊できないようにな」
<1933> 「どんな強い超人でも、戦車は破壊できないようにな」

// <1934> 篝
<1934> 篝

// <1935> 「戦車。ホモ・サピエンスの作る兵器ですね」
<1935> 「戦車。ホモ・サピエンスの作る兵器ですね」

// <1936> 瑚太朗＿必要
<1936> 瑚太朗＿必要

// <1937> 「個人の体の強さなんてたかが知れてる。大事なのは、勝てる状況を作る力だ」
<1937> 「個人の体の強さなんてたかが知れてる。大事なのは、勝てる状況を作る力だ」

// <1938> 瑚太朗＿必要
<1938> 瑚太朗＿必要

// <1939> 「これは目には見えにくい。あんた同様のものさ」
<1939> 「これは目には見えにくい。あんた同様のものさ」

// <1940> 篝
<1940> 篝

// <1941> 「篝に良い考えがあります」
<1941> 「篝に良い考えがあります」

// <1942> 篝
<1942> 篝

// <1943> 「超人より戦車が圧倒的に強いというなら、それを入手すべきでは？」
<1943> 「超人より戦車が圧倒的に強いというなら、それを入手すべきでは？」

// <1944> 瑚太朗＿必要
<1944> 瑚太朗＿必要

// <1945> 「…」
<1945> 「…」

// <1946> いつものこととはいえ…
<1946> いつものこととはいえ…

// <1947> 篝
<1947> 篝

// <1948> 「戦車を用いて、地球を支配するのです」
<1948> 「戦車を用いて、地球を支配するのです」

// <1949> 瑚太朗＿必要
<1949> 瑚太朗＿必要

// <1950> 「この国では、戦車の個人所有は法律で認められてはおりません」
<1950> 「この国では、戦車の個人所有は法律で認められてはおりません」

// <1951> 篝
<1951> 篝

// <1952> 「では法律を変える作戦ではどうでしょう？」
<1952> 「では法律を変える作戦ではどうでしょう？」

// <1953> 篝
<1953> 篝

// <1954> 「これはかなりの盲点では？　愚民には及びもつかない絡め手と言えましょう」
<1954> 「これはかなりの盲点では？　愚民には及びもつかない絡め手と言えましょう」

// <1955> 瑚太朗＿必要
<1955> 瑚太朗＿必要

// <1956> 「篝…」
<1956> 「篝…」

// <1957> 篝
<1957> 篝

// <1958> 「なぜ頭を撫でるのです」
<1958> 「なぜ頭を撫でるのです」

// <1959> 瑚太朗＿必要
<1959> 瑚太朗＿必要

// <1960> 「同情だ。あまりに思考が可哀想な人みたいだったからな」
<1960> 「同情だ。あまりに思考が可哀想な人みたいだったからな」

// <1961> 篝
<1961> 篝

// <1962> 「侮辱はやめなさい」
<1962> 「侮辱はやめなさい」

// <1963> リボンにぱしっと手を払われた。
<1963> リボンにぱしっと手を払われた。

// <1964> 瑚太朗＿必要
<1964> 瑚太朗＿必要

// <1965> 「まあ、いざって時に使える戦闘用魔物があるのはいいとしても…」
<1965> 「まあ、いざって時に使える戦闘用魔物があるのはいいとしても…」

// <1966> そんな状況は、ほとんど詰みだろう。
<1966> そんな状況は、ほとんど詰みだろう。

// <1967> 篝を見つめる。
<1967> 篝を見つめる。

// <1968> こいつのために、命だって賭けてもいい…と思った。
<1968> こいつのために、命だって賭けてもいい…と思った。

// <1969> たまに疑問に思う。
<1969> たまに疑問に思う。

// <1970> いろんな人を裏切ってまで、やることだろうかと。
<1970> いろんな人を裏切ってまで、やることだろうかと。

// <1971> 瑚太朗＿必要
<1971> 瑚太朗＿必要

// <1972> 「…なあ篝」
<1972> 「…なあ篝」

// <1973> 篝
<1973> 篝

// <1974> 「なんです？」
<1974> 「なんです？」

// <1975> 瑚太朗＿必要
<1975> 瑚太朗＿必要

// <1976> 「俺は、尊い仕事がしたい」
<1976> 「俺は、尊い仕事がしたい」

// <1977> 瑚太朗＿必要
<1977> 瑚太朗＿必要

// <1978> 「誰かがやらねばならないことがしたい」
<1978> 「誰かがやらねばならないことがしたい」

// <1979> 瑚太朗＿必要
<1979> 瑚太朗＿必要

// <1980> 「それがせめてもの、俺に与えられる褒美なんだ」
<1980> 「それがせめてもの、俺に与えられる褒美なんだ」

// <1981> 篝
<1981> 篝

// <1982> 「褒美はすでに約束したはずです」
<1982> 「褒美はすでに約束したはずです」

// <1983> 瑚太朗＿必要
<1983> 瑚太朗＿必要

// <1984> 「…いや、ああいうのじゃなくてさあ」
<1984> 「…いや、ああいうのじゃなくてさあ」

// <1985> 瑚太朗＿必要
<1985> 瑚太朗＿必要

// <1986> 「なんつうのかな、俺をうまく乗せてくれるくらいの…」
<1986> 「なんつうのかな、俺をうまく乗せてくれるくらいの…」

// <1987> 背後で草の音がした。
<1987> 背後で草の音がした。

// <1988> 聞き間違いでも小動物でもない。
<1988> 聞き間違いでも小動物でもない。

// <1989> 人間、それも素人が立てる物音だ。
<1989> 人間、それも素人が立てる物音だ。

// <1990> 動物はあんな騒音の出し方はしない。
<1990> 動物はあんな騒音の出し方はしない。

// <1991> 篝を幹の裏に押しやる。
<1991> 篝を幹の裏に押しやる。

// <1992> 同時に右手首のスリットの癒着をほどき、いつでも能力を放てるようにした。
<1992> 同時に右手首のスリットの癒着をほどき、いつでも能力を放てるようにした。

// <1993> …射撃はない。脅威も感じない。
<1993> …射撃はない。脅威も感じない。

// <1994> ゆっくりと茂みに近づいていく。
<1994> ゆっくりと茂みに近づいていく。

// <1995> 何者かが緑の奥で震えている。
<1995> 何者かが緑の奥で震えている。

// <1996> そいつを掴んで引っ張り上げた。
<1996> そいつを掴んで引っ張り上げた。

// <1997> 朱音
<1997> 朱音

// <1998> 「やぁ…」
<1998> 「やぁ…」

// <1999> 瑚太朗＿必要
<1999> 瑚太朗＿必要

// <2000> 「おまえ…」
<2000> 「おまえ…」

// <2001> 篝
<2001> 篝

// <2002> 「それは何です？」
<2002> 「それは何です？」

// <2003> 手を離すと、朱音は亀みたいにうずくまった。
<2003> 手を離すと、朱音は亀みたいにうずくまった。

// <2004> 瑚太朗＿必要
<2004> 瑚太朗＿必要

// <2005> 「…迷子だ。俺のあとをついてきたのかもしれんが」
<2005> 「…迷子だ。俺のあとをついてきたのかもしれんが」

// <2006> 朱音
<2006> 朱音

// <2007> 「うぅ…う…」
<2007> 「うぅ…う…」

// <2008> 朱音は篝を見上げて、再び目をそむけた。
<2008> 朱音は篝を見上げて、再び目をそむけた。

// <2009> 篝
<2009> 篝

// <2010> 「その個体、篝を認識しているようです」
<2010> 「その個体、篝を認識しているようです」

// <2011> 瑚太朗＿必要
<2011> 瑚太朗＿必要

// <2012> 「…本当か？」
<2012> 「…本当か？」

// <2013> 篝
<2013> 篝

// <2014> 「はい。そう感じます」
<2014> 「はい。そう感じます」

// <2015> 瑚太朗＿必要
<2015> 瑚太朗＿必要

// <2016> 「おい、おまえ篝が見えるのか？」
<2016> 「おい、おまえ篝が見えるのか？」

// <2017> 朱音は怯えるばかりで、俺の言葉に応じようとしない。
<2017> 朱音は怯えるばかりで、俺の言葉に応じようとしない。

// <2018> そうだ…こいつは、こういう感じだった。
<2018> そうだ…こいつは、こういう感じだった。

// <2019> だいぶ育ったようだが、難しい状況は続いているようだ。
<2019> だいぶ育ったようだが、難しい状況は続いているようだ。

// <2020> 篝
<2020> 篝

// <2021> 「危険ですね」
<2021> 「危険ですね」

// <2022> 瑚太朗＿必要
<2022> 瑚太朗＿必要

// <2023> 「…何がだ？」
<2023> 「…何がだ？」

// <2024> 篝
<2024> 篝

// <2025> 「顔を見られました」
<2025> 「顔を見られました」

// <2026> 篝
<2026> 篝

// <2027> 「そういうことに注意しなければならないんでしたね？」
<2027> 「そういうことに注意しなければならないんでしたね？」

// <2028> 瑚太朗＿必要
<2028> 瑚太朗＿必要

// <2029> 「言ったが…待て、こいつは子供だ」
<2029> 「言ったが…待て、こいつは子供だ」

// <2030> 瑚太朗＿必要
<2030> 瑚太朗＿必要

// <2031> 「それに見ての通り、いろいろと難しいものを抱えていて…」
<2031> 「それに見ての通り、いろいろと難しいものを抱えていて…」

// <2032> 篝
<2032> 篝

// <2033> 「密告しないとは限らないはず」
<2033> 「密告しないとは限らないはず」

// <2034> 否定しかけたが、朱音から何らかの形で、井子さんに話が繋がる可能性は０ではない。
<2034> 否定しかけたが、朱音から何らかの形で、井子さんに話が繋がる可能性は０ではない。

// <2035> 瑚太朗＿必要
<2035> 瑚太朗＿必要

// <2036> 「…そうかもな」
<2036> 「…そうかもな」

// <2037> 篝
<2037> 篝

// <2038> 「では殺しましょう」
<2038> 「では殺しましょう」

// <2039> とんでもないことを言った。
<2039> とんでもないことを言った。

// <2040> リボンがひとひら、鋭く舞った。
<2040> リボンがひとひら、鋭く舞った。

// <2041> 瑚太朗＿必要
<2041> 瑚太朗＿必要

// <2042> 「バカ待…ッ！」
<2042> 「バカ待…ッ！」

// <2043> 朱音に向かって飛んだ一振りを、直前で腕で止めた。
<2043> 朱音に向かって飛んだ一振りを、直前で腕で止めた。

// <2044> リボンが数センチも食い込む。熱さに似た激痛。
<2044> リボンが数センチも食い込む。熱さに似た激痛。

// <2045> 腕に流れる血管に抵抗力を張り巡らせ、切断だけは免れた。
<2045> 腕に流れる血管に抵抗力を張り巡らせ、切断だけは免れた。

// <2046> 瑚太朗＿必要
<2046> 瑚太朗＿必要

// <2047> 「…っ」
<2047> 「…っ」

// <2048> 痛い…さすがに、死ぬほど痛い。
<2048> 痛い…さすがに、死ぬほど痛い。

// <2049> が、たいして親しくもないとはいえ、知り合いが目の前で刻まれるよりはマシな痛みだった。
<2049> が、たいして親しくもないとはいえ、知り合いが目の前で刻まれるよりはマシな痛みだった。

// <2050> 篝
<2050> 篝

// <2051> 「…なぜ邪魔をするのです？」
<2051> 「…なぜ邪魔をするのです？」

// <2052> 瑚太朗＿必要
<2052> 瑚太朗＿必要

// <2053> 「こいつは、顔見知りなんだ…」
<2053> 「こいつは、顔見知りなんだ…」

// <2054> 篝
<2054> 篝

// <2055> 「顔見知り…あなたは敵に通じているのですか？」
<2055> 「顔見知り…あなたは敵に通じているのですか？」

// <2056> 瑚太朗＿必要
<2056> 瑚太朗＿必要

// <2057> 「そうじゃない。こいつは無害だ。だから殺すことはない」
<2057> 「そうじゃない。こいつは無害だ。だから殺すことはない」

// <2058> 篝
<2058> 篝

// <2059> 「意味がわかりかねます」
<2059> 「意味がわかりかねます」

// <2060> 篝
<2060> 篝

// <2061> 「姿を見られました。野放しにはできません」
<2061> 「姿を見られました。野放しにはできません」

// <2062> 瑚太朗＿必要
<2062> 瑚太朗＿必要

// <2063> 「そういうところだけ、知恵をつけてんだな…」
<2063> 「そういうところだけ、知恵をつけてんだな…」

// <2064> 篝
<2064> 篝

// <2065> 「あなたの影響ですよ、ホモ・サピエンス」
<2065> 「あなたの影響ですよ、ホモ・サピエンス」

// <2066> 瑚太朗＿必要
<2066> 瑚太朗＿必要

// <2067> 「なら影響ついでにこいつを見逃してくれ。うまく対処する」
<2067> 「なら影響ついでにこいつを見逃してくれ。うまく対処する」

// <2068> 篝
<2068> 篝

// <2069> 「なりません。処分しておくべきです」
<2069> 「なりません。処分しておくべきです」

// <2070> 瑚太朗＿必要
<2070> 瑚太朗＿必要

// <2071> 「人間を処分するなんて言うな！」
<2071> 「人間を処分するなんて言うな！」

// <2072> 強引にリボンを振り払う。
<2072> 強引にリボンを振り払う。

// <2073> 傷口を体液で癒着させ、出血を防いだ。
<2073> 傷口を体液で癒着させ、出血を防いだ。

// <2074> 怪我が治るわけではないが、多少ましだ。
<2074> 怪我が治るわけではないが、多少ましだ。

// <2075> 篝
<2075> 篝

// <2076> 「個体に入れ込みすぎではありませんか」
<2076> 「個体に入れ込みすぎではありませんか」

// <2077> 瑚太朗＿必要
<2077> 瑚太朗＿必要

// <2078> 「何？」
<2078> 「何？」

// <2079> 篝
<2079> 篝

// <2080> 「あなたの判断には疑わしい部分が多すぎます」
<2080> 「あなたの判断には疑わしい部分が多すぎます」

// <2081> 篝
<2081> 篝

// <2082> 「事の重大性を考慮すれば、あなたはより攻撃的になるべきなのです」
<2082> 「事の重大性を考慮すれば、あなたはより攻撃的になるべきなのです」

// <2083> 瑚太朗＿必要
<2083> 瑚太朗＿必要

// <2084> 「…今はそのフェイズじゃないから、慎重に振る舞ってる」
<2084> 「…今はそのフェイズじゃないから、慎重に振る舞ってる」

// <2085> 瑚太朗＿必要
<2085> 瑚太朗＿必要

// <2086> 「これはプロとしての判断なんだぞ」
<2086> 「これはプロとしての判断なんだぞ」

// <2087> 篝
<2087> 篝

// <2088> 「その理屈も多少は理解していますが、排除すべき個体を擁護することには繋がらないはず」
<2088> 「その理屈も多少は理解していますが、排除すべき個体を擁護することには繋がらないはず」

// <2089> 篝
<2089> 篝

// <2090> 「よもや、この個体をかばい立てしているのではありませんね？」
<2090> 「よもや、この個体をかばい立てしているのではありませんね？」

// <2091> 瑚太朗＿必要
<2091> 瑚太朗＿必要

// <2092> 「…それは」
<2092> 「…それは」

// <2093> 篝の顔が、どこまでも無感情に透けている。
<2093> 篝の顔が、どこまでも無感情に透けている。

// <2094> ああ、人間に似てはいるが、本質において違うことがよくわかる。
<2094> ああ、人間に似てはいるが、本質において違うことがよくわかる。

// <2095> 俺はいったい、こいつのどこに惹かれたんだろうか。
<2095> 俺はいったい、こいつのどこに惹かれたんだろうか。

// <2096> 篝
<2096> 篝

// <2097> 「あなたの行動は、篝の意志に叶うものではない」
<2097> 「あなたの行動は、篝の意志に叶うものではない」

// <2098> 大量に分裂したリボンが、ざわざわと不気味な環形動物みたいにうねっている。
<2098> 大量に分裂したリボンが、ざわざわと不気味な環形動物みたいにうねっている。

// <2099> あの一本一本が、いつでも命を刻む刃となる。
<2099> あの一本一本が、いつでも命を刻む刃となる。

// <2100> 瑚太朗＿必要
<2100> 瑚太朗＿必要

// <2101> 「…なら俺ごと斬るか」
<2101> 「…なら俺ごと斬るか」

// <2102> 朱音を抱え込む。
<2102> 朱音を抱え込む。

// <2103> 瑚太朗＿必要
<2103> 瑚太朗＿必要

// <2104> 「そしたらあんたもおしまいだな。組織の連中に狩り出されてゲームセットだ」
<2104> 「そしたらあんたもおしまいだな。組織の連中に狩り出されてゲームセットだ」

// <2105> 篝
<2105> 篝

// <2106> 「コトリがそのようなことを許しません」
<2106> 「コトリがそのようなことを許しません」

// <2107> 瑚太朗＿必要
<2107> 瑚太朗＿必要

// <2108> 「…そんなに愚かなのは、人に触れた時間が短いせいなのか」
<2108> 「…そんなに愚かなのは、人に触れた時間が短いせいなのか」

// <2109> 篝
<2109> 篝

// <2110> 「…この篝が愚かと？」
<2110> 「…この篝が愚かと？」

// <2111> 瑚太朗＿必要
<2111> 瑚太朗＿必要

// <2112> 「戦力差を考えろ！　ひとりふたりがいくら特攻したって、大勢は変わんねーよ！」
<2112> 「戦力差を考えろ！　ひとりふたりがいくら特攻したって、大勢は変わんねーよ！」

// <2113> 瑚太朗＿必要
<2113> 瑚太朗＿必要

// <2114> 「本気でそんなこともわからないのか！？」
<2114> 「本気でそんなこともわからないのか！？」

// <2115> 篝
<2115> 篝

// <2116> 「…難業であることはわかっています」
<2116> 「…難業であることはわかっています」

// <2117> 篝
<2117> 篝

// <2118> 「だからこそ、手段を選ばずに邁進する必要があるはず」
<2118> 「だからこそ、手段を選ばずに邁進する必要があるはず」

// <2119> 篝
<2119> 篝

// <2120> 「しかしあなたの行動には、自ら課した多くの制限があるように思えてなりません」
<2120> 「しかしあなたの行動には、自ら課した多くの制限があるように思えてなりません」

// <2121> 瑚太朗＿必要
<2121> 瑚太朗＿必要

// <2122> 「それが人間ってもんなんだよ」
<2122> 「それが人間ってもんなんだよ」

// <2123> 篝
<2123> 篝

// <2124> 「あなたはヒトである前に篝のしもべです」
<2124> 「あなたはヒトである前に篝のしもべです」

// <2125> 笑ってしまった。
<2125> 笑ってしまった。

// <2126> 篝は人ではない。わかっている。
<2126> 篝は人ではない。わかっている。

// <2127> けど理解していた以上に、かけ離れている。
<2127> けど理解していた以上に、かけ離れている。

// <2128> 尊いはずなのに、そうは思えない。
<2128> 尊いはずなのに、そうは思えない。

// <2129> 瑚太朗＿必要
<2129> 瑚太朗＿必要

// <2130> 「…はは」
<2130> 「…はは」

// <2131> 瑚太朗＿必要
<2131> 瑚太朗＿必要

// <2132> 「あんたに、こんな人情話なんて通じないんだな」
<2132> 「あんたに、こんな人情話なんて通じないんだな」

// <2133> 瑚太朗＿必要
<2133> 瑚太朗＿必要

// <2134> 「わかってるさ…わかってた…」
<2134> 「わかってるさ…わかってた…」

// <2135> 朱音を抱えて歩き出す。
<2135> 朱音を抱えて歩き出す。

// <2136> 篝
<2136> 篝

// <2137> 「待ちなさい。その個体は…」
<2137> 「待ちなさい。その個体は…」

// <2138> 瑚太朗＿必要
