// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。
<2788> 「………」

// <2789> 咲夜
<2789> 咲夜

// <2790> 「ひとまず休戦と行きませんか。瑚太朗君をここで止めなければ、あなた方だけでなく、私達にも被害が甚大だ」
<2790> 「ひとまず休戦と行きませんか。瑚太朗君をここで止めなければ、あなた方だけでなく、私達にも被害が甚大だ」

// <2791> 西九条
<2791> 西九条

// <2792> 「誰がお前などと…！！！」
<2792> 「誰がお前などと…！！！」

// <2793> 瑚太朗
<2793> 瑚太朗

// <2794> 「があああぁぁぁーーーっ！！！」
<2794> 「があああぁぁぁーーーっ！！！」

// <2795> 瑚太朗は手にした剣を槍状に変え、西九条先生へ投げつける。
<2795> 瑚太朗は手にした剣を槍状に変え、西九条先生へ投げつける。

// <2796> 西九条
<2796> 西九条

// <2797> 「！！」
<2797> 「！！」

// <2798> 咲夜
<2798> 咲夜

// <2799> 「………」
<2799> 「………」

// <2800> 咲夜は西九条先生を抱え、瑚太朗と距離を取る。
<2800> 咲夜は西九条先生を抱え、瑚太朗と距離を取る。

// <2801> 咲夜
<2801> 咲夜

// <2802> 「…私は、瑚太朗君を人殺しにしたくないんですよ」
<2802> 「…私は、瑚太朗君を人殺しにしたくないんですよ」

// <2803> 西九条先生を下ろしながら、そうつぶやく。
<2803> 西九条先生を下ろしながら、そうつぶやく。

// <2804> 西九条
<2804> 西九条

// <2805> 「……なぜ」
<2805> 「……なぜ」

// <2806> 咲夜
<2806> 咲夜

// <2807> 「ちはやさんがそう望むからです」
<2807> 「ちはやさんがそう望むからです」

// <2808> ちはや
<2808> ちはや

// <2809> 「咲夜…」
<2809> 「咲夜…」

// <2810> 咲夜
<2810> 咲夜

// <2811> 「殺すな、といっても、そもそもそれが難しいでしょうが…」
<2811> 「殺すな、といっても、そもそもそれが難しいでしょうが…」

// <2812> 咲夜
<2812> 咲夜

// <2813> 「…あなたにサポートしていただけると助かります」
<2813> 「…あなたにサポートしていただけると助かります」

// <2814> 西九条
<2814> 西九条

// <2815> 「………」
<2815> 「………」

// <2816> 篝
<2816> 篝

// <2817> 「………」
<2817> 「………」

// <2818> 篝さんが歩み寄ってきた。
<2818> 篝さんが歩み寄ってきた。

// <2819> ちはや
<2819> ちはや

// <2820> 「危ないです。篝さんは下がっていてください」
<2820> 「危ないです。篝さんは下がっていてください」

// <2821> 篝
<2821> 篝

// <2822> 「………」
<2822> 「………」

// <2823> なんだろう？　何かを気にしている…。
<2823> なんだろう？　何かを気にしている…。

// <2824> 咲夜
<2824> 咲夜

// <2825> 「瑚太朗君、本気でやりあうのは初めてですね」
<2825> 「瑚太朗君、本気でやりあうのは初めてですね」

// <2826> 咲夜
<2826> 咲夜

// <2827> 「…眼を覚ましてあげましょう」
<2827> 「…眼を覚ましてあげましょう」

// <2828> 瑚太朗
<2828> 瑚太朗

// <2829> 「うがああああぁぁぁーーっ！！」
<2829> 「うがああああぁぁぁーーっ！！」

// <2830> 咲夜
<2830> 咲夜

// <2831> 「…もう、敵も味方も区別がつかないのですか…！！」
<2831> 「…もう、敵も味方も区別がつかないのですか…！！」

// <2832> がし、と咲夜の手が瑚太朗の頭を掴む。
<2832> がし、と咲夜の手が瑚太朗の頭を掴む。

// <2833> 咲夜
<2833> 咲夜

// <2834> 「強く行きますよ！！」
<2834> 「強く行きますよ！！」

// <2835> 瑚太朗の後頭部へ目掛け、拳を打ち下ろす。
<2835> 瑚太朗の後頭部へ目掛け、拳を打ち下ろす。

// <2836> 瑚太朗
<2836> 瑚太朗

// <2837> 「邪魔を…」
<2837> 「邪魔を…」

// <2838> 瑚太朗
<2838> 瑚太朗

// <2839> 「するなああぁぁぁーーーッ！！！」
<2839> 「するなああぁぁぁーーーッ！！！」

// <2840> オーロラの剣を二刀流に構え、咲夜へ切りつける。
<2840> オーロラの剣を二刀流に構え、咲夜へ切りつける。

// <2841> 咲夜
<2841> 咲夜

// <2842> 「くッ」
<2842> 「くッ」

// <2843> 咲夜の手が、瑚太朗の腕を掴んで十字に交差させ、それを受け止めた。
<2843> 咲夜の手が、瑚太朗の腕を掴んで十字に交差させ、それを受け止めた。

// <2844> 咲夜
<2844> 咲夜

// <2845> 「…馬鹿力ですね…！！」
<2845> 「…馬鹿力ですね…！！」

// <2846> 瑚太朗
<2846> 瑚太朗

// <2847> 「うるさい…うるさい…ッ！！」
<2847> 「うるさい…うるさい…ッ！！」

// <2848> 瑚太朗
<2848> 瑚太朗

// <2849> 「オレの邪魔をするなぁぁぁぁーーーッ！！！」
<2849> 「オレの邪魔をするなぁぁぁぁーーーッ！！！」

// <2850> 咲夜
<2850> 咲夜

// <2851> 「！？」
<2851> 「！？」

// <2852> 
<2852> 

// <2853> 静流
<2853> 静流

// <2854> 「やめろ、コタローッ！！」
<2854> 「やめろ、コタローッ！！」

// <2855> 静流が瑚太朗の背中に組み付き、抑えていた。
<2855> 静流が瑚太朗の背中に組み付き、抑えていた。

// <2856> ちはや
<2856> ちはや

// <2857> 「静流！？」
<2857> 「静流！？」

// <2858> 瑚太朗が振りほどこうと剣を振るった瞬間、背中から離れる。
<2858> 瑚太朗が振りほどこうと剣を振るった瞬間、背中から離れる。

// <2859> 静流
<2859> 静流

// <2860> 「わからない…」
<2860> 「わからない…」

// <2861> 静流
<2861> 静流

// <2862> 「わからないけど、今こうしなければ、そのほうが間違ってる気がする…」
<2862> 「わからないけど、今こうしなければ、そのほうが間違ってる気がする…」

// <2863> 咲夜
<2863> 咲夜

// <2864> 「離れていてください、命を落としかねませんよ…」
<2864> 「離れていてください、命を落としかねませんよ…」

// <2865> 咲夜
<2865> 咲夜

// <2866> 「あなたのような子供の死は見たくない…！」
<2866> 「あなたのような子供の死は見たくない…！」

// <2867> 静流
<2867> 静流

// <2868> 「…いいやつなんだ、結局、コタローも、みんな」
<2868> 「…いいやつなんだ、結局、コタローも、みんな」

// <2869> 静流
<2869> 静流

// <2870> 「だから、こうするっ！！」
<2870> 「だから、こうするっ！！」

// <2871> ちはや
<2871> ちはや

// <2872> 「静流…！！」
<2872> 「静流…！！」

// <2873> 静流
<2873> 静流

// <2874> 「……！！！」
<2874> 「……！！！」

// <2875> 静流の身体から、白い霧が発生する。
<2875> 静流の身体から、白い霧が発生する。

// <2876> 瑚太朗
<2876> 瑚太朗

// <2877> 「うああああああぁぁーーーっ！！」
<2877> 「うああああああぁぁーーーっ！！」

// <2878> 静流
<2878> 静流

// <2879> 「！！」
<2879> 「！！」

// <2880> 静流は瑚太朗の剣に弾きとばされ、床に叩きつけられる。
<2880> 静流は瑚太朗の剣に弾きとばされ、床に叩きつけられる。

// <2881> 静流
<2881> 静流

// <2882> 「…霧が、効かない…」
<2882> 「…霧が、効かない…」

// <2883> 咲夜
<2883> 咲夜

// <2884> 「…っ！！」
<2884> 「…っ！！」

// <2885> 咲夜は頭突きで瑚太朗を引き剥がす。
<2885> 咲夜は頭突きで瑚太朗を引き剥がす。

// <2886> 咲夜
<2886> 咲夜

// <2887> 「…効くようには出来ませんか」
<2887> 「…効くようには出来ませんか」

// <2888> 静流
<2888> 静流

// <2889> 「いまのコタローはなんなんだ…」
<2889> 「いまのコタローはなんなんだ…」

// <2890> 静流
<2890> 静流

// <2891> 「人なのか、魔物なのか…」
<2891> 「人なのか、魔物なのか…」

// <2892> 咲夜
<2892> 咲夜

// <2893> 「その間でしょう」
<2893> 「その間でしょう」

// <2894> 静流
<2894> 静流

// <2895> 「…そんなのに効く薬の作り方は、私は知らない…」
<2895> 「…そんなのに効く薬の作り方は、私は知らない…」

// <2896> 咲夜
<2896> 咲夜

// <2897> 「…厄介な存在だ、今の瑚太朗君は…」
<2897> 「…厄介な存在だ、今の瑚太朗君は…」

// <2898> ちはや
<2898> ちはや

// <2899> 「…こ、瑚太朗…」
<2899> 「…こ、瑚太朗…」

// <2900> 足が動けば、止めにいけるのに…。
<2900> 足が動けば、止めにいけるのに…。

// <2901> 私はずりずりと、這って瑚太朗のところに向かうしかなかった。
<2901> 私はずりずりと、這って瑚太朗のところに向かうしかなかった。

// <2902> 咲夜
<2902> 咲夜

// <2903> 「く…！！」
<2903> 「く…！！」

// <2904> 瑚太朗の剣が、咲夜の肩を貫く。
<2904> 瑚太朗の剣が、咲夜の肩を貫く。

// <2905> 咲夜
<2905> 咲夜

// <2906> 「しまった…！！」
<2906> 「しまった…！！」

// <2907> ちはや
<2907> ちはや

// <2908> 「咲夜…！！」
<2908> 「咲夜…！！」

// <2909> 咲夜
<2909> 咲夜

// <2910> 「ちはやさん、近寄っては危険です」
<2910> 「ちはやさん、近寄っては危険です」

// <2911> ちはや
<2911> ちはや

// <2912> 「でも…！！」
<2912> 「でも…！！」

// <2913> ちはや
<2913> ちはや

// <2914> 「瑚太朗、止めなきゃ…！！」
<2914> 「瑚太朗、止めなきゃ…！！」

// <2915> ちはや
<2915> ちはや

// <2916> 「止めてください…！！」
<2916> 「止めてください…！！」

// <2917> ちはや
<2917> ちはや

// <2918> 「もういいじゃないですか…！！」
<2918> 「もういいじゃないですか…！！」

// <2919> ちはや
<2919> ちはや

// <2920> 「ガーディアンは追っ払ったんですから、もう止めてくださいッ！！」
<2920> 「ガーディアンは追っ払ったんですから、もう止めてくださいッ！！」

// <2921> ちはや
<2921> ちはや

// <2922> 「瑚太朗…！！」
<2922> 「瑚太朗…！！」

// <2923> 瑚太朗
<2923> 瑚太朗

// <2924> 「………」
<2924> 「………」

// <2925> 瑚太朗
<2925> 瑚太朗

// <2926> 「ちはや…」
<2926> 「ちはや…」

// <2927> 瑚太朗
<2927> 瑚太朗

// <2928> 「ちはやを…」
<2928> 「ちはやを…」

// <2929> ちはや
<2929> ちはや

// <2930> 「瑚太朗…？」
<2930> 「瑚太朗…？」

// <2931> 瑚太朗
<2931> 瑚太朗

// <2932> 「守るんだ…！！！」
<2932> 「守るんだ…！！！」

// <2933> 瑚太朗が剣を振りかぶる。
<2933> 瑚太朗が剣を振りかぶる。

// <2934> 咲夜
<2934> 咲夜

// <2935> 「くッ！？」
<2935> 「くッ！？」

// <2936> 咲夜は刃を両手で受け止める。
<2936> 咲夜は刃を両手で受け止める。

// <2937> 咲夜
<2937> 咲夜

// <2938> 「……！！」
<2938> 「……！！」

// <2939> 咲夜の両手に血が滲む。
<2939> 咲夜の両手に血が滲む。

// <2940> …ダメだ。私の声も届かない。
<2940> …ダメだ。私の声も届かない。

// <2941> 瑚太朗
<2941> 瑚太朗

// <2942> 「！？」
<2942> 「！？」

// <2943> 光線が、瑚太朗の剣を弾く。
<2943> 光線が、瑚太朗の剣を弾く。

// <2944> 西九条
<2944> 西九条

// <2945> 「………」
<2945> 「………」

// <2946> 咲夜
<2946> 咲夜

// <2947> 「……ありがとう。助かります」
<2947> 「……ありがとう。助かります」

// <2948> 西九条
<2948> 西九条

// <2949> 「状況を判断して、これが最善の策だと思い至った。それだけだ」
<2949> 「状況を判断して、これが最善の策だと思い至った。それだけだ」

// <2950> 咲夜
<2950> 咲夜

// <2951> 「…ですが…」
<2951> 「…ですが…」

// <2952> 咲夜
<2952> 咲夜

// <2953> 「剣の威力は変わらないようですが、身体能力では私を上回る可能性があります…」
<2953> 「剣の威力は変わらないようですが、身体能力では私を上回る可能性があります…」

// <2954> 咲夜
<2954> 咲夜

// <2955> 「私の今の身体は、そこまでの攻撃をそう何度も受け続けることは出来ません」
<2955> 「私の今の身体は、そこまでの攻撃をそう何度も受け続けることは出来ません」

// <2956> 瑚太朗
<2956> 瑚太朗

// <2957> 「邪魔をするな…」
<2957> 「邪魔をするな…」

// <2958> 相手を探すように、瑚太朗はゆっくりとこちらへ足を進める。
<2958> 相手を探すように、瑚太朗はゆっくりとこちらへ足を進める。

// <2959> もう、誰も止めることはできない…？
<2959> もう、誰も止めることはできない…？

// <2960> 咲夜
<2960> 咲夜

// <2961> 「有体に言って…戦局は相当まずいです」
<2961> 「有体に言って…戦局は相当まずいです」

// <2962> 静流
<2962> 静流

// <2963> 「どうすればいいんだ…」
<2963> 「どうすればいいんだ…」

// <2964> ちはや
<2964> ちはや

// <2965> 「咲夜…」
<2965> 「咲夜…」

// <2966> ちはや
<2966> ちはや

// <2967> 「私の力を、咲夜に返します」
<2967> 「私の力を、咲夜に返します」

// <2968> 咲夜
<2968> 咲夜

// <2969> 「…何を」
<2969> 「…何を」

// <2970> ちはや
<2970> ちはや

// <2971> 「出来るんでしょう？　私の力は、咲夜と契約したときから身に付きました」
<2971> 「出来るんでしょう？　私の力は、咲夜と契約したときから身に付きました」

// <2972> ちはや
<2972> ちはや

// <2973> 「この力があれば…」
<2973> 「この力があれば…」

// <2974> 咲夜
<2974> 咲夜

// <2975> 「………」
<2975> 「………」

// <2976> 咲夜
<2976> 咲夜

// <2977> 「私の力は、元々膨大です」
<2977> 「私の力は、元々膨大です」

// <2978> 咲夜
<2978> 咲夜

// <2979> 「その一部をちはやさんに預けていたから、これまでのような維持が可能だったんですよ」
<2979> 「その一部をちはやさんに預けていたから、これまでのような維持が可能だったんですよ」

// <2980> 咲夜
<2980> 咲夜

// <2981> 「それを返すということは…」
<2981> 「それを返すということは…」

// <2982> ちはや
<2982> ちはや

// <2983> 「構いません」
<2983> 「構いません」

// <2984> ちはや
<2984> ちはや

// <2985> 「私の命なんか、多少削られても、構いません！！」
<2985> 「私の命なんか、多少削られても、構いません！！」

// <2986> ちはや
<2986> ちはや

// <2987> 「瑚太朗を元に戻すんです…！！」
<2987> 「瑚太朗を元に戻すんです…！！」

// <2988> 咲夜
<2988> 咲夜

// <2989> 「…しかし」
<2989> 「…しかし」

// <2990> ちはや
<2990> ちはや

// <2991> 「咲夜っ！！」
<2991> 「咲夜っ！！」

// <2992> ちはや
<2992> ちはや

// <2993> 「咲夜は、出来ないんですかっ！！」
<2993> 「咲夜は、出来ないんですかっ！！」

// <2994> 咲夜
<2994> 咲夜

// <2995> 「………」
<2995> 「………」

// <2996> ちはや
<2996> ちはや

// <2997> 「咲夜なら、出来るでしょう…！！」
<2997> 「咲夜なら、出来るでしょう…！！」

// <2998> 咲夜
<2998> 咲夜

// <2999> 「………」
<2999> 「………」

// <3000> 咲夜
<3000> 咲夜

// <3001> 「はい。私なら、出来ます」
<3001> 「はい。私なら、出来ます」

// <3002> ちはや
<3002> ちはや

// <3003> 「ええ、だから…任せます」
<3003> 「ええ、だから…任せます」

// <3004> 咲夜が、私の手を取る。
<3004> 咲夜が、私の手を取る。

// <3005> …同じように手を取った、契約の時を思い出した。
<3005> …同じように手を取った、契約の時を思い出した。

// <3006> あの時からずっと、私…。
<3006> あの時からずっと、私…。

// <3007> 咲夜を困らせてばかりの気がする…。
<3007> 咲夜を困らせてばかりの気がする…。

// <3008> ちはや
<3008> ちはや

// <3009> 「ごめんなさい、咲夜…」
<3009> 「ごめんなさい、咲夜…」

// <3010> ちはや
<3010> ちはや

// <3011> 「これから、我侭言わない様にしますから…」
<3011> 「これから、我侭言わない様にしますから…」

// <3012> 咲夜
<3012> 咲夜

// <3013> 「………」
<3013> 「………」

// <3014> …体中の力が抜けていく。
<3014> …体中の力が抜けていく。

// <3015> 強大な魔物を操るには、相応の精神力と、体力を消耗する。
<3015> 強大な魔物を操るには、相応の精神力と、体力を消耗する。

// <3016> けど…私だって、元ガイアの魔物使いだ。
<3016> けど…私だって、元ガイアの魔物使いだ。

// <3017> これくらい…。
<3017> これくらい…。

// <3018> 咲夜
<3018> 咲夜

// <3019> 「…手にした力は二つ…」
<3019> 「…手にした力は二つ…」

// <3020> 咲夜
<3020> 咲夜

// <3021> 「これで五分です、瑚太朗君」
<3021> 「これで五分です、瑚太朗君」

// <3022> 白い羽毛のように、羽衣のように、白い布の破片が舞う。
<3022> 白い羽毛のように、羽衣のように、白い布の破片が舞う。

// <3023> どこへいても私を守ってくれていた咲夜の力が、今、咲夜に戻った。
<3023> どこへいても私を守ってくれていた咲夜の力が、今、咲夜に戻った。

// <3024> 咲夜
<3024> 咲夜

// <3025> 「瑚太朗君…」
<3025> 「瑚太朗君…」

// <3026> 咲夜
<3026> 咲夜

// <3027> 「守るということは、時に力を振るう事…」
<3027> 「守るということは、時に力を振るう事…」

// <3028> 咲夜
<3028> 咲夜

// <3029> 「けれどそれは、本当に難しいことなんですよ…！！」
<3029> 「けれどそれは、本当に難しいことなんですよ…！！」

// <3030> ……。
<3030> ……。

// <3031> ………。
<3031> ………。

// <3032> あれ…。
<3032> あれ…。

// <3033> 俺、何してんだろ。
<3033> 俺、何してんだろ。

// <3034> そうだ、ちはや…。
<3034> そうだ、ちはや…。

// <3035> ちはや、今ピンチなんじゃん…。
<3035> ちはや、今ピンチなんじゃん…。

// <3036> ピンチのときは、駆けつけてやんなきゃな…。
<3036> ピンチのときは、駆けつけてやんなきゃな…。

// <3037> んで、カッコよく助けないと…。
<3037> んで、カッコよく助けないと…。

// <3038> …あれ。
<3038> …あれ。

// <3039> おかしくねえか。
<3039> おかしくねえか。

// <3040> 俺、咲夜と戦ってる。
<3040> 俺、咲夜と戦ってる。

// <3041> 声＿瑚太朗
<3041> 声＿瑚太朗

// <3042> 『力というものは、時にそういうもの』
<3042> 『力というものは、時にそういうもの』

// <3043> 声＿瑚太朗
<3043> 声＿瑚太朗

// <3044> 『お前はこれまで、色々な者を見てきただろう』
<3044> 『お前はこれまで、色々な者を見てきただろう』

// <3045> ………。
<3045> ………。

// <3046> 俺、何で自分に説教されてるんだ。
<3046> 俺、何で自分に説教されてるんだ。

// <3047> 声＿瑚太朗
<3047> 声＿瑚太朗

// <3048> 『なら』
<3048> 『なら』

// <3049> ミドウ
<3049> ミドウ

// <3050> 『俺が教えてやるよ…』
<3050> 『俺が教えてやるよ…』

// <3051> ミドウ…！！
<3051> ミドウ…！！

// <3052> ミドウ
<3052> ミドウ

// <3053> 『これがてめえの求めるものの末路だ…』
<3053> 『これがてめえの求めるものの末路だ…』

// <3054> ミドウ
<3054> ミドウ

// <3055> 『力でねじ伏せりゃ、どこかに歪（ひずみ）が生じる』
<3055> 『力でねじ伏せりゃ、どこかに歪（ひずみ）が生じる』

// <3056> ミドウ
<3056> ミドウ

// <3057> 『てめえはその歪を抱え続けて生きていけるのか…？』
<3057> 『てめえはその歪を抱え続けて生きていけるのか…？』

// <3058> ミドウ
<3058> ミドウ

// <3059> 『いや、その歪は結局、お前自身に返って来るんだよ…』
<3059> 『いや、その歪は結局、お前自身に返って来るんだよ…』

// <3060> ミドウ
<3060> ミドウ

// <3061> 『てめえにとっちゃ降りかかる火の粉だろうと、その火の粉を悲しむものは必ずいる…！！』
<3061> 『てめえにとっちゃ降りかかる火の粉だろうと、その火の粉を悲しむものは必ずいる…！！』

// <3062> ………。
<3062> ………。

// <3063> …だから、本当は…。
<3063> …だから、本当は…。

// <3064> 静流や、西九条さんとなんか、戦いたくなかったんだ。
<3064> 静流や、西九条さんとなんか、戦いたくなかったんだ。

// <3065> 本当なら、お前とだって…。
<3065> 本当なら、お前とだって…。

// <3066> 仕方なく、戦ってたんだ。
<3066> 仕方なく、戦ってたんだ。

// <3067> ミドウ
<3067> ミドウ

// <3068> 『ヒャハハハハッ！！　だから言っただろう！！　俺みてえになったほうが楽だってなぁ…！！』
<3068> 『ヒャハハハハッ！！　だから言っただろう！！　俺みてえになったほうが楽だってなぁ…！！』

// <3069> ミドウ
<3069> ミドウ

// <3070> 『てめえのそのちっぽけな望みは山ほどの屍を積み上げていく道なんだよぉぉぉッ！！』
<3070> 『てめえのそのちっぽけな望みは山ほどの屍を積み上げていく道なんだよぉぉぉッ！！』

// <3071> でも、そうじゃない道だってあるはずだろ…！！
<3071> でも、そうじゃない道だってあるはずだろ…！！

// <3072> ミドウ
<3072> ミドウ

// <3073> 『だったら俺にそれを見せてみろ…！！』
<3073> 『だったら俺にそれを見せてみろ…！！』

// <3074> ミドウ
<3074> ミドウ

// <3075> 『もっとも、今のてめえの体たらくじゃあそんなもん叶いやしねえだろうがなぁああぁぁッ！！』
<3075> 『もっとも、今のてめえの体たらくじゃあそんなもん叶いやしねえだろうがなぁああぁぁッ！！』

// <3076> うるせえっ…！！
<3076> うるせえっ…！！

// <3077> …でも…。
<3077> …でも…。

// <3078> 本当に俺、何をやってるんだろう…。
<3078> 本当に俺、何をやってるんだろう…。

// <3079> 
<3079> 

// <3080> 静流
<3080> 静流

// <3081> 「………」
<3081> 「………」

// <3082> 静流が咲夜の傷口に触れる。
<3082> 静流が咲夜の傷口に触れる。

// <3083> 咲夜
<3083> 咲夜

// <3084> 「…これは」
<3084> 「…これは」

// <3085> 静流
<3085> 静流

// <3086> 「魔物の傷なんて治したの、初めてだ…」
<3086> 「魔物の傷なんて治したの、初めてだ…」

// <3087> 咲夜
<3087> 咲夜

// <3088> 「なるほど、薬品…」
<3088> 「なるほど、薬品…」

// <3089> 咲夜
<3089> 咲夜

// <3090> 「あなたの能力ですね」
<3090> 「あなたの能力ですね」

// <3091> 静流
<3091> 静流

// <3092> 「………」
<3092> 「………」

// <3093> 頷く。
<3093> 頷く。

// <3094> 静流
<3094> 静流

// <3095> 「薬は効くのに時間がかかる。即死は治せないし、治るまでに死んだら終わりだ。無敵には出来ない」
<3095> 「薬は効くのに時間がかかる。即死は治せないし、治るまでに死んだら終わりだ。無敵には出来ない」

// <3096> 咲夜
<3096> 咲夜

// <3097> 「ありがとう。でもこうなった以上、私は瑚太朗君には負けません」
<3097> 「ありがとう。でもこうなった以上、私は瑚太朗君には負けません」

// <3098> 咲夜
<3098> 咲夜

// <3099> 「…気の遠くなるほど長い時間の、先輩ですから…」
<3099> 「…気の遠くなるほど長い時間の、先輩ですから…」

// <3100> 静流
<3100> 静流

// <3101> 「なんだ、それは…」
<3101> 「なんだ、それは…」

// <3102> 咲夜
<3102> 咲夜

// <3103> 「お気になさらず。…行きます」
<3103> 「お気になさらず。…行きます」

// <3104> 
<3104> 

// <3105> …戦っている。
<3105> …戦っている。

// <3106> 俺と咲夜。
<3106> 俺と咲夜。

// <3107> 千切れた白い布が花弁のように舞い、咲夜の身を包む。
<3107> 千切れた白い布が花弁のように舞い、咲夜の身を包む。

// <3108> 花弁は剣となり、盾となり、俺の攻撃を防ぎ、また弾く。
<3108> 花弁は剣となり、盾となり、俺の攻撃を防ぎ、また弾く。

// <3109> 俺の剣は、それに対抗するように振り回され続けた。
<3109> 俺の剣は、それに対抗するように振り回され続けた。

// <3110> 咲夜だって手を焼いてる。
<3110> 咲夜だって手を焼いてる。

// <3111> 俺、強いじゃん。
<3111> 俺、強いじゃん。

// <3112> けど…。
<3112> けど…。

// <3113> …咲夜には、勝てなかった。
<3113> …咲夜には、勝てなかった。

// <3114> 羽毛のように、白が踊る。
<3114> 羽毛のように、白が踊る。

// <3115> 俺の光を包み込む。
<3115> 俺の光を包み込む。

// <3116> 俺は…。
<3116> 俺は…。

// <3117> 咲夜
<3117> 咲夜

// <3118> 「眼を、覚ませ…」
<3118> 「眼を、覚ませ…」

// <3119> 咲夜
<3119> 咲夜

// <3120> 「天王寺瑚太朗ーーーーーッ！！！」
<3120> 「天王寺瑚太朗ーーーーーッ！！！」

// <3121> 咲夜の拳に打ち据えられた。
<3121> 咲夜の拳に打ち据えられた。

// <3122> …あぁ。
<3122> …あぁ。

// <3123> 理性がどうとか、そういうのじゃない。
<3123> 理性がどうとか、そういうのじゃない。

// <3124> 俺は俺の意志で。
<3124> 俺は俺の意志で。

// <3125> こいつに勝ちたかったんだなぁ…。
<3125> こいつに勝ちたかったんだなぁ…。

// <3126> だって、ちはやのこと…。
<3126> だって、ちはやのこと…。

// <3127> 本当なら、俺が守ってやりたかったんだもん…。
<3127> 本当なら、俺が守ってやりたかったんだもん…。

// <3128> 瑚太朗
<3128> 瑚太朗

// <3129> 「………？」
<3129> 「………？」

// <3130> 俺が書き換えられていく。
<3130> 俺が書き換えられていく。

// <3131> …俺の意志じゃない。
<3131> …俺の意志じゃない。

// <3132> これは、咲夜の意思？
<3132> これは、咲夜の意思？

// <3133> 雪崩れ込んで来る。
<3133> 雪崩れ込んで来る。

// <3134> ちはや
<3134> ちはや

// <3135> 「咲夜…」
<3135> 「咲夜…」

// <3136> 咲夜
<3136> 咲夜

// <3137> 「ちはやさん、どうされました？」
<3137> 「ちはやさん、どうされました？」

// <3138> ちはや
<3138> ちはや

// <3139> 「さくやー」
<3139> 「さくやー」

// <3140> 咲夜
<3140> 咲夜

// <3141> 「ちはやさん、あまり走ると転んでしまいますよ」
<3141> 「ちはやさん、あまり走ると転んでしまいますよ」

// <3142> ちはや
<3142> ちはや

// <3143> 「咲夜…私、怖い夢を見ました…」
<3143> 「咲夜…私、怖い夢を見ました…」

// <3144> 咲夜
<3144> 咲夜

// <3145> 「大丈夫です。私がいます」
<3145> 「大丈夫です。私がいます」

// <3146> …咲夜の記憶。
<3146> …咲夜の記憶。

// <3147> どこまでも、ちはやを思う咲夜の記憶。
<3147> どこまでも、ちはやを思う咲夜の記憶。

// <3148> ………。
<3148> ………。

// <3149> 俺は、その深部を見る。
<3149> 俺は、その深部を見る。

// <3150> 少女
<3150> 少女

// <3151> 『……咲夜』
<3151> 『……咲夜』

// <3152> 少女
<3152> 少女

// <3153> 『咲夜…』
<3153> 『咲夜…』

// <3154> 咲夜
<3154> 咲夜

// <3155> 「どうしました、ミナタさん」
<3155> 「どうしました、ミナタさん」

// <3156> …誰だ、これ…。
<3156> …誰だ、これ…。

// <3157> 何の記憶だ。
<3157> 何の記憶だ。

// <3158> 咲夜
<3158> 咲夜

// <3159> 「うおおおおぉぉぉーーッ！！！」
<3159> 「うおおおおぉぉぉーーッ！！！」

// <3160> …咲夜が戦っている。
<3160> …咲夜が戦っている。

// <3161> 魔物とだ。
<3161> 魔物とだ。

// <3162> 咲夜
<3162> 咲夜

// <3163> 「大丈夫ですか、ミナタさんッ！！」
<3163> 「大丈夫ですか、ミナタさんッ！！」

// <3164> ミナタ
<3164> ミナタ

// <3165> 「咲夜…ごめんなさい…」
<3165> 「咲夜…ごめんなさい…」

// <3166> 咲夜
<3166> 咲夜

// <3167> 「だからあれほど一人で出歩かないでと…」
<3167> 「だからあれほど一人で出歩かないでと…」

// <3168> ミナタ
<3168> ミナタ

// <3169> 「ごめんなさい。ごめんなさい」
<3169> 「ごめんなさい。ごめんなさい」

// <3170> 咲夜はこの女の子を守っている。
<3170> 咲夜はこの女の子を守っている。

// <3171> そして、魔物と戦っている。
<3171> そして、魔物と戦っている。

// <3172> …わかる。
<3172> …わかる。

// <3173> 咲夜は、滅びを回避するために戦っている、能力者だ。
<3173> 咲夜は、滅びを回避するために戦っている、能力者だ。

// <3174> 咲夜
<3174> 咲夜

// <3175> 「…強化を…！！」
<3175> 「…強化を…！！」

// <3176> そう。
<3176> そう。

// <3177> 俺と同じように、身体を書き換えて戦う能力者。
<3177> 俺と同じように、身体を書き換えて戦う能力者。

// <3178> それが咲夜だ。
<3178> それが咲夜だ。

// <3179> 咲夜
<3179> 咲夜

// <3180> 「…鍵が、見つかりました…」
<3180> 「…鍵が、見つかりました…」

// <3181> ミナタ
<3181> ミナタ
